; Converted Fri, 07 May 10 08:29:57 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=1486.0573,1645.6383,11.2736
MinLevel=0
JoinCost=1000
WinBaseXP=300000
WinBaseCash=300000

Name=Sea Bumps and Land Jumps
Author=Green
Description=Dont miss any NOS or Repairs
RunTime=1000
Weather=0
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=402

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=-2867.50415,461.482208,4.507317,89
SPAWN=-2867.400635,465.226196,4.532135,89
SPAWN=-2867.332764,469.068176,4.560799,89
SPAWN=-2867.275879,472.637787,4.561989,89
SPAWN=-2867.295898,476.520569,4.57444,89
SPAWN=-2867.242432,480.225189,4.57444,89
SPAWN=-2867.411377,484.132904,4.57444,89

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=-2988.240967,472.228943,3.914063,0,8
CP=-3265.290527,493.96344,5.509824,0,8
CP=-3802.450684,691.177917,19.193523,0,8
CP=-3981.263916,1048.764771,2.7914,0,8
CP=-3695.635254,342.364197,22.626818,0,8
CP=-2703.991211,-63.25169,7.235084,0,8
CP=-2685.957764,-210.989807,3.179688,0,8
CP=-2423.130615,-199.343109,34.171875,0,8
CP=-2410.328125,298.338348,33.988041,0,8
CP=-2229.60083,446.657898,34.015625,0,8
CP=-2261.223145,656.93811,48.296875,0,8
CP=-2261.441162,969.795593,66.401772,0,8
CP=-2223.251953,1177.934326,54.578125,0,8
CP=-1992.682739,1177.259766,44.296875,0,8
CP=-1731.497437,1186.927246,23.976563,0,8
CP=-1609.165405,1215.696899,6.039063,0,8
CP=-1856.469238,1363.026123,6.046841,0,8
CP=-2056.742676,1276.804932,6.963303,0,8
CP=-2259.650879,1180.634277,54.578125,0,8
CP=-2261.792725,1022.525269,82.661728,0,8
CP=-2260.7146,867.327698,65.5,0,8
CP=-2238.388916,731.496826,48.265625,0,8
CP=-2000.230713,731.311218,44.418438,0,8
CP=-1792.94104,731.179626,34.015625,0,8
CP=-1497.02771,735.56073,6.1875,0,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=1633,-2994.104248,470.907928,4.939353,0,0,89.999950625
OBJECT=1633,-2994.090332,475.009796,4.939353,0,0,89.999950625
OBJECT=18450,-3084.0354,472.994537,5.24219,0,0,0
OBJECT=18450,-3162.800537,473.003418,5.25413,0,0,0
OBJECT=18450,-3232.924561,483.848389,5.166074,0,0,343.6707084
OBJECT=18450,-3307.237305,505.572357,10.527977,0,7.7349276,343.6707084
OBJECT=18450,-3370.697266,524.187439,23.628613,0,13.7509824,343.6707084
OBJECT=18450,-3483.038086,559.645996,29.527939,0,0,337.500012344
OBJECT=987,-2864.213867,459.658051,3.702736,0,0,180.000041454
OBJECT=987,-2875.857178,486.063263,3.914063,0,0,0.000140204399997
OBJECT=987,-2876.197754,459.61734,3.664062,0,0,180.000181659
OBJECT=987,-2887.809814,486.09198,3.914063,0,0,0.000395000319941
OBJECT=987,-2888.138184,459.648285,3.664062,0,0,180.00049375
OBJECT=987,-2899.741943,486.103424,3.914063,0,0,0.000477908959965
OBJECT=987,-2900.041016,459.687561,3.714062,0,0,180.00049375
OBJECT=987,-2911.678467,486.150818,3.914063,0,0,0.000592500480025
OBJECT=987,-2923.61084,486.155212,3.914063,0,0,0.000592500480025
OBJECT=987,-2935.300781,483.864746,3.90657,0,0,11.2506149765
OBJECT=987,-2911.983887,459.719482,3.789062,0,0,180.000347476
OBJECT=987,-2923.906006,459.782349,3.814062,0,0,168.750325
OBJECT=987,-2935.59668,462.121979,3.839062,0,0,180.000347476
OBJECT=987,-2947.28833,483.733307,4.001047,0,0,0.000331634560098
OBJECT=987,-2947.489014,462.132019,3.864062,0,0,180.000347476
OBJECT=987,-2959.082275,483.664764,4.001001,0,0,359.99998786
OBJECT=987,-2959.312988,462.202057,3.914063,0,0,180.00008661
OBJECT=987,-2971.280029,462.242737,3.914063,0,0,168.750064134
OBJECT=987,-2970.787598,481.319427,3.958753,0,0,11.2505832936
OBJECT=987,-2982.50293,478.973083,3.964063,0,0,11.2500359489
OBJECT=987,-2997.133789,477.35379,3.908791,0,0,1.34728800276E-5
OBJECT=987,-2985.466553,468.642548,3.914063,0,0,179.999653857
OBJECT=987,-2977.23584,460.220276,3.914063,0,0,134.999563953
OBJECT=987,-2985.267334,477.306915,3.901939,0,0,22.4994537844
OBJECT=987,-2863.855225,486.017334,3.909789,0,0,270.000132284
