
Name=See the sights
Author=PhoenixFire
MinLevel=0
JoinCost=3000

; The location of the waiting checkpoint.
; WaitLocation=waitx,waity,waitz
WaitLocation=-1337.516113,-228.052017,13.827605

RunTime=1800
WinBaseXP=900000
WinBaseCash=700000
Weather=0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=522

; Checkpoints
; Type=0 is a normal checkpoint
; Type=1 is an air checkpoint
; The params type and size are optional
; Format: CP=x,y,z,type,size
CP=-1335.150757,-22.222870,13.148438,0,0.0
CP=-1476.362793,-107.131798,13.148438,0,0.0
CP=-1657.587158,-313.614716,13.143969,0,0.0
CP=-1755.051392,-351.110474,22.045429,0,0.0
CP=-1873.203857,-395.994965,23.354658,0,0.0
CP=-1967.620239,-345.425537,24.710938,0,0.0
CP=-1955.324341,-241.975403,24.914063,0,0.0
CP=-1940.350952,69.607849,24.710938,0,0.0
CP=-2006.828491,227.248932,27.042839,0,0.0
CP=-2003.471924,727.145386,44.363552,0,0.0
CP=-2259.387695,731.869629,48.296875,0,0.0
CP=-2441.989746,747.442078,34.015625,0,0.0
CP=-2522.530762,711.283325,26.811226,0,0.0
CP=-2722.374023,710.356628,40.125000,0,0.0
CP=-2749.798828,777.249512,53.234375,0,0.0
CP=-2752.491211,959.111450,53.304688,0,0.0
CP=-2691.482666,1225.147827,54.409550,0,0.0
CP=-2688.615967,1463.909912,54.427032,0,0.0
CP=-2689.728027,1758.346558,67.077881,0,0.0
CP=-2734.131104,2357.977783,70.986450,0,0.0
CP=-2504.613770,2423.456055,15.598022,0,0.0
CP=-2361.296387,2350.692383,3.835938,0,0.0
CP=-2293.581299,2237.837402,3.982191,0,0.0
CP=-2291.277344,2131.118164,-0.057568,0,0.0
CP=-2214.011719,2028.081787,0.003294,0,0.0
CP=-1869.216064,1780.656128,0.090103,0,0.0
CP=-1524.179077,1472.243896,-0.036191,0,0.0
CP=-1116.691650,969.471558,-0.132638,0,0.0
CP=-567.164001,511.244293,-0.013917,0,0.0
CP=-191.089966,398.326477,-0.093646,0,0.0
CP=502.612946,510.772247,0.000471,0,0.0
CP=1139.727783,630.657166,0.092629,0,0.0
CP=1773.173218,530.609802,-0.047433,0,0.0
CP=2203.587646,544.745117,-0.027993,0,0.0
CP=2285.144531,610.725586,9.820313,0,0.0
CP=2285.825195,975.093811,9.859444,0,0.0
CP=2346.331055,1172.605347,9.671875,0,0.0
CP=2070.373291,1194.285522,9.671875,0,0.0
CP=2072.539551,1697.518921,9.671875,0,0.0
CP=2148.566895,2020.515503,9.679661,0,0.0
CP=2350.493408,2028.277100,9.618546,0,0.0
CP=2505.185059,1974.978149,9.878123,0,0.0
CP=2483.264648,1717.939087,9.671875,0,0.0
CP=2327.585938,1704.412598,9.671875,0,0.0
CP=2311.181641,1522.909790,9.820313,0,0.0
CP=2305.984619,1377.530884,9.854355,0,0.0
CP=2065.083984,1373.514893,9.671875,0,0.0
CP=2036.757324,1095.361206,9.693663,0,0.0
CP=1903.308594,1094.172974,9.679673,0,0.0
CP=1670.410889,1132.033936,9.671875,0,0.0
CP=1310.000610,1196.384766,9.671875,0,0.0
CP=1217.794189,1124.741943,5.781250,0,0.0
CP=1505.368774,833.433777,5.820126,0,0.0
CP=1778.198242,717.593323,13.509667,0,0.0
