; Converted Sun, 17 Jan 10 13:11:17 +1100

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=2572.916748,-1800.554321,2.640625
MinLevel=10
JoinCost=4000
WinBaseXP=1000000
WinBaseCash=1000000

Name=Sewer Stunt Circuit
Author=Samsicles
Description=Bounce
RunTime=1000
Weather=
Time=

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=522

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=2571.324707,-2104.625977,24.129128,11
SPAWN=2562.212158,-2104.475586,24.129128,350
SPAWN=2563.392578,-2104.533936,24.129128,360
SPAWN=2564.611572,-2104.562012,24.129128,360
SPAWN=2565.810303,-2104.610596,24.129128,360
SPAWN=2566.921387,-2104.626709,24.129128,360
SPAWN=2568.131104,-2104.677246,24.129128,360
SPAWN=2569.292969,-2104.776855,24.129128,360
SPAWN=2570.296143,-2104.739746,24.129128,360

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=2566.381836,-2049.05957,30.948984,1,8
CP=2569.974854,-1976.157471,2.859375,0,8
CP=2571.688232,-1893.611694,2.859375,0,4
CP=2572.916748,-1800.554321,0.640625,0,8
CP=2569.6521,-1736.377441,0.640625,0,8
CP=2588.623535,-1584.400635,4.202322,0,8
CP=2604.382568,-1502.115723,14.984503,0,8
CP=2626.859863,-1335.346313,62.272667,0,8
CP=2664.660889,-1318.217896,71.945313,0,8
CP=2697.410156,-1294.505127,71.945313,0,8
CP=2759.931152,-1242.819092,69.601563,0,8
CP=2777.369385,-1306.153687,51.914063,0,8
CP=2777.847412,-1342.275024,46.232117,0,4
CP=2815.447998,-1350.796509,42.062054,0,4
CP=2819.46875,-1379.270996,47.254547,1,4
CP=2832.696289,-1430.303589,48.823158,1,6
CP=2836.30957,-1483.74707,40.922291,0,6
CP=2838.713623,-1560.899414,22.289063,0,8
CP=2837.851563,-1604.686157,9.921875,0,8
CP=2799.722412,-1704.999146,38.663589,1,6
CP=2787.195313,-1725.313477,37.349625,0,8
CP=2743.256836,-1712.523804,40.102779,0,8
CP=2737.125,-1749.904907,42.883038,0,8
CP=2729.59375,-1814.435425,58.802143,1,8
CP=2728.373047,-1890.435181,9.882813,0,8
CP=2769.550293,-1915.154297,11.583242,0,8
CP=2766.353027,-1993.408813,12.353846,0,8
CP=2712.995361,-1995.670532,12.410667,0,8
CP=2713.664551,-2043.092896,12.398301,0,8
CP=2661.573242,-2043.993164,17.877411,0,4
CP=2636.598877,-2059.839844,28.149773,1,4
CP=2597.307373,-2100.367432,23.59375,0,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=1633,2619.9104,-1418.92395,54.011223,0,0,0
OBJECT=1634,2596.698975,-1378.11499,51.700562,0,7.7349276,342.73398002
OBJECT=1634,2599.301514,-1372.302246,55.976105,17.188728,9.4538004,337.57736162
OBJECT=1245,2630.227783,-1361.469482,56.717873,0,0,281.250014555
OBJECT=18367,2655.940918,-1322.861572,72.477226,29.2208376,0,292.500062644
OBJECT=1634,2709.702637,-1282.48291,72.91761,0,0,315.000024688
OBJECT=1696,2762.932373,-1248.684448,70.608795,0,0,202.577321091
OBJECT=1634,2778.295166,-1344.053711,46.792564,17.188728,347.108454,191.25006393
OBJECT=1634,2779.715332,-1347.395996,51.049908,36.9557652,347.108454,198.985048826
OBJECT=1696,2815.349854,-1356.424194,43.045116,10.3132368,0,180.000041454
OBJECT=18367,2827.416748,-1398.426636,43.834927,5.1566184,0,202.500086406
OBJECT=1633,2831.599854,-1423.402222,44.464813,0,0,191.25006393
OBJECT=1634,2836.301514,-1480.723022,37.328537,0,0,180.859477854
OBJECT=1634,2605.195313,-1487.48877,16.801006,0,0,0
OBJECT=1634,2605.187744,-1481.567749,21.348101,22.3453464,359.1405636,359.1405636
OBJECT=1634,2566.157715,-2093.820557,20.228058,9.4538004,0,180.377563217
OBJECT=1634,2566.13501,-2087.510742,16.773129,356.5622544,0,180.377563217
OBJECT=1634,2566.05835,-2071.650635,15.995111,320.4659256,0,180.377563217
OBJECT=1634,2566.097412,-2080.065186,15.172194,337.6546536,0,180.377563217
OBJECT=1634,2566.028564,-2064.804199,18.925526,298.980072896,0,180.377563217
OBJECT=13593,2570.098877,-1890.338501,3.602234,0,0,0
OBJECT=13593,2572.865479,-1890.272827,3.602234,0,0,0
OBJECT=970,2576.38623,-1892.130249,3.410856,0,0,0
OBJECT=970,2580.509033,-1892.108154,3.410857,0,0,0
OBJECT=970,2566.667236,-1892.151855,3.301535,0,0,0
OBJECT=13593,2573.447754,-1817.60791,2.297854,0,0,180.000041454
OBJECT=13593,2570.709229,-1817.702881,2.344504,0,0,180.000041454
OBJECT=970,2562.604492,-1892.335571,3.227155,0,0,0
OBJECT=970,2567.202637,-1819.500488,2.418376,0,0,0
OBJECT=970,2563.031006,-1819.494385,2.426986,0,0,0
OBJECT=970,2576.927002,-1819.409302,2.145802,0,0,0
OBJECT=970,2580.895264,-1819.277466,2.025268,0,0,0
OBJECT=1225,2568.867188,-1821.114502,2.256133,0,0,0
OBJECT=1225,2570.800781,-1821.128418,2.206729,0,0,0
OBJECT=1225,2572.712646,-1821.109131,2.161381,0,0,0
OBJECT=1225,2574.484375,-1821.11377,2.122206,0,0,0
OBJECT=1225,2576.461426,-1821.02417,2.066291,0,0,0
OBJECT=1225,2578.43042,-1821.010864,2.021071,0,0,0
OBJECT=1225,2566.975586,-1821.059814,2.316658,0,0,0
