
Name=Short Circuit
Author=Narco
MinLevel=3
JoinCost=1800

; The location of the waiting checkpoint.
; WaitLocation=waitx,waity,waitz
WaitLocation=-1580.205933,2513.059814,68.050941

RunTime=300
WinBaseXP=150000
WinBaseCash=100000
Weather=0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=522

; Checkpoints
; Type=0 is a normal checkpoint
; Type=1 is an air checkpoint
; The params type and size are optional
; Format: CP=x,y,z,type,size
CP=-1577.746338,2587.088623,66.203247,0,
CP=-1661.152100,2723.556641,59.349903,0,
CP=-1763.442871,2702.036621,58.478634,0,
CP=-1710.783813,2673.288330,61.808720,0,
CP=-1657.773071,2620.075684,76.969894,0,
CP=-1651.195190,2522.087891,84.515221,0,
CP=-1668.339355,2463.027344,84.809052,0,
CP=-1744.510986,2457.435303,71.308800,0,
CP=-1721.785034,2413.084961,66.516068,0,
CP=-1684.608887,2401.083984,56.984726,0,
CP=-1755.711792,2293.545410,35.044014,0,
CP=-1666.907593,2345.463135,34.838177,0,
CP=-1580.308716,2514.757813,67.402679,0,
CP=-1577.712158,2588.582764,66.203796,0,
CP=-1662.213379,2723.745605,59.448364,0,
CP=-1763.552612,2701.882813,58.478634,0,
CP=-1711.353882,2674.923096,61.757664,0,
CP=-1657.550293,2621.341064,76.813438,0,
CP=-1650.947266,2522.588867,84.504265,0,
CP=-1668.785645,2464.323975,84.794342,0,
CP=-1744.923706,2456.983398,71.252762,0,
CP=-1722.035156,2415.116943,66.604164,0,
CP=-1684.722656,2402.418457,57.081623,0,
CP=-1755.467651,2295.213867,35.226837,0,
CP=-1665.719971,2347.262451,35.498516,0,
CP=-1580.699219,2515.391357,67.407089,0,
CP=-1577.975952,2588.849854,66.183891,0,
CP=-1661.187134,2723.158691,59.347488,0,
CP=-1763.505005,2701.148438,58.478634,0,
CP=-1710.430054,2674.841553,61.797543,0,
CP=-1658.323486,2621.384277,76.738533,0,
CP=-1651.233398,2523.189697,84.488693,0,
CP=-1668.595337,2464.241211,84.817421,0,
CP=-1744.870117,2457.027588,71.258347,0,
CP=-1722.352173,2415.926025,66.651001,0,
CP=-1684.018311,2402.875977,57.087486,0,
CP=-1755.244507,2296.645996,35.495747,0,
CP=-1665.539185,2348.753418,35.918205,0,
CP=-1580.717773,2515.826904,67.410370,0,

; Spawn Points
; If there are no spawn points, races will just be given their vehicle at the checkpoint
; Format: SPAWN=x,y,z,rotz
SPAWN=-1580.205933,2513.059814,68.050941,350.0
SPAWN=-1581.563599,2513.125732,68.046501,350.0
SPAWN=-1578.881470,2512.861328,68.050819,350.0
SPAWN=-1577.596069,2512.689941,68.061409,350.0
SPAWN=-1576.518555,2512.584473,68.061668,350.0
SPAWN=-1582.955444,2513.275391,68.044662,350.0
SPAWN=-1584.212769,2513.432861,68.043755,350.0

; Objects
; The last param (viewdistance) is optional
; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz,viewdistance
OBJECT=978,-1588.438477,2512.890381,68.534615,0.0,0.0,238.82824
OBJECT=978,-1621.426392,2642.385010,56.405815,0.0,355.70283,272.57822
OBJECT=978,-1587.734375,2524.795410,68.663765,0.0,0.0,238.82824
OBJECT=978,-1585.952759,2537.114746,68.725197,0.0,0.0,238.82824
OBJECT=978,-1585.576294,2551.333008,68.662025,0.0,0.0,238.82824
OBJECT=978,-1584.426514,2567.917969,68.343452,0.0,0.0,250.7817
OBJECT=978,-1584.687500,2580.741211,67.830925,0.0,357.42169,250.7817
OBJECT=978,-1589.109009,2597.816406,65.815559,0.0,351.40564,272.57822
OBJECT=978,-1601.662598,2613.566162,61.958797,0.0,347.96791,283.82820
OBJECT=978,-1611.813354,2628.208984,58.863750,0.0,355.70283,272.57822
OBJECT=978,-1632.300781,2657.693359,54.992496,0.0,0.0,261.32819
OBJECT=978,-1639.569336,2678.385986,54.768635,0.0,0.0,261.32819
OBJECT=978,-1655.082275,2715.752930,59.931824,0.0,0.0,340.7843
OBJECT=978,-1640.304443,2689.250488,55.199928,0.0,0.0,283.82820
OBJECT=978,-1642.568604,2700.238770,56.202103,0.0,0.0,283.82820
OBJECT=978,-1671.146240,2715.312500,61.271004,0.0,0.0,328.82842
OBJECT=978,-1687.867920,2717.982910,61.647724,0.0,0.0,317.57845
OBJECT=978,-1704.720947,2722.551025,61.440670,0.0,0.0,317.57845
OBJECT=978,-1718.862671,2722.009766,61.220222,0.0,0.0,317.57845
OBJECT=978,-1731.264404,2719.826172,60.926086,0.0,0.0,317.57845
OBJECT=978,-1742.487793,2718.152100,60.713017,0.0,0.0,340.7843
OBJECT=978,-1753.827026,2715.896484,60.261372,0.0,0.0,25.7841
OBJECT=978,-1756.484985,2703.267334,59.635212,0.0,0.0,115.7836
OBJECT=978,-1741.628296,2692.098877,59.801769,0.0,0.0,123.74991
OBJECT=978,-1725.024048,2689.660156,60.175198,0.0,12.3210,123.74991
OBJECT=978,-1709.503540,2681.694092,62.200939,0.0,12.89156,101.24992
OBJECT=978,-1696.259521,2668.397461,63.886440,0.0,8.59437,101.24992
OBJECT=978,-1680.878174,2656.010986,67.911339,0.0,24.6421,101.24992
OBJECT=978,-1667.821289,2645.175537,71.940201,0.0,24.6421,101.24992
OBJECT=978,-1657.521973,2633.375000,75.564285,0.85945,15.46986,89.99997
OBJECT=978,-1650.607544,2621.470947,77.687813,0.0,12.89156,78.74994
OBJECT=978,-1645.847778,2591.722900,82.217171,0.0,6.1605,67.49997
OBJECT=978,-1646.112671,2572.200195,84.145668,0.0,5.15662,67.49997
OBJECT=978,-1646.350586,2556.308350,85.190048,0.0,0.0,56.24994
OBJECT=978,-1644.746094,2538.418701,85.171410,0.0,0.0,56.24994
OBJECT=978,-1643.616821,2523.363525,85.372131,0.0,0.0,56.24994
OBJECT=978,-1636.805786,2498.250732,85.758385,0.0,0.0,56.24994
OBJECT=978,-1640.024780,2478.963623,86.836990,0.0,0.0,44.99999
OBJECT=978,-1650.952026,2462.619873,86.640991,0.0,0.0,22.49999
OBJECT=978,-1669.874146,2455.677979,85.331680,0.0,357.42169,337.50002
OBJECT=978,-1693.420044,2455.818604,81.723000,0.0,352.26507,326.24999
OBJECT=978,-1712.341553,2459.514404,78.340813,0.0,353.98396,315.2
OBJECT=978,-1728.230713,2463.770996,75.638802,0.0,352.26507,0.0
OBJECT=978,-1735.541260,2459.266357,73.408630,0.0,346.24902,78.74994
OBJECT=978,-1733.510010,2445.877686,70.735710,0.0,351.40564,101.24992
OBJECT=978,-1723.705322,2429.545166,68.478798,0.0,0.0,89.99997
OBJECT=978,-1712.013184,2415.853760,66.094536,1.71888,336.79523,157.49993
OBJECT=978,-1681.317261,2405.355225,58.275063,0.0,0.0,89.99997
OBJECT=978,-1681.828613,2382.968018,56.406021,0.0,353.12451,33.74996
OBJECT=978,-1697.066772,2358.722656,51.363190,0.0,349.68677,33.74996
OBJECT=978,-1720.504028,2332.694580,44.717632,0.0,349.68677,33.74996
OBJECT=978,-1743.083252,2311.645264,39.791786,0.0,352.26507,33.74996
OBJECT=978,-1749.953735,2302.321533,37.895493,0.0,345.38958,78.74994
OBJECT=978,-1744.677734,2298.972900,34.884953,0.0,347.96791,213.74992
OBJECT=978,-1685.905396,2340.957275,33.222282,0.0,0.0,168.74995
OBJECT=978,-1677.839111,2342.896240,34.457272,0.0,0.0,224.99995
OBJECT=978,-1646.353760,2605.732910,80.315720,0.0,9.45381,78.74994
OBJECT=979,-1572.367798,2510.540283,68.540886,0.0,0.0,101.24998
OBJECT=979,-1570.533203,2525.343750,68.683678,0.0,0.0,101.24998
OBJECT=979,-1568.192993,2541.907715,68.703796,0.0,0.0,101.24998
OBJECT=979,-1567.668579,2562.819092,68.467705,0.0,0.0,112.49994
OBJECT=979,-1568.322998,2582.577393,67.703362,0.0,0.0,123.74991
OBJECT=979,-1573.998901,2603.986572,66.043800,0.0,6.1605,146.24995
OBJECT=979,-1587.419189,2624.827148,61.909374,0.0,6.1605,168.74995
OBJECT=979,-1603.121826,2644.544434,57.557369,0.0,7.73494,146.24995
OBJECT=979,-1618.775635,2674.999756,54.269909,0.0,0.0,123.74991
OBJECT=979,-1626.331787,2697.529541,55.756596,0.0,0.0,112.49994
OBJECT=979,-1627.502075,2714.181885,57.438465,0.0,0.0,112.49994
OBJECT=979,-1633.835571,2729.489014,57.697479,0.0,0.0,157.49993
OBJECT=979,-1651.593750,2733.807373,59.524960,0.0,0.0,202.49996
OBJECT=979,-1672.084717,2735.541260,61.483322,0.0,0.0,202.49996
OBJECT=979,-1697.780762,2741.356934,61.704971,0.0,0.0,179.99997
OBJECT=979,-1725.405029,2741.197510,60.899372,0.0,0.0,213.74992
OBJECT=979,-1748.740601,2735.358398,59.898262,0.0,0.0,224.99995
OBJECT=979,-1770.370361,2725.943848,58.767338,0.0,0.0,236.24997
OBJECT=979,-1782.134399,2712.932617,58.053356,0.0,0.0,269.99992
OBJECT=979,-1777.746948,2703.022705,59.135380,0.0,352.26507,303.74992
OBJECT=979,-1768.750610,2694.425293,59.495872,0.0,0.0,337.49994
OBJECT=979,-1759.224487,2684.213379,59.572945,0.0,0.0,0.11
OBJECT=979,-1742.623657,2676.944336,60.504818,0.0,0.0,0.11
OBJECT=979,-1724.026489,2670.250732,62.084568,0.0,358.28113,0.11
OBJECT=979,-1705.883301,2654.682129,64.309319,0.0,0.0,337.50013
OBJECT=979,-1688.725220,2642.699707,68.827034,0.0,341.9239,337.50013
OBJECT=979,-1673.753418,2629.689453,74.855370,0.0,344.53015,326.25016
OBJECT=979,-1662.112061,2613.067383,78.597366,0.0,351.40564,303.75018
OBJECT=979,-1657.494629,2594.326416,81.572121,0.0,353.12451,292.50016
OBJECT=979,-1657.927124,2573.811279,83.685921,0.0,353.12451,292.50016
OBJECT=979,-1658.576782,2551.416748,85.160683,0.0,0.0,292.50016
OBJECT=979,-1659.572632,2524.201172,85.616249,0.0,0.0,303.75018
OBJECT=979,-1654.976807,2502.333008,86.314537,0.0,0.0,303.75018
OBJECT=979,-1656.983521,2481.688232,87.032310,0.0,0.0,270.16
OBJECT=979,-1663.850830,2473.841309,86.854347,0.0,0.0,236.25021
OBJECT=979,-1677.150635,2471.544189,85.098579,0.0,12.89156,202.50020
OBJECT=979,-1697.131714,2472.326416,80.782684,0.0,12.3210,180.19
OBJECT=979,-1735.632324,2475.816895,75.100273,0.0,8.59437,202.50020
OBJECT=979,-1748.761353,2467.434814,73.085609,0.0,6.1605,236.25021
OBJECT=979,-1747.797607,2445.964355,71.259224,0.0,4.29718,317.73310
OBJECT=979,-1739.425171,2428.709229,69.558235,0.0,4.29718,315.14
OBJECT=979,-1725.507202,2406.542725,67.442291,0.0,4.29718,348.75016
OBJECT=979,-1712.225342,2399.565186,64.447136,0.0,11.17267,22.50011
OBJECT=979,-1703.727417,2401.812988,62.409973,0.0,17.18873,4.37465
OBJECT=979,-1697.660767,2381.410400,55.015244,0.0,0.0,270.16
OBJECT=979,-1710.959473,2361.293701,50.197536,0.0,0.0,270.16
OBJECT=979,-1726.890503,2343.936768,45.908802,0.0,0.0,258.75021
OBJECT=979,-1756.408447,2314.532227,39.112041,0.0,6.87550,225.18
OBJECT=979,-1763.263062,2305.259521,37.912094,0.0,5.15662,258.75021
OBJECT=979,-1763.538574,2294.695313,36.755886,0.0,6.1605,281.25018
OBJECT=979,-1756.997437,2285.786377,35.481220,0.0,4.29718,326.25016
OBJECT=979,-1744.305054,2284.531250,34.503944,0.0,6.1605,11.25014
OBJECT=979,-1729.554688,2294.152344,33.571583,0.0,4.29718,45.8
OBJECT=979,-1716.844849,2309.016846,32.512287,0.0,1.71888,56.25011
OBJECT=979,-1661.057861,2342.421143,36.048847,0.0,339.37353,56.25011
OBJECT=979,-1645.108887,2358.009521,43.107826,0.0,348.82734,56.25011
OBJECT=979,-1625.374023,2374.223877,48.207657,0.0,350.54620,56.25011
OBJECT=979,-1612.678589,2390.464844,52.210728,0.0,348.82734,67.50009
OBJECT=979,-1600.692871,2415.101807,57.298866,0.0,350.54620,78.75011
OBJECT=979,-1588.802612,2444.802979,62.567387,0.0,353.98396,78.75011
OBJECT=979,-1579.208252,2479.790527,66.766289,0.0,355.70283,90.6
OBJECT=3819,-1595.338379,2523.683594,69.702782,0.0,0.0,168.74995
OBJECT=3819,-1593.624512,2532.100342,69.757217,0.0,0.0,168.74995
OBJECT=978,-1647.373291,2710.761230,58.674809,0.0,11.17267,320.15670
OBJECT=979,-1693.045898,2398.989258,58.514618,0.0,13.75099,330.62464

; Pickups
; Format:
;	PICKUPREPAIR=x,y,z
;	PICKUPNITRO=x,y,z
;	PICKUPVEHICLE=vehicletype,x,y,z
