; Converted Thu, 24 Jun 10 09:47:08 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=2658.4363,-1639.8174,10.8530
MinLevel=0
JoinCost=1000
WinBaseXP=50000
WinBaseCash=50000

Name=Slick's Trackmania
Author=Slick
RunTime=600
Weather=5
Time=23:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=451

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=4090.256348,254.824539,9.330733,179
SPAWN=4086.775391,254.75885,9.330733,179
SPAWN=4083.386475,254.772583,9.330733,179
SPAWN=4080.037842,254.815216,9.330733,179
SPAWN=4076.821045,254.743866,9.330733,179
SPAWN=4073.653564,254.736008,9.330733,179
SPAWN=4070.362549,254.742828,9.330733,179
SPAWN=4067.15918,254.491104,9.330733,179
SPAWN=4063.753418,254.729111,9.330733,179
SPAWN=4090.22998,245.164917,9.330733,179
SPAWN=4087.119385,245.090561,9.330733,179
SPAWN=4083.686523,245.337097,9.330733,179
SPAWN=4080.543945,245.304123,9.330733,179
SPAWN=4077.571289,245.259766,9.330733,179
SPAWN=4074.506836,245.149567,9.330733,179
SPAWN=4071.421875,245.24881,9.330733,179
SPAWN=4068.362793,245.257294,9.330733,179
SPAWN=4065.385254,245.263367,9.330733,179
SPAWN=4062.350586,245.108078,9.330735,179
SPAWN=4090.218018,235.561646,9.330733,179
SPAWN=4084.663574,235.406433,9.330735,179
SPAWN=4063.394043,235.289154,9.330733,179
SPAWN=4068.504883,235.355621,9.330733,179
SPAWN=4074.074707,235.328232,9.330733,179
SPAWN=4079.127441,235.456436,9.330733,179

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=4076.900391,45.180786,8.558668,0,31.6
CP=3936.80835,56.559834,12.094236,0,31.6
CP=4391.208496,56.731976,16.861637,0,31.6
CP=4384.858887,-31.452255,31.207378,0,31.6
CP=3459.884033,-31.022938,6.659775,0,31.6

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=8171,4076.916748,188.344101,8.566361,0,0,0
OBJECT=8171,4076.941895,50.290833,8.558668,0,0,0
OBJECT=8343,4052.905762,-66.107887,8.556425,0,0,180.00009875
OBJECT=8171,3955.930664,-67.768768,8.574692,0,0,249.218934519
OBJECT=13666,4064.850586,95.124222,13.438983,0,0,3.51512048888
OBJECT=13666,4073.018799,95.14679,13.438994,0,0,3.51512048888
OBJECT=13666,4081.169678,95.651558,13.438989,0,0,3.51512048888
OBJECT=13666,4089.287109,95.860634,13.438975,0,0,3.51512048888
OBJECT=8171,3859.448975,-43.289829,8.557358,0,0,270.000049375
OBJECT=8171,3792.864746,-43.367229,1.25928,89.3813283042,0,89.999950625
OBJECT=8171,3832.556885,-43.294903,2.759273,318.7470528,0,270.000049375
OBJECT=8171,3842.189697,-43.305904,9.528853,339.3735264,0,270.000049375
OBJECT=8171,3822.951416,-43.27702,-8.199963,300.698945696,0,270.000049375
OBJECT=8171,3838.321777,-43.316917,11.986702,349.6867632,0,270.000049375
OBJECT=8171,3808.16748,-43.2817,0.664005,288.666836096,0,270.000049375
OBJECT=8171,3799.593018,-43.283684,-3.168846,277.494162896,0,270.000049375
OBJECT=8171,3823.797363,-43.287876,-2.334553,304.996127696,0,270.000049375
OBJECT=8171,3806.714844,-43.276379,-3.797916,285.229090496,0,270.000049375
OBJECT=8171,3823.535645,-43.285686,-13.703857,298.120636496,0,270.000049375
OBJECT=8171,3840.290039,-43.304405,-13.077553,311.871618896,0,270.000049375
OBJECT=8171,3839.700684,-43.284554,2.187658,324.7631076,0,270.000049375
OBJECT=8171,3843.138672,-43.279446,6.457203,333.3574716,0,270.000049375
OBJECT=8171,3837.779053,-43.315586,12.337378,344.5301448,0,270.000049375
OBJECT=8171,3855.529297,-43.319241,9.357367,354.8433816,0,270.000049375
OBJECT=8171,3859.448975,56.710171,8.557358,0,0,270.000049375
OBJECT=8171,3792.864746,56.632771,1.25928,89.3813283042,0,89.999950625
OBJECT=8171,3832.556885,56.705097,2.759273,318.7470528,0,270.000049375
OBJECT=8171,3842.189697,56.694096,9.528853,339.3735264,0,270.000049375
OBJECT=8171,3822.951416,56.72298,-8.199963,300.698945696,0,270.000049375
OBJECT=8171,3838.321777,56.683083,11.986702,349.6867632,0,270.000049375
OBJECT=8171,3808.16748,56.7183,0.664005,288.666836096,0,270.000049375
OBJECT=8171,3799.593018,56.716316,-3.168846,277.494162896,0,270.000049375
OBJECT=8171,3823.797363,56.712124,-2.334553,304.996127696,0,270.000049375
OBJECT=8171,3806.714844,56.723621,-3.797916,285.229090496,0,270.000049375
OBJECT=8171,3823.535645,56.714314,-13.703857,298.120636496,0,270.000049375
OBJECT=8171,3840.290039,56.695595,-13.077553,311.871618896,0,270.000049375
OBJECT=8171,3839.700684,56.715446,2.187658,324.7631076,0,270.000049375
OBJECT=8171,3843.138672,56.720554,6.457203,333.3574716,0,270.000049375
OBJECT=8171,3837.779053,56.684414,12.337378,344.5301448,0,270.000049375
OBJECT=8171,3855.529297,56.680759,9.357367,354.8433816,0,270.000049375
OBJECT=8171,3995.788086,56.716232,23.971205,12.891546,0,270.000049375
OBJECT=8171,3930.992188,56.715664,11.392932,6.8754912,0,270.000049375
OBJECT=8171,4193.337402,56.638474,23.62072,7.7349276,0,89.999950625
OBJECT=17117,4308.970703,77.00116,16.453882,0,0,95.0019277687
OBJECT=8171,4419.48877,56.713448,16.861637,0,0,270.000049375
OBJECT=8171,4556.60498,56.722561,16.89609,0,0,270.000049375
OBJECT=620,4425.644043,56.680042,16.828796,0,0,0
OBJECT=620,4456.595703,56.689293,16.928795,0,0,0
OBJECT=620,4488.623047,56.682255,16.963247,0,0,0
OBJECT=620,4529.470703,56.65543,16.963247,0,0,0
OBJECT=619,4299.188477,41.730095,22.941374,0,0,191.25006393
OBJECT=619,4317.352051,71.998322,25.319223,0,0,45.0001155169
OBJECT=619,4312.834961,43.801273,24.305059,0,0,22.4999876562
OBJECT=623,4298.880371,72.87825,24.745747,0,0,168.750076274
OBJECT=623,4265.519043,37.258095,16.92453,0,0,326.249989868
OBJECT=621,4284.229004,72.199196,19.846134,0,0,0
OBJECT=621,4289.67627,39.999062,20.922268,0,0,0
OBJECT=8343,4672.710449,32.598309,16.840763,0,0,270.000049375
OBJECT=8171,4646.723145,-31.375423,16.805977,0,0,270.000049375
OBJECT=8171,4510.253906,-31.385431,23.973505,353.9839452,0,270.000049375
OBJECT=8171,4372.352051,-31.403116,31.207378,0,0,270.000049375
OBJECT=8171,4236.594238,-31.424171,43.424709,349.6867632,0,270.000049375
OBJECT=8171,4099.436035,-31.424635,55.81089,0,0,270.000049375
OBJECT=8171,3968.911865,-31.433805,72.681793,345.3895812,0,270.000049375
OBJECT=8171,3832.908203,-31.437473,90.106079,0,0,270.000049375
OBJECT=8171,4015.690674,-31.511839,61.989643,8.594364,0,89.999950625
OBJECT=8171,4279.999023,-31.471294,37.028263,353.9839452,0,270.000049375
OBJECT=8171,4559.961426,-31.374435,19.736874,356.5622544,0,270.000049375
OBJECT=1634,3767.352295,-42.342491,91.178383,0,0,89.999950625
OBJECT=1634,3767.352295,-38.209816,91.178383,0,0,89.999950625
OBJECT=1634,3767.338135,-34.054165,91.178383,0,0,89.999950625
OBJECT=1634,3767.341309,-29.977587,91.178383,0,0,89.999950625
OBJECT=1634,3767.35083,-25.831024,91.178383,0,0,89.999950625
OBJECT=1634,3767.352295,-21.701279,91.178383,0,0,89.999950625
OBJECT=1634,3767.357178,-17.558121,91.178383,0,0,89.999950625
OBJECT=1634,3767.356445,-45.25795,91.178383,0,0,89.999950625
OBJECT=8172,3508.578857,-31.394163,6.6754,0,0,270.000049375
OBJECT=11247,3440.536133,-21.307947,8.063652,0,0,0
OBJECT=11247,3440.536133,-21.311462,8.355848,0,0,0
OBJECT=1225,4285.614258,-31.515211,36.842243,0,0,0
OBJECT=1225,4297.337402,-23.302525,35.60675,0,0,0
OBJECT=1225,4308.145996,-39.27943,34.46769,0,0,0
OBJECT=1225,4299.393555,-41.882423,35.390064,0,0,0
OBJECT=1225,4301.995605,-31.506454,35.115845,0,0,0
OBJECT=17941,4288.311523,53.554184,22.099234,352.2650724,0,98.671663901
