; Converted Mon, 02 Aug 10 19:32:32 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=887.535278,-1523.213013,13.354688
MinLevel=0
JoinCost=1000
WinBaseXP=800000
WinBaseCash=800000

Name=Smokes Infernus Ride
Author=Smoke
Description=Have Fun.
RunTime=1000
Weather=0
Time=7

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=411

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=887.535278,-1523.213013,13.354688,271
SPAWN=887.47644,-1525.671631,13.354688,271
SPAWN=887.544189,-1528.143555,13.354688,271
SPAWN=887.32373,-1530.606689,13.354688,271
SPAWN=887.078857,-1533.0979,13.354688,271
SPAWN=887.022217,-1535.529419,13.354688,271
SPAWN=881.766724,-1523.290649,13.35469,271
SPAWN=881.78772,-1525.744629,13.35469,271
SPAWN=881.736267,-1528.118042,13.346925,271
SPAWN=881.498108,-1530.626465,13.346925,271
SPAWN=881.465149,-1533.137207,13.346925,271
SPAWN=881.601807,-1535.643311,13.346925,271

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=959.119507,-1476.661255,12.546875,0,8
CP=958.942383,-1352.672363,12.34375,0,8
CP=956.063965,-1510.447144,12.552807,0,8
CP=1004.380005,-1542.095947,12.58239,0,8
CP=1146.465454,-1544.834351,28.90625,0,8
CP=1269.204712,-1382.896484,49.448517,0,8
CP=1421.465942,-1542.725464,102.386177,0,8
CP=1532.637329,-1530.854492,66.210938,0,8
CP=1537.422729,-1420.877319,26.039063,0,8
CP=1476.091187,-1382.302734,61.4375,0,8
CP=1819.056396,-1299.055054,130.734375,0,8
CP=1515.392944,-1083.336792,180.203125,0,8
CP=1544.822266,-1354.140503,328.4729,0,8
CP=1112.2052,-896.186035,57.186829,0,8
CP=1082.502563,-1144.251953,22.65625,0,8
CP=1255.623291,-1157.447266,22.828125,0,8
CP=1271.220215,-1257.061279,12.291988,0,8
CP=1253.071167,-1399.445068,12.007324,0,8
CP=1195.09729,-1416.111328,12.213457,0,8
CP=1196.143066,-1570.245239,12.382813,0,8
CP=1150.355225,-1576.369995,12.273438,0,8
CP=1149.17395,-1709.711182,12.78125,0,8
CP=1037.195435,-1711.412964,12.39057,0,8
CP=1049.370728,-1495.051758,12.382813,0,8
CP=868.806213,-1482.203979,12.59227,0,8
CP=831.174377,-1439.194702,12.48494,0,8
CP=792.856506,-1488.714722,12.382813,0,8
CP=821.239929,-1543.609619,12.55164,0,8
CP=865.471191,-1493.463135,12.534126,0,8
CP=722.912598,-1496.602295,0.934345,0,2.4

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=3995,1142.972168,-1569.697998,16.952614,0,24.9236556,176.939874913
OBJECT=4644,1209.174561,-1414.914429,34.689381,0,24.0642192,181.236713138
OBJECT=4823,1349.774658,-1470.439087,77.29985,0,2.5783092,90.240822
OBJECT=5121,1413.272217,-1496.354858,98.215088,0,354.8433816,229.365609904
OBJECT=1634,1532.380737,-1515.606934,64.375557,0,0,0
OBJECT=972,1173.97168,-1393.691772,12.397398,0,0,167.486131808
OBJECT=972,1169.36145,-1412.53186,12.679893,0,0,167.486131808
OBJECT=1696,1168.621094,-1426.730103,29.485279,0,0,0
OBJECT=1696,1173.37207,-1426.773071,29.454044,0,0,0
OBJECT=1696,1178.671387,-1426.873169,29.386955,0,0,0
OBJECT=1697,1531.961548,-1421.105713,27.640942,0,0,270.000049375
OBJECT=13647,1504.751343,-1430.930542,29.959234,0,206.264736,0
OBJECT=13647,1504.764282,-1429.521362,29.959234,0,206.265022479,0
OBJECT=16084,1475.141357,-1420.344727,28.977936,0,322.1847984,110.0078592
OBJECT=17662,1493.834595,-1380.574707,52.494846,0,0,267.1808688
OBJECT=17625,1455.898926,-1320.776733,54.263397,0,7.7349276,91.1002584
OBJECT=17625,1454.706055,-1336.919189,52.25045,0,0.8594364,269.003650496
OBJECT=7980,1451.260254,-1364.052734,54.53006,0,323.9036712,0
OBJECT=1696,1504.505615,-1373.693359,50.901051,0,328.2008532,0
OBJECT=7979,1514.438232,-1420.9729,32.741283,0,0,91.1002584
OBJECT=10490,1554.634888,-1415.914429,81.275139,0,5.1566184,225.068370608
OBJECT=10488,1693.446533,-1378.716187,146.486969,0,22.3453464,276.6346692
OBJECT=10075,1821.344116,-1220.61499,147.660187,0,0,285.2290332
OBJECT=10075,1750.389038,-1132.78894,182.216034,0,0,324.7631076
OBJECT=10075,1644.572021,-1088.197632,216.656433,0,0,343.6707084
OBJECT=10073,1507.229614,-1178.323486,209.625381,0,9.4538004,60.160548
OBJECT=10073,1533.006714,-1341.593628,277.006836,0,17.188728,60.160548
OBJECT=9728,1546.317627,-1400.601318,321.912781,0,340.2329628,46.4095656
OBJECT=4550,1484.21521,-1283.869629,353.08197,0,309.2932524,311.871618896
OBJECT=1632,1387.566528,-1173.976685,493.548462,0,38.674638,52.4256204
OBJECT=1632,1389.127563,-1171.999512,493.929413,0,322.1847984,36.0963288
OBJECT=1225,1173.209839,-1386.171631,14.148598,0,0,0
OBJECT=1225,1172.3396,-1387.064209,13.210969,0,0,0
OBJECT=1225,1170.166016,-1400.269409,12.865384,0,0,0
OBJECT=1225,1171.834229,-1395.218994,12.906724,0,0,0
OBJECT=1225,1171.543091,-1396.537109,12.841962,0,0,0
OBJECT=1225,1170.828247,-1399.00708,12.926675,0,0,0
OBJECT=1225,1174.421265,-1385.152588,14.165944,0,0,0
OBJECT=1225,1175.694824,-1385.433838,14.724698,0,0,0
