; Converted Mon, 12 Apr 10 14:01:09 +1000

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=1736.964478,720.239258,10.48069,0
MinLevel=0
JoinCost=15000
WinBaseXP=450000
WinBaseCash=450000

Name=Stick and Move
Author=Phoenix
Description=Stick the jump and Move on fast
RunTime=1000
Weather=0
Time=7

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=451

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=1736.964478,720.239258,10.48069,89
SPAWN=1737.015259,717.629272,10.48069,89
SPAWN=1737.003418,715.092285,10.48069,89
SPAWN=1737.047974,712.437744,10.48069,89
SPAWN=1737.031372,722.737976,10.48069,89
SPAWN=1737.15271,725.512451,10.48069,89
SPAWN=1737.033936,709.928284,10.48069,89
SPAWN=1737.443726,728.20636,10.48069,89

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=1602.823608,720.113647,9.820313,0,31.6
CP=1567.740723,783.065186,10.538013,0,12
CP=1602.46228,842.924805,5.703125,0,8
CP=1794.39917,853.150879,9.671875,0,8
CP=1930.401978,853.366699,5.967024,0,8
CP=2059.684326,853.639893,5.726669,0,8
CP=2069.056152,1033.169922,9.535504,0,8
CP=2096.523438,1228.677734,9.820313,0,8
CP=2188.844238,1284.63562,9.671875,0,8
CP=2259.26123,1353.487793,6.164063,0,8
CP=2427.045898,1353.813599,9.671875,0,8
CP=2420.047607,1473.473877,9.807344,0,8
CP=2359.295654,1473.890015,9.820313,0,6
CP=2285.406738,1398.669556,9.820313,0,8
CP=2309.80249,1510.210693,18.643778,1,12
CP=2330.997803,1403.733154,22.412052,1,12
CP=2287.733643,1501.418579,28.813484,1,12
CP=2323.510742,1405.092285,35.384434,1,12
CP=2279.638428,1505.268677,42.295467,0,12
CP=2304.505371,1404.167969,41.820313,0,12
CP=2321.317383,1421.732544,41.820313,0,12
CP=2325.339111,1513.686523,41.820313,0,8
CP=2327.605469,1628.168213,9.671875,0,8
CP=2326.416504,1735.097168,9.679672,0,8
CP=2317.627686,1777.822144,9.681892,0,8
CP=2306.638916,1852.859619,15.452358,0,8
CP=2337.866943,1893.582764,9.825153,0,8
CP=2397.594971,1898.405396,10.65625,0,8
CP=2467.036377,1891.90564,7.636125,0,8
CP=2545.592041,1893.202148,17.809259,0,8
CP=2606.820313,1894.942627,10.023438,0,4
CP=2628.413818,1833.572266,10.023438,0,4
CP=2628.250488,1725.793701,10.023438,0,4
CP=2613.534424,1716.44519,9.820313,0,4
CP=2558.66333,1694.164795,9.820313,0,8.4
CP=2431.489014,1713.896973,9.96783,0,8.4
CP=2327.571045,1677.371704,8.89686,0,8.4
CP=2311.440674,1521.774536,9.820313,0,8.4
CP=2305.471436,1387.341431,9.820313,0,8.4
CP=2233.125,1372.110596,9.758794,0,8.4
CP=2227.45166,1299.533325,9.671875,0,8.4
CP=2153.751221,1246.856934,9.820313,0,8.4
CP=2081.435791,1194.22937,9.671875,0,8.4
CP=2227.562744,1195.510376,9.888947,0,8.4
CP=2246.05835,1373.764282,9.84379,0,8.4
CP=2247.758545,1519.146729,9.671875,0,8
CP=2252.927002,1574.497192,19.390625,0,8
CP=2250.878662,1674.664551,19.390625,0,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=1633,2359.828125,1475.909302,10.125723,0,0,89.999950625
OBJECT=1633,2359.827637,1471.791016,10.125565,0,0,89.999950625
OBJECT=1696,2322.404541,1519.137207,42.827541,0,0,0
OBJECT=1634,2313.731934,1789.822266,10.813878,0,0,0
OBJECT=1634,2309.592041,1789.814697,10.810127,0,0,0
OBJECT=1634,2317.881348,1789.81543,10.811383,0,0,0
OBJECT=3852,2363.734131,1890.540649,11.281995,0,0,89.999950625
OBJECT=3852,2363.737549,1893.937256,11.280168,0,0,89.999950625
OBJECT=3852,2363.743408,1897.473389,11.27638,0,0,89.999950625
OBJECT=16303,2479.626953,1891.201538,7.144127,355.57390254,344.35825752,15.1797667671
OBJECT=1633,2243.145508,1527.878662,10.751798,0,0,352.968721629
OBJECT=1633,2247.122314,1527.087524,10.672051,0,0,352.968721629
OBJECT=1633,2250.984863,1526.316528,10.589924,0,0,352.968721629
OBJECT=1633,2251.811279,1532.080078,12.237232,0,0,352.968721629
OBJECT=1633,2247.956787,1532.842285,12.316957,0,0,352.968721629
OBJECT=1633,2244.34668,1533.553467,12.387888,0,0,352.968721629
OBJECT=1632,2248.206299,1540.276855,14.412035,0,0,352.968778924
OBJECT=1632,2252.178955,1539.800781,14.420148,0,0,352.968778924
OBJECT=16303,2488.884033,1891.16333,6.448408,355.53093072,351.319749656,15.2657104071
OBJECT=1225,2355.674072,1469.950195,10.226068,0,0,0
OBJECT=1225,2355.624268,1471.262207,10.226068,0,0,0
OBJECT=1225,2355.784424,1472.839111,10.226068,0,0,0
OBJECT=1225,2355.508545,1474.311279,10.226068,0,0,0
OBJECT=1225,2355.294922,1475.608398,10.226068,0,0,0
OBJECT=1225,2355.135254,1476.716797,10.226068,0,0,0
OBJECT=1225,2355.325684,1478.041992,10.226068,0,0,0
OBJECT=1225,2353.487305,1471.21582,10.226068,0,0,0
OBJECT=1225,2353.585693,1472.709473,10.226068,0,0,0
OBJECT=1225,2353.448975,1474.321533,10.226068,0,0,0
OBJECT=1225,2353.489258,1475.966675,10.226068,0,0,0
OBJECT=1225,2353.338379,1477.384766,10.226068,0,0,0
OBJECT=1225,2329.930664,1514.994141,42.226067,0,0,0
OBJECT=1225,2320.332764,1514.160156,42.226067,0,0,0
OBJECT=1225,2320.34375,1513.442993,42.226067,0,0,0
OBJECT=1225,2320.378906,1512.725464,42.226067,0,0,0
OBJECT=1225,2320.376221,1512.006104,42.226067,0,0,0
OBJECT=1225,2320.375977,1511.295898,42.226067,0,0,0
OBJECT=1225,2320.416016,1510.573853,42.226067,0,0,0
OBJECT=1225,2320.408936,1509.854858,42.226067,0,0,0
OBJECT=1225,2320.400879,1509.136108,42.226067,0,0,0
OBJECT=1225,2329.913818,1514.291504,42.226067,0,0,0
OBJECT=1225,2329.941895,1513.575073,42.226067,0,0,0
OBJECT=1225,2329.974609,1512.859131,42.226067,0,0,0
OBJECT=1225,2329.97168,1512.139404,42.226067,0,0,0
OBJECT=1225,2329.960205,1511.421509,42.226067,0,0,0
OBJECT=1225,2329.940918,1510.700073,42.226067,0,0,0
OBJECT=1225,2329.91333,1509.980591,42.226067,0,0,0
OBJECT=1225,2329.918213,1509.265991,42.226067,0,0,0
OBJECT=1225,2320.331787,1514.870117,42.226067,0,0,0
OBJECT=1225,2312.125732,1796.895386,10.226068,0,0,0
OBJECT=1225,2311.202393,1800.667236,10.226068,0,0,0
OBJECT=1225,2309.816406,1799.062256,10.226068,0,0,0
OBJECT=1225,2309.503662,1797.983398,10.226068,0,0,0
OBJECT=1225,2308.756348,1797.311646,10.226068,0,0,0
OBJECT=1225,2307.603271,1797.693848,10.226068,0,0,0
OBJECT=1225,2306.947998,1800.70752,10.226068,0,0,0
OBJECT=1225,2307.324463,1801.18335,10.226068,0,0,0
OBJECT=1225,2308.114502,1800.914307,10.226069,0,0,0
OBJECT=1225,2309.205566,1801.086182,10.226068,0,0,0
