; Converted Thu, 03 Jun 10 03:57:11 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=369.470856,-1670.572632,32.38694,,0
MinLevel=0
JoinCost=1000
WinBaseXP=3000000
WinBaseCash=3000000

Name=Stunts Unlimited
Author=iFriSki
RunTime=1200
Weather=18
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=522

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=369.470856,-1670.572632,32.38694,178
SPAWN=368.113678,-1670.608398,32.38694,178
SPAWN=367.113678,-1670.608398,32.38694,178
SPAWN=370.863678,-1670.608398,32.38694,178
SPAWN=372.113678,-1670.608398,32.38694,178
SPAWN=365.863678,-1670.608398,32.38694,178
SPAWN=373.363678,-1670.608398,32.38694,178
SPAWN=374.863678,-1670.608398,32.38694,178
SPAWN=369.613678,-1663.858398,32.38694,178

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=361.932312,-1696.930176,28.2911,0,4
CP=357.615967,-1710.79541,28.557878,1,2.4
CP=357.768433,-1726.716064,27.747879,1,2
CP=369.829559,-1759.615234,12.534329,0,22
CP=370.601501,-1788.896973,19.489828,0,6
CP=385.244659,-1794.245361,15.712338,1,2.4
CP=369.793121,-1821.729614,6.671875,0,16
CP=369.743561,-1907.855347,6.671875,0,12
CP=369.782959,-2030.23291,6.84404,0,4
CP=370.956238,-2066.042725,25.133152,1,8
CP=370.591675,-2103.345703,16.445515,1,4
CP=380.810577,-2104.091064,15.695515,1,2
CP=390.128418,-2105.39917,13.570259,1,4
CP=395.902435,-2095.885742,12.251216,1,4
CP=389.778229,-2065.6604,6.835938,0,8
CP=375.304047,-2020.342896,6.83009,0,10
CP=370.102356,-1973.612915,6.671875,0,14
CP=369.810577,-1887.665283,6.665986,0,8
CP=369.257019,-1901.701538,6.671875,0,18
CP=369.885651,-2030.384888,6.959686,0,4
CP=370.706146,-2061.693848,16.183151,0,8
CP=370.247284,-2109.770264,15.90657,1,2
CP=370.200592,-2119.693604,21.656013,1,2
CP=373.535614,-2132.589844,16.978666,0,4
CP=400.419373,-2142.863281,16.94142,0,4.4
CP=402.796906,-2154.876953,15.096233,0,4
CP=398.141388,-2181.661377,3.604272,1,8
CP=403.438599,-2215.308594,0.094271,0,28
CP=402.997925,-2243.77832,-0.176907,0,31.6
CP=403.060699,-2280.812012,-0.089594,0,30
CP=418.027924,-2323.72998,9.708287,0,8
CP=419.425507,-2340.277344,0.864813,0,8
CP=402.471344,-2356.456787,4.351904,0,8
CP=372.727905,-2362.25415,9.876718,0,8
CP=362.364441,-2351.124756,15.980601,0,8
CP=343.362,-2351.284912,19.327213,1,4
CP=286.161438,-2351.016846,16.65769,0,8
CP=246.76944,-2350.990234,21.982971,0,8
CP=218.169067,-2350.520264,25.175049,0,8
CP=121.38343,-2347.714111,3.962059,1,2.4

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=3663,361.841095,-1697.401489,28.5557,0,0,71.8744942447
OBJECT=18609,356.59436,-1726.104736,27.445381,0,25.783092,206.642799037
OBJECT=5774,369.123901,-1777.796631,13.319799,0,12.0321096,91.718823425
OBJECT=1697,370.481873,-1789.290039,19.674797,0,0,1.7188728
OBJECT=3663,369.836304,-2032.729248,8.302655,0,0,89.999950625
OBJECT=6910,371.662842,-2065.556396,14.738371,0,0,0
OBJECT=3743,370.273224,-2115.380371,18.054604,0,0,0
OBJECT=6052,377.998474,-2128.753174,16.375013,0,0,0
OBJECT=6052,396.032196,-2146.857666,16.377092,0,0,180.000041454
OBJECT=4853,397.044098,-2193.742432,-9.520567,0,333.3574716,81.8872720793
OBJECT=656,402.109253,-2155.283691,13.669079,0,0,0
OBJECT=970,399.380859,-2159.510498,12.109852,0,4.297182,354.76608962
OBJECT=970,403.510925,-2160.011719,12.128035,0,353.1245088,347.031104724
OBJECT=970,403.89444,-2164.74585,9.858465,0,353.1245088,349.609413924
OBJECT=970,399.84375,-2163.981201,9.784809,0,7.7349276,353.04721682
OBJECT=970,398.546906,-2165.002686,9.306614,0,7.7349276,354.76608962
OBJECT=1225,397.76178,-2158.94043,12.15187,0,0,0
OBJECT=1225,400.502594,-2159.180176,11.72689,0,0,0
OBJECT=1225,403.321442,-2159.485596,11.728423,0,0,0
OBJECT=1225,405.311279,-2164.419434,9.955729,0,0,0
OBJECT=1225,401.844116,-2163.810791,9.406706,0,0,0
OBJECT=1225,398.143982,-2163.531982,9.88171,0,0,0
OBJECT=1225,402.420349,-2165.110596,9.187959,0,0,0
OBJECT=8375,400.421814,-2194.100098,1.793438,0,0,0
OBJECT=16644,397.855255,-2192.907959,3.722848,0,0,0
OBJECT=13647,398.638123,-2220.839355,3.464396,0,0,270.000049375
OBJECT=13640,408.584625,-2216.216064,1.135775,0,0,270.000049375
OBJECT=13647,408.493347,-2230.265869,1.434686,0,179.518298704,270.000049375
OBJECT=13647,408.499176,-2270.024414,1.756978,0,179.518298704,270.000049375
OBJECT=13647,398.64917,-2253.919678,3.699192,0,6.8754912,90.0001481251
OBJECT=3632,408.487274,-2217.068115,1.340699,0,85.0841463042,356.5622544
OBJECT=1633,398.985107,-2263.295898,10.305286,0,22.3453464,185.233951835
OBJECT=1260,394.486237,-2279.865723,7.434955,0,0,0
OBJECT=2931,408.643341,-2234.534424,1.338222,0,0,180.000041454
OBJECT=5152,408.509583,-2244.448242,2.194312,0,0,270.000049375
OBJECT=16367,407.925873,-2250.665527,5.432306,0,0,89.999950625
OBJECT=3632,408.243073,-2259.625,1.55145,0,110.867238304,356.5622544
OBJECT=3632,408.475403,-2264.236328,1.489794,0,92.8190739042,356.5622544
OBJECT=3632,408.419952,-2270.044922,1.568061,0,90.2407647042,356.5622544
OBJECT=3632,408.497467,-2280.730957,1.776609,0,85.0841463042,356.5622544
OBJECT=744,406.468201,-2262.841309,-1.40097,0,34.377456,298.120636496
OBJECT=17323,402.502045,-2302.632324,4.825261,0,0,36.0963288
OBJECT=3625,417.706329,-2286.892334,5.466453,0,353.1245088,0
