; Converted Mon, 12 Apr 10 12:48:47 +1000

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=2287.555176,2472.693115,10.48069,0
MinLevel=0
JoinCost=1337
WinBaseXP=200000
WinBaseCash=200000

Name=SWAT Mania
Author=r3k1lLz
Description=S.W.A.T Mania
RunTime=1000
Weather=
Time=

Name=SWAT Mania
Author=r3k1lLz
Description=S.W.A.T Mania
RunTime=1000
Weather=
Time=

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=601

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=2287.555176,2472.693115,10.48069,92
SPAWN=2287.580811,2468.848877,10.750522,89
SPAWN=2287.293213,2465.213623,10.750522,89
SPAWN=2287.103027,2456.358887,10.750522,89
SPAWN=2287.11084,2452.710693,10.750522,89
SPAWN=2287.027588,2448.521973,10.750522,78
SPAWN=2282.3479,2460.430664,10.750522,89
SPAWN=2282.33667,2442.813232,10.750522,85
SPAWN=2282.157715,2477.390869,10.750522,89

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=2236.22998,2452.75708,9.719069,0,8
CP=2029.46106,2452.760986,9.87483,0,8
CP=2014.089355,2282.900635,9.671875,0,8
CP=2106.223389,2284.916504,9.671875,0,8
CP=2125.092773,1996.700806,9.671875,0,8
CP=2173.071533,1986.055298,9.820313,0,8
CP=2202.542969,1991.600464,15.737954,0,8
CP=2346.14502,2023.267456,9.722523,0,8
CP=2319.067139,1912.948975,7.390699,0,8
CP=2229.774658,1992.737061,8.867188,0,8
CP=2228.802979,1976.176636,14.346449,0,8
CP=2258.275391,1937.64917,14.346449,0,8
CP=2267.383789,2022.536011,9.679668,0,8
CP=2138.28418,2021.936279,9.872959,0,8
CP=2036.78418,2021.901245,9.671875,0,8
CP=1808.027344,2005.441406,3.382584,0,8
CP=1770.702271,1822.811279,5.707722,0,8
CP=1723.955444,1601.886597,9.015598,0,8
CP=1685.007324,1606.769775,13.147715,0,8
CP=1424.321533,1612.15625,11.83807,0,8
CP=1388.185791,1644.864868,9.8125,0,8
CP=1430.204712,1722.273804,9.820313,0,8
CP=1441.952271,1697.801514,9.820313,0,8
CP=1477.241089,1664.741211,9.8125,0,8
CP=1486.134521,1133.067993,9.671875,0,8
CP=1786.662598,1161.773071,5.741993,0,8
CP=1789.518555,1576.965332,5.741995,0,8
CP=1936.561768,1557.705322,11.420259,0,8
CP=1949.390869,1468.05603,19.970783,0,8
CP=1952.190796,1432.560059,25.796909,1,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=3091,2167.29834,2010.127686,10.465354,0,0,270.000049375
OBJECT=3091,2167.317139,2006.601074,10.465354,0,0,270.000049375
OBJECT=3091,2167.483154,2002.983276,10.465354,0,0,270.000049375
OBJECT=3091,2167.12793,1999.584106,10.465354,0,0,270.000049375
OBJECT=3091,2167.221191,1995.845703,10.465354,0,0,270.000049375
OBJECT=3091,2167.480469,1992.028931,10.465354,0,0,270.000049375
OBJECT=3091,2167.325928,1988.494385,10.620231,0,0,270.000049375
OBJECT=3091,2167.232666,1985.072754,10.465354,0,0,270.000049375
OBJECT=3091,2167.140869,1981.723267,10.465354,0,0,270.000049375
OBJECT=3091,2166.907227,1978.448364,10.465354,0,0,270.000049375
OBJECT=1225,2167.667725,1973.259155,10.226068,0,0,0
OBJECT=1225,2167.636475,1971.886841,10.226068,0,0,0
OBJECT=1225,2167.400635,1970.138672,10.226068,0,0,0
OBJECT=1225,2167.453613,1968.238525,10.226068,0,0,0
OBJECT=1225,2167.628418,1966.721802,10.226068,0,0,0
OBJECT=1225,2167.325928,1974.993652,10.302367,0,0,0
OBJECT=1225,2169.980469,2012.363892,10.28622,0,0,0
OBJECT=1225,2172.724854,2012.098999,10.226068,0,0,0
OBJECT=3091,2175.109375,2012.294678,10.457555,0,0,180.000041454
OBJECT=3091,2178.874512,2012.362671,10.457555,0,0,180.000041454
OBJECT=3091,2183.576416,2012.372925,10.457555,0,0,180.000041454
OBJECT=3091,2187.532715,2013.122559,10.457554,0,0,180.000041454
OBJECT=3091,2190.97876,2012.376465,10.457555,0,0,180.000041454
OBJECT=3091,2194.02124,2011.3396,10.465354,0,0,148.200722767
OBJECT=3091,2017.518677,2383.607178,10.465354,0,0,180.000041454
OBJECT=3091,2020.971436,2383.865967,10.465354,0,0,180.000041454
OBJECT=3091,2024.382568,2384.142334,10.328788,0,0,180.000041454
OBJECT=3091,2027.863525,2383.992676,10.328839,0,0,180.000041454
OBJECT=3091,2031.14917,2383.770996,10.324023,0,0,180.000041454
OBJECT=3091,2034.006104,2383.90918,10.457562,0,0,180.000041454
OBJECT=3091,2014.03894,2383.345703,10.465354,0,0,191.25006393
OBJECT=3091,2012.026611,2383.182373,10.736251,0,0,213.750051587
OBJECT=3091,2090.493408,2287.92627,10.316916,0,0,281.250014555
OBJECT=3091,2090.672607,2286.398438,10.161901,0,0,281.250014555
OBJECT=3091,2092.072754,2279.613037,10.324716,0,0,281.250014555
OBJECT=3091,2092.831787,2277.848633,11.637929,0,0,281.250014555
OBJECT=3091,2201.204346,2350.973633,10.316916,0,0,258.750026899
OBJECT=3091,2200.119141,2347.931885,10.316916,0,0,33.7500101322
OBJECT=3091,2197.119141,2344.844727,10.316916,0,0,44.9999753125
