; Converted Fri, 07 May 10 02:58:33 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=441.108582,2502.874512,18.329203
JoinCost=5000
WinBaseXP=50000
WinBaseCash=50000

Name=The Amazing Maze
Author=Cronos
Description=Find Your Way In
RunTime=100
Weather=
Time=

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=478

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=441.108582,2502.874512,18.329203,90
SPAWN=441.055664,2500.404785,18.329203,86
SPAWN=441.04483,2498.056641,18.329203,85
SPAWN=440.888855,2495.587402,18.329203,85
SPAWN=440.658844,2493.048828,18.329203,85
SPAWN=446.311127,2497.719727,18.329203,85
SPAWN=446.313507,2500.210938,18.329203,85
SPAWN=446.323029,2502.882813,18.329203,85
SPAWN=446.074554,2495.139893,18.329203,85
SPAWN=445.935394,2492.628418,18.329203,85
SPAWN=441.173737,2505.992188,18.329203,85
SPAWN=446.509125,2505.702148,18.329203,85
SPAWN=440.31604,2490.220703,18.329203,85
SPAWN=445.746796,2489.852539,18.329203,85

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=419.988129,2490.833008,16.534382,1,0.8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=1225,280.168976,2010.848633,17.046379,0,0,0
OBJECT=1225,286.09613,2033.718384,17.046379,0,0,0
OBJECT=3374,430.031281,2522.770264,16.978352,0,0,0
OBJECT=3374,430.126404,2518.77832,16.978352,0,0,0
OBJECT=3374,426.211639,2522.743164,16.978352,0,0,0
OBJECT=3374,422.217163,2522.633301,16.778343,0,0,0
OBJECT=3374,430.110962,2502.890869,16.978352,0,0,0
OBJECT=3374,426.167145,2502.932861,16.978352,0,0,0
OBJECT=3374,426.102875,2494.939941,16.978352,0,0,0
OBJECT=3374,422.340302,2494.938477,16.978352,0,0,0
OBJECT=3374,430.240845,2490.910156,16.978352,0,0,0
OBJECT=3374,426.32785,2490.937744,16.978354,0,0,0
OBJECT=3374,422.348602,2486.907959,16.978352,0,0,0
OBJECT=3374,426.298676,2486.982666,16.978352,0,0,0
OBJECT=3374,430.131317,2487.009766,16.986145,0,0,0
OBJECT=3374,422.305725,2483.243896,16.978352,0,0,0
OBJECT=3374,426.235962,2483.161133,16.978352,0,0,0
OBJECT=3374,430.095184,2483.042969,16.978352,0,0,0
OBJECT=3374,418.515015,2494.961914,16.978352,0,0,0
OBJECT=3374,418.525726,2483.178467,16.978352,0,0,0
OBJECT=3374,418.716827,2498.870605,16.978352,0,0,0
OBJECT=3374,418.781769,2502.734375,16.978352,0,0,0
OBJECT=3374,418.518127,2506.756592,16.978352,0,0,0
OBJECT=3374,418.535248,2522.622803,16.978352,0,0,0
OBJECT=3374,414.704865,2502.14624,16.978352,0,0,0
OBJECT=3374,414.694427,2498.19873,16.978352,0,0,0
OBJECT=3374,414.656403,2487.133301,16.978352,0,0,0
OBJECT=3374,414.639954,2483.159912,16.978352,0,0,0
OBJECT=3374,414.598328,2518.621582,16.978354,0,0,0
OBJECT=3374,414.603394,2522.572266,16.978352,0,0,0
OBJECT=3374,410.852509,2522.60791,16.978352,0,0,0
OBJECT=3374,410.856689,2518.704834,16.978352,0,0,0
OBJECT=3374,410.837952,2483.256104,16.978352,0,0,0
OBJECT=3374,407.049683,2522.621826,16.978352,0,0,0
OBJECT=3374,407.070496,2518.795898,16.978352,0,0,0
OBJECT=3374,407.005035,2507.966309,16.978352,0,0,0
OBJECT=3374,406.995453,2511.322266,16.978352,0,0,0
OBJECT=3374,407.050507,2492.818359,16.978352,0,0,0
OBJECT=3374,407.061584,2488.937744,16.978352,0,0,0
OBJECT=3374,407.012665,2485.121582,16.978352,0,0,0
OBJECT=3374,407.022583,2483.282715,16.978352,0,0,0
OBJECT=1225,431.493774,2484.932129,16.515165,0,0,0
OBJECT=1225,431.636383,2486.893066,16.225136,0,0,0
OBJECT=1225,431.490814,2489.436279,16.590134,0,0,0
OBJECT=1225,431.60083,2492.108398,16.540131,0,0,0
OBJECT=1225,426.116547,2496.515625,16.190144,0,0,0
OBJECT=1225,430.761017,2496.187744,15.815153,0,0,0
OBJECT=1225,431.64917,2501.466797,16.990139,0,0,0
OBJECT=1225,431.504852,2503.605469,16.19014,0,0,0
OBJECT=1225,425.126526,2503.919678,16.540134,0,0,56.2499977885
OBJECT=1225,421.848053,2521.251709,16.715132,0,0,0
OBJECT=1225,425.667877,2503.668945,15.290131,0,0,0
OBJECT=1225,430.320404,2502.522461,15.34013,0,0,0
