; Converted Sun, 27 Jun 10 06:13:41 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=665.0231,-101.5188,19.5564
Interior=1
MinLevel=0
JoinCost=10000
WinBaseXP=1000000
WinBaseCash=1000000

Name=The Water Slide
Author=Laggy
Description=The water slide race
RunTime=1000
Weather=0
Time=0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=522

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=-2362.961182,517.270081,11224.594727,291
SPAWN=-2363.610352,519.097229,11224.601563,291
SPAWN=-2364.374512,521.575439,11224.56543,291
SPAWN=-2364.88916,523.83783,11224.461914,291
SPAWN=-2365.80249,525.906494,11224.538086,291
SPAWN=-2359.455566,518.397522,11223.082031,291
SPAWN=-2360.173096,520.777039,11223.041016,291
SPAWN=-2361.077148,522.985901,11223.094727,291
SPAWN=-2361.920166,525.072266,11223.142578,291
SPAWN=-2362.388916,527.206482,11223.038086,291
SPAWN=-2356.153076,519.425903,11221.660156,291
SPAWN=-2356.833496,521.86615,11221.59668,291
SPAWN=-2357.84668,524.084229,11221.692383,291
SPAWN=-2358.651611,526.39325,11221.695313,291
SPAWN=-2359.487061,528.479248,11221.739258,291
SPAWN=-2352.531738,520.228027,11220.146484,291
SPAWN=-2353.502197,523.116638,11220.134766,291
SPAWN=-2354.244385,525.407227,11220.115234,291
SPAWN=-2355.060059,527.649414,11220.130859,291
SPAWN=-2355.831787,529.994507,11220.115234,291
SPAWN=-2348.010498,521.393677,11218.233398,291
SPAWN=-2349.024414,524.563477,11218.201172,291
SPAWN=-2349.877441,526.844055,11218.225586,291
SPAWN=-2350.664063,529.508545,11218.173828,291
SPAWN=-2351.12793,531.560425,11218.078125,291
SPAWN=-2343.14917,522.832092,11216.151367,291
SPAWN=-2344.050537,526.385986,11216.023438,291
SPAWN=-2344.508057,528.745361,11215.884766,291
SPAWN=-2345.629639,531.052368,11216.010742,291
SPAWN=-2346.568604,533.31366,11216.071289,291

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=-2298.539795,544.027283,11194.333984,0,8,473
CP=-1098.923096,711.783081,9606.935547,0,16
CP=-801.535217,287.632477,7840.93457,0,8
CP=-722.558105,-106.193634,154.41478,1,31.6

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=4133,-2405.499512,512.559998,11244.266602,0,89.4850336298,201.760079983
OBJECT=16357,-2368.23584,519.912048,11225.265625,0,337.6546536,199.079294281
OBJECT=16357,-2287.795166,547.9104,11202.101563,0,92.8190739042,199.079294281
OBJECT=16357,-2290.198486,538.588867,11223.213867,0,90.2407647042,107.121089171
OBJECT=16357,-2294.227295,554.127075,11198.686523,0,89.3813283042,290.077190771
OBJECT=16357,-2295.705566,545.224243,11114.268555,0,82.5058371042,15.9180677905
OBJECT=16357,-2273.908203,551.521973,10964.314453,0,79.9275279042,15.9180677905
OBJECT=16357,-2250.066162,558.395447,10811.610352,0,80.7869643042,15.9180677905
OBJECT=16357,-2238.328369,561.860352,10735.165039,0,75.6303459042,15.9180677905
OBJECT=16357,-2218.942627,567.348755,10660.443359,0,73.0520367042,15.9180677905
OBJECT=16357,-2196.216064,573.817749,10586.624023,0,71.3331639042,15.9180677905
OBJECT=16357,-2171.2771,580.690247,10513.672852,0,69.6142911042,15.9180677905
OBJECT=16357,-2144.409668,588.43158,10441.963867,0,67.8954183042,15.9180677905
OBJECT=16357,-2115.185791,596.649292,10370.680664,0,65.3171091042,15.9180677905
OBJECT=16357,-2083.702148,605.703674,10300.601563,0,64.4576727042,15.9180677905
OBJECT=16357,-2050.28125,615.264404,10231.208008,0,62.7387999042,15.9180677905
OBJECT=16357,-2015.766724,625.301941,10162.774414,0,61.0199271042,15.9180677905
OBJECT=16357,-1978.138672,635.569458,10095.617188,0,57.5822388,15.9180677905
OBJECT=16357,-1936.687744,647.293335,10030.979492,0,55.0039296,15.9180677905
OBJECT=16357,-1893.331055,659.803711,9968.097656,0,53.2850568,15.9180677905
OBJECT=16357,-1847.579956,672.948608,9907.399414,0,49.8473112,15.9180677905
OBJECT=16357,-1798.371948,686.801392,9848.488281,0,47.269002,15.9180677905
OBJECT=16357,-1747.882935,701.520325,9793.286133,0,44.6906928,15.9180677905
OBJECT=16357,-1693.921631,716.918091,9739.539063,0,42.1123836,15.9180677905
OBJECT=16357,-1637.646973,733.019958,9688.425781,0,35.2368924,15.9180677905
OBJECT=1634,-1435.524658,785.487366,9598.515625,0,0,286.947906
OBJECT=16357,-1154.619385,872.169067,11950.704102,0,355.702818,15.9180677905
OBJECT=16357,-1581.336304,749.131714,9650.03125,0,21.48591,15.9180677905
OBJECT=16357,-1510.028809,769.754333,9622.767578,0,18.9076008,15.9180677905
OBJECT=1634,-1436.733154,789.476074,9598.490234,0,0,286.947906
OBJECT=1634,-1437.834473,792.901428,9598.464844,0,0,286.947906
OBJECT=1634,-1438.590576,795.902771,9598.53125,0,0,286.947906
OBJECT=3991,-1381.147461,806.448242,9595.697266,0,2.5783092,281.7912876
OBJECT=3991,-1283.339111,838.499695,9594.22168,0,2.5783092,281.7912876
OBJECT=16357,-1210.741699,866.097839,9661.374023,0,100.5540588,199.731829622
OBJECT=16357,-1198.348877,853.630554,9659.296875,0,100.5540588,199.731829622
OBJECT=16357,-1194.869629,838.585754,9660.96582,0,100.5540588,199.731829622
OBJECT=16357,-1214.623901,872.860962,9677.251953,0,100.5540588,230.670279515
OBJECT=16357,-1198.942993,854.955811,9601.290039,0,358.384749617,124.957539668
OBJECT=16357,-1213.816162,850.354248,9601.186523,0,342.055400721,15.8085439102
OBJECT=16357,-1209.488892,867.779907,9605.071289,0,345.493171934,15.8085439102
OBJECT=16357,-1153.877441,790.271912,9602.039063,0,4.40100191712,124.957539668
OBJECT=16357,-1104.896362,722.286011,9509.880859,0,269.863055213,124.957539668
OBJECT=972,-1415.264282,783.317627,9595.537109,0,0,292.1045244
OBJECT=972,-1394.772461,792.121765,9596.066406,0,0,292.1045244
OBJECT=972,-1371.503662,799.272095,9596.429688,0,0,278.353542
OBJECT=972,-1349.95874,803.498352,9596.621094,0,0,283.5101604
OBJECT=972,-1326.770264,809.250122,9596.772461,0,0,283.5101604
OBJECT=972,-1445.036621,806.419617,9597.897461,0,0,296.4017064
OBJECT=972,-1422.508057,815.321655,9598.359375,0,0,290.3856516
OBJECT=972,-1400.298706,822.508972,9598.866211,0,0,290.3856516
OBJECT=972,-1378.486084,829.856689,9599.238281,0,0,290.3856516
OBJECT=972,-1355.74939,839.01416,9599.419922,0,0,291.245088
OBJECT=972,-1333.192627,847.097412,9599.289063,0,0,291.245088
OBJECT=972,-1438.163818,774.375,9594.963867,0,0,291.245088
OBJECT=972,-1438.335205,770.755127,9595.046875,0,0,194.988153904
OBJECT=972,-1448.572632,810.963562,9597.806641,0,0,194.988153904
OBJECT=16357,-1098.647705,711.446838,9609.226563,0,87.7662754214,124.957539668
OBJECT=16357,-1096.330444,723.4505,9616.635742,0,89.4851482214,215.199049217
OBJECT=16357,-1111.19812,712.597046,9646.631836,0,88.6257118214,34.7155717526
OBJECT=16357,-1105.084473,722.43512,9432.785156,0,269.863055213,124.957539668
OBJECT=16357,-1105.85791,723.306152,9302.02832,0,269.863055213,124.957539668
OBJECT=16357,-1105.278198,722.387573,9160.814453,0,272.441364413,124.957539668
OBJECT=16357,-1102.232178,717.928772,9031.37793,0,272.441364413,124.957539668
OBJECT=16357,-1099.103149,713.473206,8896.097656,0,272.441364413,124.957539668
OBJECT=16357,-1096.096802,709.371704,8758.583984,0,272.441364413,124.957539668
OBJECT=16357,-1087.431274,696.845215,8698.795898,0,281.895164813,124.957539668
OBJECT=16357,-1100.654663,713.132629,9532.258789,0,272.441364413,307.052944361
OBJECT=16357,-1069.631836,671.252869,8554.838867,0,282.754601213,124.957539668
OBJECT=16357,-1051.577637,645.632019,8415.864258,0,282.754601213,124.957539668
OBJECT=16357,-1035.177979,622.049072,8289.700195,0,283.614037613,124.957539668
OBJECT=16357,-1015.824463,594.459717,8148.066895,0,283.614037613,124.957539668
OBJECT=4133,-1129.116699,768.604675,9613.655273,0,89.4850336298,215.511348862
OBJECT=4133,-1139.925415,754.193481,9616.123047,0,261.372256334,214.548977594
OBJECT=16357,-1096.879517,723.00531,9512.054688,0,89.4851482214,218.529963837
OBJECT=16357,-1109.215576,713.801086,9496.134766,0,89.4851482214,35.4702971162
OBJECT=16357,-1247.065552,945.574829,9595.048828,0,7.83874751712,112.92594573
OBJECT=972,-1244.947266,918.224915,9603.829102,0,0,291.245088
OBJECT=972,-1245.927734,918.007751,9611.15918,0,0,291.245088
OBJECT=972,-1266.861084,909.582825,9603.735352,0,0,291.245088
OBJECT=972,-1266.160645,908.906494,9611.09668,0,0,291.245088
