; Converted Wed, 31 Mar 10 10:49:45 +1100

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=2437.6973,917.8564,10.8203,0
MinLevel=0
JoinCost=1000
WinBaseXP=4000000
WinBaseCash=4000000

Name=The rcon password is cabbage
Author=sk0t
Description=Don't try it!
RunTime=600
Weather=0
Time=7

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=522

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=2519.070313,-2523.901367,18.701492,181
SPAWN=2517.679688,-2523.990723,19.121422,181
SPAWN=2516.318359,-2524.028076,19.532444,181
SPAWN=2515.207764,-2523.972168,19.867847,181
SPAWN=2509.13501,-2523.294922,19.994949,181
SPAWN=2507.904297,-2523.597412,19.623329,181
SPAWN=2506.55127,-2523.652832,19.214714,181
SPAWN=2505.152344,-2523.62207,18.792282,181

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=2514.968018,-2569.124023,23.47982,1,8
CP=2516.685303,-2596.73291,18.761307,1,8
CP=2550.063721,-2621.729736,40.091061,1,8
CP=2565.064697,-2614.367432,38.083252,1,8
CP=2637.717041,-2629.496826,43.349438,1,8
CP=2694.002197,-2653.837646,55.476341,1,8
CP=2690.828369,-2783.276123,60.126106,1,8
CP=2501.759277,-2603.057129,59.683083,1,8
CP=2425.641602,-2528.800293,27.636269,1,8
CP=2377.592773,-2480.742188,28.321653,1,8
CP=2320.851074,-2424.732422,65.042313,1,8
CP=2235.327393,-2338.996338,65.075493,1,8
CP=2315.940674,-2259.085693,12.375001,0,0.4

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=13636,2556.182861,-2621.706299,38.387936,0,0,269.999909171
OBJECT=13647,2514.394287,-2617.166992,16.985802,0,336.7952172,315.000024688
OBJECT=1894,2569.605713,-2613.250488,35.808109,0,0,174.766048165
OBJECT=13590,2613.554932,-2617.831299,39.286289,0,0,267.421657266
OBJECT=6052,2644.510742,-2629.796387,43.540035,0,2.68189993408,6.84185858888
OBJECT=13639,2661.662842,-2638.216553,45.548565,0,0,85.625419349
OBJECT=13643,2675.48999,-2639.259277,48.149662,0,0,175.70271925
OBJECT=13638,2691.948486,-2646.338623,49.812279,0,0,175.625484565
OBJECT=13647,2692.460938,-2676.36084,56.222359,0,358.2811272,265.702784466
OBJECT=13648,2690.592529,-2714.944336,56.967247,0,0,355.702818
OBJECT=13640,2688.019531,-2747.8396,57.496864,0,0,84.765982949
OBJECT=13642,2692.438721,-2779.910645,59.244781,0,0,255.86266437
OBJECT=2780,2692.10376,-2695.659668,57.567131,0,0,0
OBJECT=2780,2690.994385,-2695.616943,57.576668,0,0,0
OBJECT=13642,2664.331299,-2808.103027,59.204189,0,0,357.112580175
OBJECT=13648,2624.384766,-2789.251953,57.55722,0,0,63.2027809687
OBJECT=13648,2601.187988,-2762.370361,57.559311,0,0,198.202764202
OBJECT=2780,2607.001953,-2780.848877,58.36269,0,0,0
OBJECT=2780,2607.422363,-2780.238281,58.400108,0,0,0
OBJECT=8148,2549.346924,-2674.637939,51.929401,0,0,33.7500101322
OBJECT=2780,2594.600342,-2742.695801,57.024044,0,0,0
OBJECT=1632,2502.385742,-2603.719482,58.731152,0,0,33.7500101322
OBJECT=13647,2396.467041,-2499.687256,25.005831,28.3614012,0,134.999925937
OBJECT=13645,2382.057129,-2485.023438,25.931919,0,0,44.9999753125
OBJECT=13645,2379.386719,-2482.480957,27.341516,0,0,44.9999753125
