; Converted Sat, 07 Aug 10 03:26:10 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-1700.2559,1350.6771,7.1797
MinLevel=0
JoinCost=10000
WinBaseXP=500000
WinBaseCash=500000
DefaultViewDistance=250.0
Interior=1

Name=Thunder Valley 3 Reverse
Author=MSD
Description=custom track
RunTime=240
Weather=
Time=6:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=415

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=4615.518066,1296.581177,222.858047,179
SPAWN=4607.316895,1296.691284,222.861359,179
SPAWN=4599.513672,1295.971191,222.839752,179
SPAWN=4591.208008,1296.35083,222.851135,179
SPAWN=4594.973145,1303.682129,223.071152,179
SPAWN=4603.151367,1304.042603,223.08197,179
SPAWN=4611.385254,1304.969482,223.109772,179
SPAWN=4615.005859,1312.465698,223.334732,179
SPAWN=4606.887695,1313.08667,223.353363,179
SPAWN=4598.578125,1311.815674,223.315231,179
SPAWN=4590.466797,1312.799683,223.344757,179
SPAWN=4611.024414,1319.422974,223.543518,179
SPAWN=4602.423828,1320.81958,223.585419,179
SPAWN=4595.048828,1320.709106,223.582108,179
SPAWN=4591.217285,1328.338989,223.811081,179
SPAWN=4598.992188,1328.68103,223.821335,179
SPAWN=4607.172852,1327.734375,223.792938,179
SPAWN=4614.743652,1327.72229,223.792572,179
SPAWN=4595.071777,1336.036865,224.042084,179
SPAWN=4603.073242,1335.812866,224.035355,179
SPAWN=4611.07666,1335.61084,224.029297,179
SPAWN=4614.881836,1343.317261,224.260559,179
SPAWN=4607.03418,1343.946899,224.279449,179
SPAWN=4598.974609,1344.073364,224.283249,179
SPAWN=4590.966797,1344.021729,224.281693,179
SPAWN=4594.791016,1351.826538,224.515915,179
SPAWN=4603.159668,1351.684814,224.511658,179
SPAWN=4611.121582,1351.53125,224.50705,179
SPAWN=4614.833984,1359.161621,224.736038,179
SPAWN=4606.982422,1359.25354,224.738785,179
SPAWN=4598.310547,1358.680176,224.721588,179
SPAWN=4590.166504,1359.128418,224.735031,179

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=4602.95459,1166.292603,221.289139,0,31.6
CP=4748.227051,1202.182739,220.8582,0,31.6
CP=4764.348633,1594.638672,223.776764,0,31.6
CP=4968.641113,1856.207153,225.895599,0,31.6
CP=4695.685059,1923.559448,212.220459,0,31.6
CP=4603.025879,1692.542725,220.414963,0,31.6
CP=4602.391602,1373.573975,224.36853,0,31.6
CP=4602.831055,1165.839478,221.289139,0,31.6
CP=4748.320801,1202.567749,220.852798,0,31.6
CP=4764.428711,1595.008179,223.776764,0,31.6
CP=4968.743164,1855.958496,225.895599,0,31.6
CP=4695.57959,1923.484619,212.220459,0,31.6
CP=4603.244141,1693.359131,220.65889,0,31.6
CP=4602.299316,1373.374146,224.362534,0,31.6
CP=4602.888184,1166.308594,221.289139,0,31.6

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=8355,4602.630371,1593.18042,220.890686,0,0,0
OBJECT=8355,4602.725098,1464.496948,222.94902,1.7188728,0,180.00009875
OBJECT=8355,4602.725098,1326.27124,222.94902,1.7188728,0,0.000140204399997
OBJECT=8355,4602.777344,1206.895752,221.289139,0,0,180.00009875
OBJECT=8343,4630.003906,1131.08667,223.042511,0,3.4377456,89.999950625
OBJECT=8344,4713.447266,1131.170166,223.027191,0,3.4377456,89.999950625
OBJECT=8355,4747.54248,1206.002686,220.799988,359.1405636,0,11.250022476
OBJECT=8355,4746.522461,1280.366455,220.080734,0,0,337.500012344
OBJECT=8344,4799.956055,1619.746216,223.776764,0,0,292.500037031
OBJECT=8344,4888.549316,1708.657349,223.800949,0,0,112.500135781
OBJECT=8355,4629.530762,1835.839722,213.87796,358.2811272,359.1405636,337.500012344
OBJECT=8344,4678.79248,1889.668701,212.170471,0,0,292.500037031
OBJECT=8344,4773.529785,1937.976929,218.111511,6.8754912,0,258.750026899
OBJECT=8355,4909.188477,1935.637939,225.849838,0,0,78.7499854447
OBJECT=8344,4953.369629,1878.946533,225.895599,0,0,157.499913594
OBJECT=8355,4924.605957,1746.442749,223.798218,1.7188728,0,337.500012344
OBJECT=10830,4759.276855,1483.574097,232.304184,0,0,225.000074063
OBJECT=10830,4759.151367,1435.77478,232.354294,0,0,45.0001155169
OBJECT=5184,4602.318359,1140.693604,216.565231,268.0403052,0,270.000049375
OBJECT=5184,4648.818359,1105.943604,216.565231,268.0403052,0,0
OBJECT=9743,4624.929688,1256.244141,206.942078,0.8594364,0,90.077299901
OBJECT=9743,4621.542969,1399.744141,206.942078,0.8594364,0,91.796172701
OBJECT=9743,4623.792969,1559.769165,206.942078,0.8594364,0,89.217863501
OBJECT=8185,4583.428223,1295.019897,223.59436,0.8594364,0,0
OBJECT=8185,4583.428223,1474.269897,223.59436,0.8594364,0,180.000041454
OBJECT=8650,4583.189941,1578.488647,221.995819,0,0,0
OBJECT=8650,4583.189941,1608.738647,221.995819,0,0,0
OBJECT=8650,4584.635742,1637.330566,221.995819,0,0,354.766032324
OBJECT=8650,4583.189941,1610.988647,221.995819,0,0,0
OBJECT=8650,4621.123047,1638.394653,221.995819,0,0,4.374531276
OBJECT=8650,4622.000977,1611.481323,221.995819,0,0,0
OBJECT=7909,4611.598633,1721.359497,229.184402,0,0,180.000041454
OBJECT=7910,4594.452148,1721.34021,229.186172,0,0,180.000041454
OBJECT=3873,4639.381348,1143.199463,234.0242,0,0,0
OBJECT=5184,4726.568359,1105.968628,216.565231,268.0403052,0,0
OBJECT=5184,4760.843262,1137.968628,216.565231,268.0403052,0,89.999950625
OBJECT=4242,4682.669922,1108.254761,224.363495,356.5622544,0,0
OBJECT=4242,4835.809082,1655.640869,223.747726,0,0,348.749977524
OBJECT=16205,4587.6875,1904.652222,219.853073,351.405636,8.594364,353.1245088
OBJECT=16205,4726.063477,2017.654297,226.921417,354.8433816,8.594364,302.031129412
OBJECT=4814,4900.724121,1978.412231,228.865738,0,0,26.7971696562
OBJECT=6313,4976.258301,1808.083618,229.857635,18.0481644,0,250.078370919
OBJECT=6313,4936.058105,1702.833618,225.757782,15.4698552,347.9678904,261.251044119
OBJECT=17538,4743.391113,1631.407837,237.790695,0,0,290.703814955
OBJECT=12941,4893.298828,1631.628296,223.722733,0,0,202.499888906
OBJECT=12847,4811.816895,1614.561157,228.041748,0,0,292.500037031
OBJECT=11461,4852.344727,1635.982178,223.431381,0,0,101.249973101
OBJECT=11011,4851.5625,1699.987793,227.78154,0,0,112.500135781
OBJECT=9247,4817.720215,1684.498413,230.551086,0,0,202.500086406
OBJECT=16685,4658.233398,1923.866821,212.082901,1.7188728,0,25.9377332562
OBJECT=16685,4739.862793,2009.628174,216.448135,8.594364,353.1245088,352.187723124
OBJECT=16685,4985.828613,1903.022095,225.870239,0,0,281.250014555
OBJECT=16134,4892.043945,1721.689209,219.88414,0,0,191.249923726
OBJECT=7614,4711.396973,1188.174072,224.517426,0.8594364,0,191.25006393
OBJECT=7614,4711.396973,1188.174072,223.242737,0.8594364,0,191.25006393
OBJECT=8650,4634.40332,1804.312744,215.39006,358.2811272,0,338.359448744
OBJECT=8650,4645.568359,1832.445923,214.258484,357.4216908,0,338.359448744
OBJECT=8650,4657.018066,1860.578003,213.3358,359.1405636,0,337.500012344
OBJECT=8344,4678.79248,1882.168701,211.320679,0,0,292.500037031
OBJECT=8650,4723.591309,1922.111694,213.588608,4.297182,357.4216908,306.405660688
OBJECT=8650,4749.446777,1937.478027,216.090439,5.1566184,357.4216908,295.155695507
OBJECT=8650,4777.95752,1941.835938,219.293289,6.8754912,0,262.265121775
OBJECT=8650,4807.656738,1937.57312,222.908401,6.8754912,0.8594364,261.405685375
OBJECT=8650,4824.096191,1935.072632,224.886642,6.8754912,0.8594364,261.405685375
OBJECT=8650,4853.265625,1929.463379,226.640259,0,0.8594364,77.0311955534
OBJECT=8650,4882.782227,1922.647583,226.615265,0,0.8594364,77.0311955534
OBJECT=8650,4912.191895,1915.870483,226.615265,0,0.8594364,77.0311955534
OBJECT=8650,4934.578125,1910.718994,226.586044,0,0.8594364,77.0311955534
OBJECT=5767,4928.867188,1891.602417,218.338837,0,0,348.749977524
OBJECT=8185,4927.275879,1804.683838,225.570694,359.1405636,0,157.500111094
OBJECT=8185,4870.041504,1603.706177,223.697937,0,0,98.6718614011
OBJECT=8185,4805.394531,1695.0177,223.943787,0,0,109.921826581
OBJECT=8650,5005.980469,1872.821289,226.962143,0,0,303.750002212
OBJECT=8650,5015.662598,1895.99353,226.962143,0,0,11.250022476
OBJECT=8650,5009.79248,1925.187012,226.962143,0,0,11.250022476
OBJECT=8650,4781.717285,1575.090332,224.98201,359.1405636,0,0
OBJECT=8650,4781.723145,1544.726318,225.744553,358.2811272,0,0
OBJECT=8650,4782.733887,1514.440552,226.440918,359.1405636,0,4.297182
OBJECT=8650,4735.98584,1514.440552,226.890808,358.2811272,0,0
OBJECT=8650,4735.999023,1544.726318,225.994492,358.2811272,0,0
OBJECT=8650,4735.992188,1575.090332,225.056992,358.2811272,0,0
OBJECT=8650,4783.82666,1437.932739,224.454788,1.7188728,0,0
OBJECT=8650,4783.82959,1407.931885,225.578995,4.297182,0,0
OBJECT=8650,4734.475098,1437.932739,224.454788,1.7188728,0,0
OBJECT=8650,4734.506836,1407.931885,225.129105,4.297182,0,0
OBJECT=8650,4783.604492,1377.520874,223.277786,4.297182,0,359.1405636
OBJECT=8650,4782.478027,1347.374146,221.687225,1.7188728,0,356.5622544
OBJECT=8650,4777.096191,1317.844116,221.196075,0,0,342.656630744
OBJECT=8650,4767.200684,1289.215332,221.196075,0,0,339.218885144
OBJECT=8650,4758.863281,1260.11377,221.196075,0,0,348.749977524
OBJECT=8650,4759.105957,1230.490112,221.439285,359.1405636,0,12.1094015802
OBJECT=8650,4771.007813,1203.213013,220.50209,4.297182,4.297182,34.6093892365
OBJECT=8650,4734.233887,1377.520874,223.077835,3.4377456,0,359.1405636
OBJECT=6417,4705.395996,1320.056152,216.665756,0,0,179.99990125
OBJECT=8650,4736.988281,1347.515137,221.702927,1.7188728,0,11.250022476
OBJECT=8650,4741.479004,1325.052856,221.217331,0.8594364,0,11.250022476
OBJECT=8650,4738.641113,1296.249756,220.746185,0.8594364,0,337.500012344
OBJECT=8650,4727.016602,1268.197632,220.296295,0.8594364,0,337.500012344
OBJECT=3452,4714.990234,1235.835815,225.805161,341.0923992,358.2811272,281.250014555
OBJECT=3452,4721.000488,1207.036743,226.654953,341.0923992,358.2811272,281.250014555
OBJECT=3452,4726.918945,1178.169067,227.488037,341.0923992,358.2811272,281.250014555
OBJECT=7617,4726.20459,1141.590332,232.948929,0,0,315.000024688
OBJECT=13629,4688.022461,1133.940796,226.236069,0,0,89.999950625
OBJECT=8323,4688.102051,1135.260376,237.384827,0,0,272.578358575
OBJECT=16061,4702.87793,1153.314575,214.744064,0,0,265.625518099
OBJECT=16061,4666.853027,1159.064575,214.744064,0,0,265.625518099
OBJECT=4814,4693.085938,1845.597046,214.911331,0,0,277.657627699
OBJECT=4811,4795.404297,1926.794922,225.226089,0,0,242.266151339
OBJECT=4811,4872.554688,1914.717163,224.331146,0,0,234.531166443
OBJECT=4814,4902.405762,1809.600586,220.842651,6.0160548,0,105.547155101
OBJECT=791,5008.268066,1853.099731,196.441513,0,0,292.500037031
OBJECT=791,4675.448242,1864.801514,178.440384,0,0,292.500037031
OBJECT=790,4749.520508,1931.736572,198.060974,0,0,326.249989868
OBJECT=790,4772.346191,1264.577515,198.087585,0,0,0
OBJECT=790,4776.596191,1231.827515,198.087585,0,0,0
OBJECT=16061,4770.428711,1230.315308,214.074722,0,0,11.250022476
OBJECT=16061,4778.556641,1300.284912,212.918152,0,0,340.078321544
OBJECT=16061,4726.166504,1310.206421,209.9039,0,0,359.1405636
OBJECT=16061,4844.758301,1604.681763,217.085144,0,0,325.390553468
OBJECT=16061,4915.380371,1635.911621,215.585144,0,0,201.640592711
OBJECT=16061,5012.248535,1910.805664,215.683624,0,0,190.39062753
OBJECT=16061,4666.880859,1856.199219,201.516602,0,0,156.640617398
OBJECT=16061,4791.255371,1935.125244,206.273056,355.702818,0,82.2652205251
OBJECT=16061,4728.26123,1562.126831,219.585144,355.702818,0,356.639801176
OBJECT=7304,4582.982422,1267.927734,227.576019,359.1405636,0,180.00009875
OBJECT=7304,4583.003906,1495.906982,227.981308,0.8594364,0,180.00009875
OBJECT=7305,4759.76416,1506.993286,238.177841,0,0,225.000074063
OBJECT=7906,5014.434082,1902.638062,231.016586,0,0,281.250014555
OBJECT=3279,4636.474609,1231.941772,226.347198,0,0,0
OBJECT=3279,4636.474609,1263.941772,226.347198,0,0,0
OBJECT=3279,4636.474609,1302.691772,226.347198,0,0,0
OBJECT=3279,4636.474609,1344.941772,226.347198,0,0,0
OBJECT=3279,4636.474609,1385.941772,226.347198,0,0,0
OBJECT=3279,4633.724609,1430.441772,226.347198,0,0,0
OBJECT=3279,4633.724609,1485.441772,226.347198,0,0,0
OBJECT=3279,4633.724609,1525.941772,226.347198,0,0,0
OBJECT=3279,4633.149414,1572.974121,226.382248,0,0,0
OBJECT=615,4636.519043,1205.273315,226.265289,0,0,0
OBJECT=615,4636.979004,1248.524048,226.257507,0,0,0
OBJECT=615,4635.97168,1283.945068,226.291687,0,0,0
OBJECT=615,4635.960449,1321.815308,226.309814,0,0,0
OBJECT=615,4635.765137,1365.316284,226.247025,0,0,0
OBJECT=615,4633.677246,1404.378906,226.253998,0,0,0
OBJECT=615,4634.042969,1461.085327,226.404297,0,0,0
OBJECT=615,4635.37793,1506.335327,226.253387,0,0,0
OBJECT=615,4635.754395,1548.578979,226.256393,0,0,0
OBJECT=615,4635.956055,1603.432373,226.330688,0,0,0
OBJECT=16061,4574.35498,1348.018433,218.587402,0,0,0
OBJECT=16061,4574.601563,1417.614502,217.550552,0,0,0
OBJECT=16061,4628.422363,1637.320435,214.066605,0,0,4.297182
