; Converted Sat, 07 Aug 10 03:06:36 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-1672.5021,1362.4608,7.1797
MinLevel=0
JoinCost=10000
WinBaseXP=500000
WinBaseCash=500000
Interior=1

Name=Thunder Valley 4
Author=MSD
RunTime=240
Weather=1
Time=4:30

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=411

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=4761.196289,-785.855774,139.09964,360
SPAWN=4769.460938,-785.88501,139.09964,360
SPAWN=4777.95459,-785.892517,139.09964,360
SPAWN=4785.578613,-785.85907,139.09964,360
SPAWN=4781.898926,-792.714539,139.09964,360
SPAWN=4773.772461,-792.905212,139.09964,360
SPAWN=4765.388184,-792.983948,139.09964,360
SPAWN=4785.798828,-799.149902,139.09964,360
SPAWN=4777.663574,-799.564758,139.09964,360
SPAWN=4769.597656,-799.478455,139.09964,360
SPAWN=4761.593262,-799.569702,139.09964,360
SPAWN=4781.603027,-805.734558,139.09964,360
SPAWN=4773.510742,-806.003357,139.09964,360
SPAWN=4765.575684,-805.874207,139.09964,360
SPAWN=4785.634277,-812.242249,139.09964,360
SPAWN=4777.615234,-812.415405,139.09964,360
SPAWN=4769.328125,-812.597351,139.09964,360
SPAWN=4761.799316,-812.92627,139.09964,360
SPAWN=4765.532227,-820.003235,139.09964,360
SPAWN=4773.886719,-819.904907,139.09964,360
SPAWN=4782.016602,-819.88562,139.09964,360
SPAWN=4785.92627,-826.851135,139.09964,360
SPAWN=4777.72998,-827.052246,139.09964,360
SPAWN=4769.547852,-827.038574,139.09964,360
SPAWN=4761.75,-826.979065,139.09964,360
SPAWN=4781.971191,-833.747192,139.09964,360
SPAWN=4773.431641,-833.500366,139.09964,360
SPAWN=4765.56543,-833.591675,139.09964,360
SPAWN=4785.821289,-840.531189,139.09964,360
SPAWN=4777.087891,-840.363647,139.09964,360
SPAWN=4769.100098,-840.473999,139.09964,360
SPAWN=4761.561035,-840.093811,139.09964,360

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=4773.525879,-522.408997,129.797318,0,31.6
CP=4966.98291,-129.555573,119.096794,0,31.6
CP=5006.82373,-216.151382,119.042206,0,31.6
CP=5106.557617,-327.65387,130.524918,0,31.6
CP=4985.561523,-571.763916,138.288635,0,31.6
CP=4673.328613,-622.620728,138.349625,0,31.6
CP=4696.776367,-805.214233,138.436981,0,31.6
CP=4732.272949,-947.219788,138.328644,0,31.6
CP=4773.806641,-772.278931,138.299637,0,31.6
CP=4773.778809,-522.667236,129.824539,0,31.6
CP=4966.89502,-129.874817,119.096794,0,31.6
CP=5006.811523,-216.270782,119.042206,0,31.6
CP=5106.643555,-327.956024,130.556198,0,31.6
CP=4985.803223,-572.163269,138.288635,0,31.6
CP=4673.590332,-622.811218,138.349625,0,31.6
CP=4696.804688,-805.220703,138.436981,0,31.6
CP=4732.760254,-947.693115,138.328644,0,31.6
CP=4774.061523,-772.17334,138.299637,0,31.6
CP=4773.889648,-623.238342,124.34671,0,31.6

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=8355,4773.828613,-712.450745,138.299637,0,0,0
OBJECT=8355,4862.970215,-623.301575,138.299637,0,0,89.999950625
OBJECT=1655,4759.984863,-647.086182,138.749954,353.1245088,0,0
OBJECT=1655,4768.649414,-647.086182,138.749954,353.1245088,0,0
OBJECT=1655,4777.299805,-647.086182,138.749954,353.1245088,0,0
OBJECT=1655,4785.971191,-647.086182,138.749954,353.1245088,0,0
OBJECT=1655,4797.221191,-636.486572,138.749954,353.1245088,0,89.999950625
OBJECT=1655,4797.221191,-627.811157,138.749954,353.1245088,0,89.999950625
OBJECT=1655,4797.221191,-619.311157,138.749954,353.1245088,0,89.999950625
OBJECT=1655,4797.221191,-610.711792,138.749954,353.1245088,0,89.999950625
OBJECT=8355,4773.824707,-534.528503,131.07457,6.0160548,0,179.999958546
OBJECT=8344,4803.958008,-325.594269,110.054138,358.2811272,358.2811272,315.000024688
OBJECT=8355,4773.824707,-400.278503,116.89962,6.0160548,0,179.999958546
OBJECT=8355,4847.255859,-248.041824,111.85479,6.0160548,0,314.999884483
OBJECT=8355,4684.721191,-623.301575,138.349625,0,0,89.999950625
OBJECT=8355,4944.789551,-150.537506,119.096794,0,0,315.000024688
OBJECT=8343,4935.619141,-603.919983,138.264069,0,0,146.250088618
OBJECT=8343,5020.616699,-108.887276,119.137177,0,0,315.000024688
OBJECT=8344,5037.306641,-149.206482,119.09362,0,0,134.999925937
OBJECT=8344,5027.68457,-226.923279,119.042206,0,0,315.000024688
OBJECT=8355,5053.26416,-298.269958,123.053207,353.1245088,0,60.5471224927
OBJECT=8355,5015.438477,-527.762695,138.288635,0,0,326.249989868
OBJECT=8355,5091.938477,-413.162842,135.213654,357.4216908,0,326.249989868
OBJECT=8344,5095.778809,-371.856384,132.369751,359.1405636,7.7349276,142.734910833
OBJECT=8343,4594.123535,-655.283752,138.333267,0,0,11.250022476
OBJECT=8343,4589.890625,-709.633911,138.359787,0,0,78.7499854447
OBJECT=8355,4639.155762,-765.543335,138.375977,0,0,56.2499977885
OBJECT=8343,4702.452637,-836.805115,138.436981,0,0,236.249899038
OBJECT=8355,4773.828613,-850.700745,138.299637,0,0,180.00009875
OBJECT=8344,4732.211914,-920.42334,138.30275,0,0,89.999950625
OBJECT=8344,4720.841309,-892.606995,138.328644,0,0,326.249989868
OBJECT=4242,4654.319336,-768.329834,138.29776,0,0,0
OBJECT=12911,4752.411621,-660.428345,119.544174,0,0,11.250022476
OBJECT=12911,4752.411621,-691.428345,119.544174,0,0,11.250022476
OBJECT=12911,4752.411621,-723.277466,119.544174,0,0,11.250022476
OBJECT=12911,4752.411621,-755.302002,119.544174,0,0,11.250022476
OBJECT=12911,4752.411621,-787.076538,119.544174,0,0,11.250022476
OBJECT=12911,4752.411621,-818.576538,119.544174,0,0,11.250022476
OBJECT=12911,4752.411621,-850.302246,119.544174,0,0,11.250022476
OBJECT=12911,4752.137695,-881.827515,119.544174,0,0,11.250022476
OBJECT=8185,4753.868652,-805.211426,137.516113,0,0,0
OBJECT=8185,4753.818848,-692.386597,137.516113,0,0,0
OBJECT=3873,4732.709473,-910.608582,149.851654,0,0,0
OBJECT=4242,4721.819336,-871.329834,138.272766,0,0,0
OBJECT=8185,4790.472168,-733.936401,137.516113,0,0,0
OBJECT=5708,4842.466797,-687.810181,148.675873,0,0,180.000041454
