
Name=Tour of San Andreas
Author=RandomKiller
MinLevel=15
JoinCost=20000

; The location of the waiting checkpoint.
; WaitLocation=waitx,waity,waitz
WaitLocation=-1076.8794,416.0019,13.9288

RunTime=3600
WinBaseXP=10000000
WinBaseCash=10000000
DamageWinMult=0.2

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=411
VehicleComponents=1010

; Checkpoints
; Type=0 is a normal checkpoint
; Type=1 is an air checkpoint
; Format: CP#=x,y,z,type,size
CP=-1650.8972,-158.1571,13.9273
CP=-1614.6802,-488.7015,21.8661
CP=-1231.7607,-284.2981,13.9265
CP=-1399.3893,-115.2661,13.9228
CP=-1521.6288,-234.1923,11.7866
CP=-1568.2524,-359.7791,5.6306
CP=-1545.5347,-456.8491,6.0139
CP=-1405.6056,-394.3056,11.7271
CP=-1494.5864,-289.2225,11.0392
CP=-1548.8956,-454.3066,5.8025
CP=-1429.7229,-316.7628,5.7303
CP=-1579.7637,-465.3720,5.7209
CP=-1628.7876,-538.6505,11.0826
CP=-1440.8335,-472.1694,13.7271
CP=-1458.6414,-280.5904,13.7252
CP=-1601.4072,-390.8411,13.7271
CP=-1430.6672,-464.6739,13.7252
CP=-1495.3483,-273.6315,13.7271
CP=-1611.7825,-407.9760,13.7192
CP=-2046.9478,-596.8215,29.8183
CP=-1971.3274,-715.2903,31.7583
CP=-1923.2817,-728.8280,31.7013
CP=-1940.6516,-1006.0820,31.7426
CP=-2158.7732,-987.6849,31.7132
CP=-2158.7732,-987.6849,31.7132
CP=-2142.6545,-714.5246,31.7232
CP=-1987.7780,-727.6047,31.7526
CP=-1996.7300,-1132.3163,30.0876
CP=-1820.3066,-1188.9489,37.1021
CP=-1896.5278,-1176.3784,38.6843
CP=-1897.6676,-486.9445,37.9616
CP=-1859.9579,180.1325,38.0403
CP=-1788.7382,386.9235,16.8820
CP=-1664.3877,547.1724,38.1913
CP=-1728.2698,509.0460,38.1935
CP=-1845.1218,406.8040,16.7427
CP=-1825.6484,509.8710,29.8928
CP=-1899.0939,626.4167,34.7427
CP=-1881.8270,731.1008,45.0238
CP=-1541.4990,767.3049,6.7661
CP=-1552.9852,986.5287,6.7697
CP=-1655.1945,1268.2687,6.7663
CP=-1816.4691,1378.8364,6.7653
CP=-2064.5063,1275.6438,8.5193
CP=-2287.8716,1176.5945,54.0376
CP=-2475.1614,1219.7723,34.7847
CP=-2733.4875,1076.4033,46.5225
CP=-2765.0522,808.9817,52.2931
CP=-2810.4250,927.7239,43.6279
CP=-2824.1177,922.9483,43.6325
CP=-2866.3123,776.2877,33.5945
CP=-2823.4856,663.2559,15.5450
CP=-2853.9294,454.3762,4.0826
CP=-2792.3892,229.9316,6.8166
CP=-2758.6877,221.7821,6.7386
CP=-2754.0920,-6.9383,6.6594
CP=-2706.7947,7.2951,3.9078
CP=-2721.2180,38.7604,4.6493
CP=-2808.3743,25.7090,6.7595
CP=-2796.2981,-6.9267,6.7574
CP=-2761.8652,0.3988,6.6573
CP=-2755.6924,85.0385,6.6612
CP=-2590.2935,85.6593,4.1321
CP=-2421.2446,92.0383,34.7416
CP=-2369.0515,383.2782,34.6880
CP=-2460.7847,416.2078,33.6694
CP=-2512.2114,440.8269,26.7355
CP=-2548.7136,409.5866,20.8110
CP=-2606.2529,386.8510,8.8095
CP=-2592.4443,467.8551,14.1884
CP=-2510.5273,565.8766,14.1925
CP=-2385.1123,547.0604,25.3025
CP=-2252.0044,308.1217,34.8901
CP=-2234.7463,-189.3761,34.9003
CP=-2167.3269,-154.1582,34.8991
CP=-2184.0903,-70.7047,34.8990
CP=-2500.9116,-70.0250,25.4631
CP=-2655.3132,-84.8748,3.9002
CP=-2655.0256,-224.3829,4.1664
CP=-2816.6714,-344.6835,6.7584
CP=-2775.1877,-494.8501,6.9114
CP=-2641.9819,-387.4091,34.7749
CP=-2370.5088,-387.2027,76.8543
CP=-2324.6414,-454.9076,79.7494
CP=-2421.8472,-417.0395,85.4883
CP=-2608.9812,-501.7824,72.2010
CP=-2462.9426,-511.5649,109.3037
CP=-2353.2668,-769.1880,95.8659
CP=-2203.3831,-758.5092,62.3310
CP=-2177.1094,-1011.1075,34.1737
CP=-1887.0458,-1386.4154,39.3243
CP=-1558.0507,-1530.0057,37.4615
CP=-1594.9698,-1607.1302,35.9830
CP=-1922.0582,-1788.3136,30.4250
CP=-2145.4851,-2129.1133,55.1795
CP=-2586.6995,-2313.6221,11.5834
CP=-2305.1514,-2696.2542,42.6385
CP=-2216.6194,-2469.5703,30.1959
CP=-2185.0925,-2355.8096,30.2008
CP=-2128.5557,-2334.7908,30.1960
CP=-2118.7092,-2374.6885,30.1958
CP=-2191.4492,-2488.3643,30.1958
CP=-2122.7852,-2524.5156,30.1959
CP=-2016.0809,-2498.2068,32.4731
CP=-1884.1157,-2427.9646,32.7317
CP=-1745.4817,-2537.5586,2.7609
CP=-1620.7513,-2629.9666,51.1483
CP=-1182.0452,-2637.8962,11.4929
CP=-923.1516,-2668.2903,84.3516
CP=-744.1567,-2664.8735,84.7305
CP=-603.0551,-2360.1763,28.2775
CP=-723.2302,-2361.7305,44.5267
CP=-803.0736,-2455.5525,73.7804
CP=-947.6152,-2338.6191,59.7586
CP=-921.7493,-2181.6331,32.6957
CP=-795.5346,-2090.8760,24.3451
CP=-844.8111,-1925.7688,13.2423
CP=-715.5794,-1852.4232,13.9187
CP=-674.2455,-1941.9635,14.2387
CP=-683.5050,-2081.2473,26.0403
CP=-791.6980,-2097.4033,24.3423
CP=-856.5904,-1948.9580,14.2732
CP=-698.1838,-1855.0356,13.5451
CP=-672.5736,-1940.7391,13.6353
CP=-630.5362,-2027.0000,32.5489
CP=-443.4387,-1984.0470,28.3982
CP=-425.7449,-1915.2933,5.9898
CP=-309.2006,-1936.2878,15.2616
CP=-267.6076,-2062.9685,35.6865
CP=-253.3522,-1743.3398,4.0519
CP=-115.3289,-1628.3661,3.0933
CP=-43.7252,-1519.4082,1.5474
CP=-129.6313,-1262.6788,2.7686
CP=-21.3715,-1195.3885,6.0362
CP=-23.6528,-1072.0303,12.1080
CP=-106.6730,-1120.5665,1.5237
CP=-195.0374,-1103.2112,2.7871
CP=-154.6237,-1024.3639,1.0197
CP=-244.3684,-1025.9846,29.8072
CP=-352.7454,-1111.3226,67.7011
CP=-487.4661,-1001.0591,24.5895
CP=-649.6391,-1326.7023,18.9489
CP=-646.3928,-1487.6824,19.8097
CP=-462.4324,-1423.0282,17.9902
CP=-503.3431,-1655.3418,10.3647
CP=-414.1363,-1687.4509,14.3661
CP=-270.2200,-1664.4478,14.6988
CP=112.9573,-1271.9543,14.6849
CP=649.1949,-1224.2415,17.5355
CP=616.4359,-1319.4822,13.5659
CP=372.8724,-1424.4718,33.9089
CP=245.8377,-1617.4194,32.8263
CP=633.0064,-1660.6899,15.1552
CP=607.1019,-1589.0455,15.7351
CP=508.2759,-1566.0902,16.0238
CP=498.0713,-1461.7994,17.2752
CP=562.5080,-1409.3961,14.5862
CP=1061.9678,-1421.6547,13.0946
CP=1039.6099,-1827.5183,13.3193
CP=1031.4531,-2263.9360,12.6616
CP=1358.3906,-2477.1204,7.8727
CP=1452.8899,-2684.8345,12.6860
CP=2114.7278,-2671.7144,13.1024
CP=2182.2166,-2411.5925,13.1022
CP=2291.1367,-2307.3396,13.1042
CP=2306.9282,-2354.2905,13.1304
CP=2226.0012,-2455.4934,13.1423
CP=2246.6907,-2661.4253,13.1771
CP=2483.3442,-2634.0486,13.2396
CP=2510.1099,-2505.9866,13.2543
CP=2759.3267,-2485.2781,13.1994
CP=2740.7686,-2406.2341,13.1723
CP=2602.0715,-2396.6357,13.1896
CP=2270.4722,-2066.4348,13.1100
CP=2216.4863,-1737.5770,13.1082
CP=2102.2925,-1725.6681,13.1220
CP=2082.5916,-1830.5894,13.1099
CP=2199.9680,-1848.8304,1.7720
CP=2558.7935,-1832.0360,3.2498
CP=2617.6558,-1624.6100,7.3114
CP=2660.5530,-1656.4054,10.4076
CP=2736.1602,-1643.8669,12.7321
CP=2733.1895,-1083.4100,69.0831
CP=2643.3806,-1079.8356,69.1771
CP=2634.9446,-1442.4855,30.0165
CP=2393.2688,-1438.1508,23.5621
CP=2379.4878,-1383.7327,23.5929
CP=2304.9146,-1373.2029,23.5927
CP=2325.1030,-1139.0186,26.7796
CP=2554.7495,-1047.5042,69.1398
CP=2379.2554,-1065.8229,53.7550
CP=2177.8809,-1006.1269,62.4938
CP=1980.7119,-1060.4562,24.1269
CP=1989.9344,-1260.1357,23.5474
CP=2067.4277,-1271.8607,23.5475
CP=2087.5930,-1383.0664,23.5405
CP=2108.9578,-1395.2628,23.5973
CP=2106.7383,-1459.6243,23.5544
CP=1835.3182,-1461.0516,13.1029
CP=1358.5671,-1382.5266,13.2359
CP=1376.7365,-1036.6731,26.1452
CP=1593.9122,-1160.4730,23.6335
CP=1864.9414,-1165.2279,23.3991
CP=1893.4552,-1042.6920,23.4094
CP=2239.9905,-1139.4159,25.3840
CP=2880.0803,-1101.1810,10.6098
CP=2897.4138,-526.3871,12.1874
CP=2798.1362,-242.9580,10.9512
CP=2858.3757,-123.0515,21.9154
CP=2878.7747,-42.0133,17.2877
CP=2767.3188,43.7702,21.0421
CP=2535.1628,54.5575,26.0641
CP=2465.6218,102.1768,26.0632
CP=2459.3369,-23.9473,26.0631
CP=2225.3845,-38.0961,26.0541
CP=2228.0740,-90.3689,26.0631
CP=2343.0723,-85.3745,26.0537
CP=2335.3169,89.7561,26.0612
CP=2158.2764,93.5046,28.3847
CP=2004.8027,111.2116,29.3995
CP=1814.3160,193.5650,29.5912
CP=1647.4152,261.2409,18.8741
CP=1384.4076,212.6765,19.1562
CP=1535.5692,86.7216,28.5926
CP=1559.6333,-66.7240,20.6373
CP=1452.2943,-211.1583,9.5209
CP=1228.5038,-119.6534,39.0521
CP=985.5621,-86.1596,20.9289
CP=731.6767,-171.5572,20.0605
CP=515.2332,-221.3634,14.8517
CP=405.1845,-307.8341,10.3986
CP=287.2865,-380.2037,8.6656
CP=184.0496,-268.2856,1.1652
CP=201.4193,-213.2837,1.1544
CP=332.1601,-201.5697,0.5890
CP=321.0561,-73.2321,1.1674
CP=119.4331,-78.7617,1.3077
CP=104.1379,41.6503,0.3715
CP=-231.3790,207.3800,10.8113
CP=-346.5424,172.7550,6.3277
CP=-484.9587,213.3579,8.0561
CP=-669.9963,215.0536,18.9994
CP=-627.7585,121.8386,35.3553
CP=-618.4614,-64.2699,62.9734
CP=-518.4376,-78.6452,62.0921
CP=-494.9858,45.0598,41.5080
CP=-721.8773,223.1398,1.9943
CP=-762.7575,117.4829,12.5611
CP=-672.7416,81.5760,25.8505
CP=-885.5834,-42.6920,34.4534
CP=-671.5009,4.5252,70.7987
CP=-840.7283,-138.4067,62.1550
CP=-784.6089,-185.6190,66.1791
CP=-664.0866,-166.9350,59.7881
CP=-528.1027,-189.9684,78.1335
CP=-370.8443,-164.7891,56.3083
CP=-393.1551,23.4811,34.9386
CP=-306.5251,88.8020,11.6612
CP=-289.0298,194.1293,6.2726
CP=-213.0874,217.5081,11.3694
CP=-142.3299,632.6300,1.8468
CP=-264.5864,617.2701,12.6299
CP=-265.0353,693.0678,20.7467
CP=-115.0774,780.8032,20.7199
CP=-135.8325,815.4020,21.0377
CP=-282.8690,797.7577,14.8270
CP=-316.2433,920.8044,10.9983
CP=-471.3318,1051.6278,10.7584
CP=-611.8336,1181.4543,8.9201
CP=-753.7065,1260.3646,13.2525
CP=-858.1846,1487.4988,17.8997
CP=-891.9998,1469.0166,24.6586
CP=-942.2503,1410.8469,29.5457
CP=-985.4863,1453.3295,37.4721
CP=-1000.5341,1404.7511,41.5861
CP=-1034.1957,1426.5332,37.9600
CP=-1053.7513,1492.2662,34.7008
CP=-1020.7394,1587.2659,34.8325
CP=-1085.6279,1706.9579,29.8058
CP=-1194.8914,1797.3584,41.0470
CP=-1331.2665,1857.4403,37.5248
CP=-1742.0972,1827.6732,22.7866
CP=-1783.9939,2018.2362,10.2395
CP=-1872.6957,2200.3076,5.2046
CP=-1975.9021,2240.4167,13.7175
CP=-1999.9955,2421.4185,33.6322
CP=-1874.9496,2531.5913,48.4539
CP=-1766.5986,2703.8440,59.1886
CP=-1655.2260,2605.6917,79.8368
CP=-1659.6404,2467.5889,86.4445
CP=-1746.2943,2459.4395,72.2064
CP=-1688.6714,2404.6707,58.0688
CP=-1753.8927,2292.2554,35.5786
CP=-1688.8092,2335.8762,31.7358
CP=-1609.2186,2381.5542,50.8378
CP=-1531.8700,2359.8826,45.8114
CP=-1532.6162,2222.8381,48.6481
CP=-1481.8625,2115.1787,45.1264
CP=-1456.1104,1939.3513,50.9148
CP=-1321.7546,1977.9094,50.3895
CP=-1239.7935,1924.1171,42.5919
CP=-1257.1740,2038.3324,71.8583
CP=-1062.6827,2135.0796,87.3615
CP=-1104.0581,2391.1108,83.7097
CP=-1220.5898,2682.6287,46.0104
CP=-1083.8995,2702.1301,45.5959
CP=-778.6933,2705.7151,45.9112
CP=-707.9430,2674.5996,57.8787
CP=-736.3250,2628.8877,66.0725
CP=-557.1814,2420.0654,63.8992
CP=-392.2616,2468.2849,41.1302
CP=-173.1498,2487.7563,22.5023
CP=-156.2455,2548.8130,25.7593
CP=420.8208,2571.4707,16.0930
CP=472.7547,2472.8682,24.2136
CP=487.7262,2371.3701,29.3777
CP=588.8409,2137.8191,38.7158
CP=522.1594,1720.0508,10.4583
CP=534.2753,1684.5568,11.0710
CP=359.7422,1446.2075,6.6916
CP=193.8047,1160.2319,14.4969
CP=309.2139,822.7623,14.6081
CP=985.1223,743.9390,10.4390
CP=1495.7101,833.7724,6.5435
CP=2058.0190,836.8332,6.4681
CP=2071.3887,1112.1603,10.4055
CP=1870.1416,1096.9705,10.5264
CP=1632.7936,1132.5347,10.3258
CP=1448.1028,1151.8142,10.3988
CP=1007.4451,1207.1329,10.3990
CP=1007.9554,2382.2566,10.4187
CP=916.0005,2392.7114,10.4609
CP=907.7462,1966.4688,10.4028
CP=1106.0222,1961.9832,10.3989
CP=1108.5287,2045.7813,10.4736
CP=1562.2255,2051.4648,10.3990
CP=1567.5554,1984.0729,10.3990
CP=1394.1786,1972.6765,10.5101
CP=1388.7644,1879.0778,10.5298
CP=1696.8715,1873.9910,10.3990
CP=1707.0912,2165.8462,10.4981
CP=1760.8634,2172.3811,10.5556
CP=1937.7142,2024.2975,10.3725
CP=2343.7698,2030.4484,10.3664
CP=2390.3384,2052.4702,10.4079
CP=2539.4958,2050.0930,10.4030
CP=2599.3264,1954.0114,10.4820
CP=2509.2358,1948.0114,10.4964
CP=2507.3838,1889.9045,10.3991
CP=2525.9734,1712.3358,10.4006
CP=2501.0508,1593.5427,10.3988
CP=2558.8042,1515.8615,10.3989
CP=2547.1338,1381.9579,10.4506
CP=2188.3010,1361.3384,10.3981
CP=2182.8225,1154.6177,11.4007
CP=2066.2935,993.3710,10.3993
CP=2282.0374,974.1390,10.4975
CP=2289.9780,927.8029,10.6250
CP=2460.6755,834.2336,6.4619
CP=2701.6799,1006.2313,6.4615
CP=2745.5586,2007.4076,6.4539
CP=2797.6685,2112.3196,10.7471
CP=2718.0688,2271.5535,6.4442
CP=2638.4438,2124.9875,10.3771
CP=2839.5774,2112.1660,10.4732
CP=2844.0879,2287.3848,10.5105
CP=2637.6909,2292.8103,10.4567
CP=2628.0540,2241.2424,10.3990
CP=2303.9670,2233.3674,10.4105
CP=2285.1226,2279.5596,10.5282
CP=2137.6104,2280.8999,10.5467
CP=2040.6564,2344.2290,10.3994
CP=2027.1895,2635.4116,10.4511
CP=2087.4143,2659.5840,10.3989
CP=2087.1226,2734.5579,10.4561
CP=1908.5740,2733.7988,10.4394
CP=1693.6288,2714.8291,10.3990
CP=1684.7902,2817.7341,10.3990
CP=1550.0066,2818.2427,10.3990
CP=1544.2506,2723.8977,10.4406
CP=1256.6302,2712.3430,10.3990
CP=1247.5594,2601.2156,10.4134
CP=1590.8494,2589.2976,10.6069
CP=1971.9094,2593.7185,11.8060
