Name=Trackmania
Author=RandomKiller
MinLevel=14
JoinCost=8000

; The location of the waiting checkpoint.
; WaitLocation=waitx,waity,waitz
WaitLocation=-2966.4932,470.9641,4.6411

RunTime=500
WinBaseXP=300000
WinBaseCash=200000

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=451

; Checkpoints
; Type=0 is a normal checkpoint
; Type=1 is an air checkpoint
; Format: CP#=x,y,z,type,size
CP=-3090.9829,470.7661,24.7459
CP=-3189.0508,423.5016,49.8097
CP=-3312.7249,378.1957,26.5753
CP=-3408.6333,177.3745,30.8677
CP=-3500.9180,-49.8517,34.4412
CP=-3552.6116,-61.3930,20.5739
CP=-3519.2314,45.0827,20.4558
CP=-3611.5981,30.9070,20.4071
CP=-3805.1406,150.1849,20.3088
CP=-3750.2585,260.9626,20.2774
CP=-3652.7383,325.2653,16.1785
CP=-3567.8992,239.0361,21.2205
CP=-3485.8223,183.9945,22.3358
CP=-3498.1531,376.5062,22.3521
CP=-3543.4722,594.3198,22.2379
CP=-3375.4717,524.4316,22.2149
CP=-3244.5950,646.9720,22.1720
CP=-3371.1658,743.8489,22.0102
CP=-3499.8296,769.1137,22.6651
CP=-3686.5813,712.7990,27.8256
CP=-3791.1628,663.3206,36.1589
CP=-3899.8201,561.1495,36.1887
CP=-3782.8799,436.8690,36.1528
CP=-3670.7673,524.1634,35.8735
CP=-3603.8831,603.3463,27.8256
CP=-3568.2346,717.0427,27.7765
CP=-3491.4019,799.8889,21.9062
CP=-3550.2734,972.7469,21.9062
CP=-3497.3557,1083.4030,22.8829
CP=-3550.4719,1250.8733,30.1658
CP=-3438.4102,1294.2612,50.7343
CP=-3199.9285,1333.6281,33.9627
CP=-3078.4985,1348.9082,49.1285
CP=-3119.2908,1456.8142,19.1495
CP=-3216.7004,1458.0015,6.1946
CP=-3237.5210,1372.2916,6.1213
CP=-3066.0610,1444.1525,6.0948
CP=-2945.0857,1541.5225,6.1707
CP=-2827.4412,1352.1532,24.3668
CP=-2657.9104,1343.8573,22.4261
CP=-2455.3823,1376.9701,6.7661

OBJECT=6448,-3039.5696,436.3808,17.8255,0.0000,0.0000,90.0000,300.0
OBJECT=5484,-3137.3630,445.6717,38.2826,353.1245,0.0000,84.7660,300.0
OBJECT=5433,-3254.7966,405.3511,38.0519,2.5783,4.2972,0.8594,300.0
OBJECT=5314,-3359.5552,275.5251,27.8718,354.8434,0.0000,257.0312,300.0
OBJECT=5120,-3441.9292,121.4351,30.1526,358.2811,3.4377,302.0311,300.0
OBJECT=4160,-3484.1414,4.7160,31.9304,358.2811,3.4377,348.7500,300.0
OBJECT=17662,-3525.9231,-65.4393,26.5185,358.2811,1.7189,213.7500,300.0
OBJECT=17681,-3528.7656,-13.7526,19.8724,0.0000,0.0000,315.0000,300.0
OBJECT=17921,-3548.1465,36.9170,19.7756,0.0000,0.0000,135.0000,300.0
OBJECT=17637,-3611.2048,30.5634,19.7738,0.0000,0.0000,45.0000,300.0
OBJECT=17602,-3700.1230,41.6065,19.7250,0.0000,0.0000,45.0000,300.0
OBJECT=10456,-3791.4077,123.6780,19.6598,0.0000,0.0000,225.0000,300.0
OBJECT=8456,-3700.9377,266.9902,17.3818,358.2811,358.2811,224.1406,300.0
OBJECT=11075,-3574.3560,244.8711,17.8963,0.0000,0.0000,45.0000,300.0
OBJECT=12998,-3494.4995,193.8658,21.6790,0.0000,0.0000,45.0000,300.0
OBJECT=10457,-3532.3137,301.8044,21.7261,0.0000,0.0000,135.0000,300.0
OBJECT=11084,-3508.4460,436.2798,21.6962,0.0000,0.0000,45.0000,300.0
OBJECT=6317,-3541.6736,548.7257,21.6469,0.0000,0.0000,319.2972,300.0
OBJECT=6881,-3494.5752,595.2081,21.5849,0.0000,0.0000,127.1878,300.0
OBJECT=8036,-3369.0664,580.1658,21.5972,0.0000,0.0000,128.1246,300.0
OBJECT=8456,-3304.9417,675.1462,21.3668,0.0000,0.0000,128.0472,300.0
OBJECT=6886,-3489.4602,878.6448,21.2494,0.0000,0.0000,308.0472,300.0
OBJECT=6311,-3499.4189,1123.1880,24.3465,0.0000,0.0000,67.5000,300.0
OBJECT=17639,-3529.0964,746.9336,24.2365,0.0000,356.5623,217.1878,300.0
OBJECT=4835,-3651.6785,653.8750,31.3016,0.0000,0.0000,37.1877,300.0
OBJECT=7479,-3833.7815,655.2336,35.5320,0.0000,0.0000,38.0471,300.0
OBJECT=8036,-3772.6428,495.7083,35.5351,0.0000,0.0000,128.0472,300.0
OBJECT=17927,-3722.5933,497.6899,36.7353,0.0000,0.0000,218.0472,300.0
OBJECT=17927,-3881.8765,520.3679,36.7743,0.0000,0.0000,308.0472,300.0
OBJECT=17639,-3759.3157,573.2543,27.1440,0.0000,0.0000,216.3284,300.0
OBJECT=17613,-3825.6614,536.9079,27.0497,0.0000,0.0000,215.4689,300.0
OBJECT=17921,-3533.7454,1211.4481,27.5798,0.0000,1.7189,247.5001,300.0
OBJECT=17669,-3500.9810,1271.1250,39.1778,3.4377,358.2811,0.0000,300.0
OBJECT=13706,-3315.5471,1322.0548,40.2327,356.5623,0.0000,187.8123,300.0
OBJECT=9725,-3130.5095,1322.1212,45.9959,359.1406,344.5301,326.2500,300.0
OBJECT=9725,-3080.9426,1410.3982,38.0147,343.6707,358.2811,66.6407,300.0
OBJECT=17927,-3161.8337,1454.5859,13.3536,0.0000,351.4056,348.7500,300.0
OBJECT=17921,-3229.1375,1448.8336,5.5138,0.0000,0.0000,167.8906,300.0
OBJECT=12998,-3232.8796,1384.2667,5.4645,0.0000,0.0000,347.8905,300.0
OBJECT=17681,-3151.7761,1421.1139,5.5614,0.0000,0.0000,78.7500,300.0
OBJECT=17637,-3063.5762,1443.8823,5.4623,0.0000,0.0000,258.8273,300.0
OBJECT=11084,-2988.8767,1500.0731,5.5005,0.0000,0.0000,168.7501,300.0
OBJECT=17669,-2916.0645,1489.3402,12.9246,0.0000,0.0000,270.0000,300.0
OBJECT=6881,-2864.9436,1384.9636,22.3798,0.0000,357.4217,265.7028,300.0
OBJECT=17639,-2777.8225,1349.8193,23.0093,357.4217,0.8594,357.4217,300.0
OBJECT=1655,-2663.8445,1339.3063,17.0423,0.0000,0.0000,270.0000,300.0
OBJECT=1655,-2663.8435,1348.0049,17.0423,0.0000,0.0000,270.0000,300.0
OBJECT=1655,-2656.5667,1347.9984,21.8763,20.6265,0.0000,270.0000,300.0
OBJECT=1655,-2656.6003,1339.3120,21.8545,20.6265,0.0000,270.0000,300.0
