; Converted Mon, 02 Aug 10 07:50:37 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-2093.9001,1406.2408,7.1016
MinLevel=0
JoinCost=1000
WinBaseXP=500000
WinBaseCash=500000

Name=Up And Down
Author=Cheerios
Description=Go Up And Down....
RunTime=1000
Weather=0
Time=7

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=522

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=2438.944092,-3052.762207,626.732971,360
SPAWN=2440.593506,-3052.826172,626.732971,360
SPAWN=2442.442627,-3052.840088,626.732971,360
SPAWN=2444.162842,-3052.773438,626.732971,360
SPAWN=2445.736572,-3052.78418,626.732971,360
SPAWN=2447.291992,-3052.775879,626.732971,360
SPAWN=2448.866211,-3052.714355,626.732971,360
SPAWN=2450.364014,-3052.768799,626.732971,360
SPAWN=2451.827393,-3052.787109,626.732971,360
SPAWN=2453.171875,-3052.723877,626.732971,360
SPAWN=2454.652344,-3052.693848,626.732971,360
SPAWN=2456.274658,-3052.688232,626.732971,360
SPAWN=2457.819824,-3052.727051,626.732971,360
SPAWN=2459.412354,-3052.657715,626.732971,360
SPAWN=2461.10376,-3052.625977,626.732971,360
SPAWN=2462.697754,-3052.490967,626.732971,360
SPAWN=2464.304199,-3052.529053,626.732971,360
SPAWN=2465.904297,-3052.720215,626.732971,360
SPAWN=2467.462646,-3052.747559,626.732971,360
SPAWN=2469.129639,-3052.708496,626.732971,360
SPAWN=2470.60498,-3052.724121,626.732971,360
SPAWN=2471.914795,-3052.656982,626.732971,360
SPAWN=2473.360352,-3052.667969,626.732971,360
SPAWN=2474.719971,-3052.662354,626.732971,360
SPAWN=2476.17334,-3052.752441,626.732971,360

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=2458.119141,-3008.148682,625.741516,0,31.6
CP=2458.069336,-3206.841309,632.086853,0,31.6
CP=2459.270264,-4852.858398,979.418884,0,31.6
CP=2457.192627,-5535.580078,428.646881,0,31.6
CP=2458.140381,-6177.579102,13.29505,0,31.6
CP=2255.792236,-7066.294922,29.45079,0,3.6
CP=2325.322266,-6830.588867,29.454529,0,31.6
CP=2250.817383,-6315.209473,29.419783,0,31.6
CP=2089.416504,-5502.728516,29.321293,0,31.6
CP=1966.599365,-4875.250488,45.919106,1,31.6
CP=1859.973999,-4025.478027,97.463013,1,31.6
CP=1739.800049,-2963.003906,121.9179,1,31.6
CP=1175.10498,-2215.040527,161.177628,1,31.6
CP=595.37439,-1733.833374,175.603149,1,31.6
CP=29.221153,-1239.407715,144.220276,1,31.6
CP=-532.088928,-433.812805,176.074554,1,31.6
CP=-1171.829224,405.958191,144.204117,1,31.6
CP=-1605.294556,1174.591309,119.788635,1,31.6
CP=-2092.915283,1860.477539,127.654381,1,31.6
CP=-2823.868896,2786.5625,337.824402,1,31.6

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=8357,2457.447021,-2946.345703,625.757141,0,0,0
OBJECT=8357,2457.451416,-2931.531738,604.234863,14.6104188,0,0
OBJECT=8357,2457.43335,-2949.087646,608.825134,350.5461996,0,0
OBJECT=8357,2457.307129,-2986.725098,608.741333,0.8594364,0,0
OBJECT=8650,2452.674316,-3054.391846,627.180298,0,0,89.999950625
OBJECT=8650,2462.174561,-3054.40918,627.188721,0,0,89.999950625
OBJECT=8357,2457.44458,-2973.373535,639.212524,4.297182,0,0
OBJECT=8357,2457.380371,-3061.476074,634.079041,2.5783092,0,0
OBJECT=8357,2457.424072,-3207.491943,632.04364,356.5622544,0,0
OBJECT=8357,2457.368896,-3413.568115,656.824341,349.6867632,0,0
OBJECT=8357,2457.466309,-3598.071045,694.464172,347.108454,0,0
OBJECT=8357,2457.508789,-3787.980469,753.51123,338.51409,0,0
OBJECT=8357,2457.708008,-3979.491943,828.88324,338.51409,0,0
OBJECT=8357,2457.809326,-4174.53418,905.584961,338.51409,0,0
OBJECT=8357,2457.827881,-4367.185059,981.400696,338.51409,0,0
OBJECT=8357,2457.865479,-4571.86377,1009.182129,6.0160548,0,0
OBJECT=8357,2457.881836,-4763.77832,988.980591,6.0160548,0,0
OBJECT=8357,2457.923584,-4953.592773,912.672302,37.8152016,0,0
OBJECT=8357,2458.17334,-5119.695313,783.598022,37.8152016,0,0
OBJECT=8357,2457.904053,-4803.15918,1034.389771,218.192879408,0,0
OBJECT=8357,2458.256592,-5444.394043,517.430054,43.8312564,0,0
OBJECT=8357,2458.195557,-5214.437988,0.276275,37.8152016,0,0
OBJECT=8357,2458.268799,-5283.733398,656.145752,37.8152016,0,0
OBJECT=8357,2457.917969,-5448.713867,525.030823,219.911809504,0,0
OBJECT=8357,2458.22998,-5597.357422,370.551422,43.8312564,0,0
OBJECT=8357,2458.196289,-5752.949219,236.133423,37.8152016,0,0
OBJECT=8357,2458.200684,-5918.414551,125.091385,30.080274,0,0
OBJECT=8357,2458.220947,-6099.721191,34.214867,23.2047828,0,0
OBJECT=8357,2458.167725,-6094.111816,1.770068,352.2650724,0,0
OBJECT=8357,2458.206543,-6068.116699,6.660514,357.4216908,0,0
OBJECT=8357,2458.202637,-6153.365723,11.414184,17.188728,0,0
OBJECT=8357,2458.143066,-6374.252441,8.973681,1.7188728,0,0
OBJECT=8357,2438.422852,-6576.870605,11.972637,356.5622544,0,348.749977524
OBJECT=8357,2380.414063,-6765.831055,30.31719,353.1245088,0,337.500012344
OBJECT=8357,2288.522461,-6988.664063,29.466415,0,0,337.500012344
OBJECT=8357,2325.451904,-6791.699707,29.470154,0,0,0
OBJECT=8357,2306.0271,-6589.975098,29.456667,0,0,11.250022476
OBJECT=8357,2265.617432,-6386.849609,29.435408,0,0,11.250022476
OBJECT=8357,2225.353271,-6184.258301,29.414148,0,0,11.250022476
OBJECT=8357,2185.73291,-5986.002441,29.367889,0,0,11.250022476
OBJECT=8357,2183.421387,-5974.413574,18.279453,7.7349276,0,11.250022476
OBJECT=8357,2112.191406,-5616.166992,29.383179,0,0,11.250022476
OBJECT=8357,2162.188477,-5867.737305,33.107628,7.7349276,0,11.250022476
OBJECT=8357,2071.990234,-5414.605469,29.336918,0,0,11.250022476
OBJECT=8357,2248.380615,-7085.716309,29.470154,267.180926096,0,337.500012344
OBJECT=8357,2255.049072,-7069.603516,29.470154,88.4177538254,0,337.500012344
OBJECT=1225,2268.597412,-7077.265137,29.856544,0,0,0
OBJECT=1225,2265.098633,-7075.831543,29.856544,0,0,0
OBJECT=1225,2258.771729,-7073.720703,29.856544,0,0,0
OBJECT=1225,2254.278809,-7074.318848,29.856544,0,0,0
OBJECT=1225,2261.379639,-7079.159668,29.856544,0,0,0
OBJECT=1225,2255.777588,-7071.787598,29.856544,0,0,0
OBJECT=1225,2252.89917,-7070.210938,29.856544,0,0,0
OBJECT=1225,2249.007568,-7071.870117,29.856544,0,0,0
OBJECT=1225,2245.361328,-7068.737305,29.856544,0,0,0
OBJECT=1225,2243.470703,-7066.702637,29.856544,0,0,0
OBJECT=1225,2239.266357,-7067.770508,29.856544,0,0,0
OBJECT=1225,2237.978027,-7063.920898,29.856544,0,0,0
OBJECT=1225,2240.155273,-7069.90918,29.856544,0,0,0
OBJECT=1225,2244.609863,-7071.711426,29.856544,0,0,0
OBJECT=1225,2247.604492,-7073.411133,29.856544,0,0,0
OBJECT=1225,2247.931641,-7076.915039,29.856544,0,0,0
OBJECT=1225,2248.858887,-7077.134277,29.856544,0,0,0
OBJECT=1225,2251.442871,-7072.830566,29.856544,0,0,0
OBJECT=1225,2254.49292,-7070.939941,29.856544,0,0,0
