; Converted Mon, 12 Apr 10 15:55:03 +1000

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=1552.35083,-1362.064331,329.116638,0
MinLevel=0
JoinCost=15000
WinBaseXP=450000
WinBaseCash=450000

Name=Vortex Jump
Author=Smoke
Description=
RunTime=600
Weather=8
Time=0:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=539

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=1552.35083,-1362.064331,329.116638,360
SPAWN=1555.507446,-1362.145874,329.115753,360
SPAWN=1552.514282,-1366.39624,329.103455,360
SPAWN=1555.577271,-1366.758789,329.103455,360
SPAWN=1558.483521,-1359.514771,329.103455,360
SPAWN=1561.359619,-1358.412964,329.103455,360
SPAWN=1537.856445,-1366.304077,329.110931,360
SPAWN=1534.11853,-1366.678711,329.110931,360

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=1537.676758,-1339.099609,328.811462,0,8
CP=1452.238037,-1061.741577,212.382813,0,8
CP=1315.996582,-981.699829,147.643707,0,8
CP=1277.862915,-1193.892456,93.226563,0,8
CP=1082.838379,-1169.828247,63.5,0,8
CP=1013.316162,-1167.365601,51.632111,0,8
CP=973.698975,-1194.85437,53.90625,0,2
CP=1031.994995,-1194.863403,53.90625,0,2

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=3996,1214.075317,-1181.239502,89.529266,0,0,0
OBJECT=3996,1184.084839,-1182.052979,89.695847,0,0,0.8594364
OBJECT=1632,1192.238403,-1181.982056,90.917831,0,0,84.2248244958
OBJECT=1632,1132.697144,-1177.861938,90.917831,0,0,84.2248244958
OBJECT=1632,1013.463257,-1168.189575,51.251457,0,0,132.3532056
OBJECT=1632,1007.641846,-1173.725342,54.463871,0,0,132.3532056
OBJECT=1696,1074.060181,-1166.59082,63.130611,0,0,89.3813283042
OBJECT=1225,998.953125,-1160.012451,50.357098,0,0,0
OBJECT=1225,998.880859,-1161.502075,50.357098,0,0,0
OBJECT=1225,998.904236,-1162.994873,50.357098,0,0,0
OBJECT=1225,998.810913,-1164.665894,50.357098,0,0,0
OBJECT=1225,998.818359,-1166.601196,50.357098,0,0,0
OBJECT=1225,998.883362,-1168.505981,50.357098,0,0,0
OBJECT=1225,998.919434,-1170.408813,50.357098,0,0,0
OBJECT=1225,998.826477,-1172.557251,50.357098,0,0,0
OBJECT=1225,998.910278,-1174.515991,50.357098,0,0,0
OBJECT=1225,998.854919,-1176.934814,50.357098,0,0,0
OBJECT=1225,963.630737,-1210.078979,54.312004,0,0,0
OBJECT=1225,963.635864,-1206.804077,54.312004,0,0,0
OBJECT=1225,963.704529,-1208.329956,54.312004,0,0,0
OBJECT=1225,963.357971,-1205.516846,54.312004,0,0,0
OBJECT=1225,963.819763,-1191.007446,54.312004,0,0,0
OBJECT=1225,963.702576,-1193.021118,54.312004,0,0,0
OBJECT=1225,963.734863,-1188.838867,54.312004,0,0,0
OBJECT=1225,963.695374,-1186.519897,54.312004,0,0,0
OBJECT=1225,963.660034,-1195.103394,54.312004,0,0,0
OBJECT=1225,963.515625,-1196.969604,54.312004,0,0,0
OBJECT=1225,963.480286,-1198.918213,54.312004,0,0,0
OBJECT=1225,963.859253,-1184.055786,54.312004,0,0,0
OBJECT=1225,963.392944,-1200.576294,54.312004,0,0,0
OBJECT=1225,963.392334,-1202.269653,54.312004,0,0,0
OBJECT=1225,963.301453,-1203.967773,54.312004,0,0,0
OBJECT=1225,963.9646,-1179.775757,54.312004,0,0,0
OBJECT=1225,963.808167,-1181.889526,54.312004,0,0,0
OBJECT=1225,966.012207,-1179.442261,54.312004,0,0,0
OBJECT=1225,967.852783,-1179.226074,54.312004,0,0,0
OBJECT=1225,972.307983,-1179.287964,54.312004,0,0,0
OBJECT=1225,976.753418,-1179.316284,54.312004,0,0,0
OBJECT=1225,974.563293,-1179.243896,54.312004,0,0,0
OBJECT=1225,978.8573,-1179.207886,54.312004,0,0,0
OBJECT=1225,980.687622,-1179.226807,54.312004,0,0,0
OBJECT=1225,970.023926,-1179.173462,54.312004,0,0,0
OBJECT=1632,991.400391,-1194.963989,55.206364,0,0,272.3374872
OBJECT=1632,1010.20459,-1194.797363,55.206364,0,0,272.3374872
OBJECT=974,994.764038,-1201.245728,56.68399,0,0,270.6186144
OBJECT=974,994.8349,-1207.645142,56.68399,0,0,270.6186144
OBJECT=974,993.998108,-1188.222046,56.68399,0,0,270.6186144
OBJECT=974,997.014771,-1183.793945,56.68399,0,0,202.723081504
OBJECT=974,1002.817749,-1181.341309,56.68399,0,0,202.723081504
OBJECT=974,1007.161682,-1179.54834,56.719307,0,0,202.723081504
OBJECT=1225,982.941284,-1179.260742,54.312004,0,0,0
OBJECT=1225,995.545349,-1179.426147,54.312004,0,0,0
OBJECT=1225,993.209595,-1179.547607,54.312004,0,0,0
OBJECT=1225,990.866394,-1179.439819,54.312004,0,0,0
OBJECT=1225,988.447144,-1179.529663,54.312004,0,0,0
OBJECT=1225,984.724365,-1179.3302,54.312004,0,0,0
OBJECT=1225,986.649414,-1179.30896,54.312004,0,0,0
OBJECT=1225,997.909546,-1179.5271,54.312004,0,0,0
OBJECT=1225,999.942078,-1179.680664,54.312004,0,0,0
OBJECT=1225,1002.506653,-1179.69458,54.312004,0,0,0
OBJECT=1225,1005.220825,-1179.476929,54.312004,0,0,0
OBJECT=1225,993.332214,-1184.780762,54.312004,0,0,0
OBJECT=1225,993.230835,-1189.325684,54.312004,0,0,0
OBJECT=1225,994.091431,-1199.227173,54.312004,0,0,0
OBJECT=1225,994.38147,-1205.771973,54.312004,0,0,0
OBJECT=1225,999.840454,-1181.952148,54.312004,0,0,0
OBJECT=1225,1001.995605,-1181.077393,54.312004,0,0,0
OBJECT=1225,997.95874,-1182.978516,54.312004,0,0,0
OBJECT=1225,994.294495,-1203.546875,54.312004,0,0,0
OBJECT=1225,995.608765,-1183.958862,54.312004,0,0,0
OBJECT=1225,993.357544,-1186.946289,54.312004,0,0,0
OBJECT=1225,993.154663,-1191.163452,54.312004,0,0,0
OBJECT=1225,986.83429,-1192.679565,54.312004,0,0,0
OBJECT=1225,994.232605,-1201.316895,54.312004,0,0,0
OBJECT=1225,994.492126,-1210.425293,54.312004,0,0,0
OBJECT=1225,994.393127,-1208.300293,54.312004,0,0,0
OBJECT=1225,986.842896,-1197.864136,54.312004,0,0,0
OBJECT=1225,992.350891,-1210.307983,54.312004,0,0,0
OBJECT=1225,987.288574,-1210.431519,54.312004,0,0,0
OBJECT=1225,966.18042,-1210.246948,54.312004,0,0,0
OBJECT=1225,971.61908,-1210.492798,54.312004,0,0,0
OBJECT=1225,977.174866,-1210.37207,54.312004,0,0,0
OBJECT=1225,979.927917,-1210.364258,54.312004,0,0,0
OBJECT=1225,974.460693,-1210.447388,54.312004,0,0,0
OBJECT=1225,982.236938,-1210.325562,54.312004,0,0,0
OBJECT=1225,984.74762,-1210.542847,54.312004,0,0,0
OBJECT=1225,989.862549,-1210.332031,54.312004,0,0,0
OBJECT=1225,996.446777,-1210.049316,54.312004,0,0,0
OBJECT=1225,969.180115,-1210.324341,54.312004,0,0,0
OBJECT=3374,1017.652649,-1180.007202,55.400227,0,0,0
OBJECT=3374,1017.648743,-1183.685791,55.400227,0,0,0
OBJECT=3374,1017.737061,-1187.460449,55.400227,0,0,0
OBJECT=3374,1017.708984,-1191.195068,55.400227,0,0,0
OBJECT=3374,1017.495911,-1206.896729,55.400227,0,0,0
OBJECT=3374,1017.510193,-1206.456421,58.400227,0,0,0
OBJECT=3374,1017.472107,-1210.152222,55.400227,0,0,0
OBJECT=3374,1017.57135,-1202.465088,58.400227,0,0,0
OBJECT=3374,1017.684631,-1194.957764,55.400227,0,0,0
OBJECT=3374,1017.516541,-1198.916382,55.400227,0,0,0
OBJECT=3374,1017.512695,-1202.904907,55.400227,0,0,0
OBJECT=3374,1017.472168,-1210.233765,58.400227,0,0,0
OBJECT=3374,1026.796021,-1197.106812,55.400227,0,0,0
OBJECT=3374,1026.832031,-1193.241943,55.400227,0,0,0
OBJECT=3374,1017.691345,-1179.952271,58.400227,0,0,0
OBJECT=3374,1017.618958,-1183.429688,58.400227,0,0,0
OBJECT=3374,1017.601624,-1186.958374,58.400227,0,0,0
OBJECT=3374,1017.554504,-1190.71814,58.400227,0,0,0
OBJECT=3374,1017.512451,-1194.604004,58.400227,0,0,0
OBJECT=3374,1017.418945,-1198.473389,58.400227,0,0,0
OBJECT=1225,998.381104,-1210.160278,54.312004,0,0,0
OBJECT=1225,1002.953491,-1210.166626,54.312004,0,0,0
OBJECT=1225,1000.611633,-1210.057495,54.312004,0,0,0
OBJECT=1225,1008.019897,-1210.511963,54.312004,0,0,0
OBJECT=1225,1005.439636,-1210.159668,54.312004,0,0,0
OBJECT=1225,1010.552429,-1210.377197,54.312004,0,0,0
OBJECT=1225,1014.75,-1203.541382,54.312004,0,0,0
OBJECT=1225,1012.771057,-1210.226196,54.312004,0,0,0
OBJECT=1225,1014.833252,-1198.6073,54.312004,0,0,0
OBJECT=1225,1014.642334,-1205.862915,54.312004,0,0,0
OBJECT=1225,1014.7229,-1179.476929,54.312004,0,0,0
OBJECT=1225,1014.99408,-1189.982788,54.312004,0,0,0
OBJECT=1225,1014.652039,-1195.68811,54.312004,0,0,0
OBJECT=1225,1014.748169,-1201.204346,54.312004,0,0,0
OBJECT=1225,1014.866943,-1207.963135,54.312004,0,0,0
OBJECT=1225,1015.003845,-1210.190674,54.312004,0,0,0
OBJECT=1225,1015.223694,-1187.246338,54.312004,0,0,0
OBJECT=1225,1015.099365,-1184.820923,54.312004,0,0,0
OBJECT=1225,1015.112549,-1182.091309,54.312004,0,0,0
OBJECT=1225,1014.901978,-1192.501221,54.312004,0,0,0
OBJECT=1225,1012.450073,-1179.414917,54.312004,0,0,0
OBJECT=1225,1010.546448,-1179.17041,54.312004,0,0,0
OBJECT=1225,1008.820618,-1179.304321,54.312004,0,0,0
OBJECT=1225,1025.102173,-1199.945313,54.312004,0,0,0
OBJECT=1225,1025.147583,-1190.539307,54.312004,0,0,0
OBJECT=1225,1026.766235,-1199.87915,54.312004,0,0,0
OBJECT=1225,1026.567261,-1190.56311,54.312004,0,0,0
OBJECT=1225,1022.924988,-1210.704346,54.312004,0,0,0
