; Converted Wed, 30 Jun 10 20:14:02 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=173.4088,2502.4709,16.4844
MinLevel=0
JoinCost=10000
WinBaseXP=500000
WinBaseCash=500000

Name=Welder's Doom
Author=Welder
RunTime=1000
Weather=0
Time=0:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=415

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=428.123322,2483.543701,16.333899,89
SPAWN=428.205444,2486.273438,16.333899,89
SPAWN=428.293396,2489.040771,16.333899,89
SPAWN=428.342041,2491.88208,16.333899,89
SPAWN=428.450867,2494.659912,16.333899,89
SPAWN=428.58905,2497.553223,16.333899,89
SPAWN=428.750885,2500.520996,16.333899,89
SPAWN=428.875153,2503.62207,16.333899,89
SPAWN=428.909363,2506.384766,16.333899,89
SPAWN=429.023438,2509.282959,16.333899,89
SPAWN=429.084351,2512.255859,16.333899,89
SPAWN=429.082458,2515.219238,16.333899,89
SPAWN=429.012848,2518.163086,16.333899,89
SPAWN=429.075043,2521.258057,16.333899,89
SPAWN=428.00177,2480.87085,16.333899,89
SPAWN=-77.019257,2520.20874,16.333897,271
SPAWN=-77.183701,2517.233398,16.333897,271
SPAWN=-77.122231,2514.207275,16.333897,271
SPAWN=-77.07766,2511.150879,16.333897,271
SPAWN=-77.209854,2507.980713,16.333897,271
SPAWN=-77.358582,2504.911621,16.333897,271
SPAWN=-77.433289,2501.835205,16.333897,271
SPAWN=-77.492912,2498.831543,16.333897,271
SPAWN=-77.601357,2495.637939,16.333897,271
SPAWN=-77.580971,2492.522705,16.333897,271
SPAWN=-77.698616,2489.278809,16.333897,271
SPAWN=-77.565514,2486.178467,16.333897,271
SPAWN=-77.698891,2483.280029,16.333897,271
SPAWN=-76.952072,2522.937744,16.333897,271
SPAWN=-76.860329,2525.752441,16.333897,271
SPAWN=-77.822357,2480.201904,16.333897,271
SPAWN=420.809479,2480.821777,16.333899,89
SPAWN=421.71286,2521.770508,16.333899,89
SPAWN=-69.729187,2480.523682,16.333897,271
SPAWN=-70.186127,2525.680176,16.333897,271

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=404.254944,2504.237549,15.484375,0,31.6
CP=-32.153046,2503.515869,15.484375,0,31.6
CP=404.64386,2503.635498,15.484375,0,31.6
CP=-31.537352,2502.991699,15.484377,0,31.6
CP=405.389252,2504.006592,15.484371,0,31.6
CP=-32.715996,2503.757813,15.484375,0,31.6
CP=405.911804,2504.813477,15.484375,0,31.6
CP=-33.677795,2503.949707,15.484375,0,31.6
CP=403.714844,2504.43335,15.484375,0,31.6
CP=-29.881203,2503.410645,15.484375,0,31.6
CP=403.453217,2504.933594,15.484375,0,31.6
CP=-29.921206,2503.666748,15.484375,0,31.6
CP=403.64325,2504.088135,15.484375,0,31.6
CP=178.309921,2504.410889,15.484375,0,31.6

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=1634,211.21106,2499.078125,16.556696,0,0,90.936736301
OBJECT=1634,211.294479,2494.952881,16.556696,0,0,90.936736301
OBJECT=1634,211.100616,2503.150391,16.556696,0,0,90.936736301
OBJECT=1634,211.032181,2507.285645,16.547733,0,0,90.936736301
OBJECT=1634,210.969788,2511.384277,16.543478,0,0,90.936736301
OBJECT=1634,210.886887,2515.517578,16.53898,0,0,90.936736301
OBJECT=1634,210.810104,2519.663818,16.542631,0,0,90.936736301
OBJECT=1634,210.74472,2523.810303,16.553631,0,0,90.936736301
OBJECT=1634,211.366302,2490.799316,16.556696,0,0,90.936736301
OBJECT=1634,211.426392,2486.661377,16.556696,0,0,90.936736301
OBJECT=1634,211.485107,2482.515869,16.564489,0,0,90.936736301
OBJECT=1634,142.972336,2482.040283,16.781693,0,0,270.154550427
OBJECT=1634,142.972412,2486.176025,16.781691,0,0,270.154550427
OBJECT=1634,142.953827,2490.322998,16.781693,0,0,270.154550427
OBJECT=1634,142.94931,2494.468506,16.781693,0,0,270.154550427
OBJECT=1634,142.957611,2498.624268,16.781693,0,0,270.154550427
OBJECT=1634,142.939026,2502.773926,16.781693,0,0,270.154550427
OBJECT=1634,142.930878,2506.90918,16.776167,0,0,270.154550427
OBJECT=1634,142.961853,2511.027832,16.795547,0,0,270.154550427
OBJECT=1634,142.931671,2515.142822,16.771227,0,0,270.154550427
OBJECT=1634,142.914642,2519.243164,16.76824,0,0,270.154550427
OBJECT=1634,142.89949,2523.345459,16.765881,0,0,270.154550427
OBJECT=1225,197.944244,2481.211182,15.89013,0,0,0
OBJECT=1225,197.82991,2490.164795,15.840132,0,0,0
OBJECT=1225,197.523315,2499.540039,15.89013,0,0,0
OBJECT=1225,197.464706,2509.055176,15.914845,0,0,0
OBJECT=1225,197.220276,2519.005615,16.076042,0,0,0
OBJECT=1225,197.034378,2527.139404,16.196299,0,0,0
OBJECT=1225,177.421341,2522.931152,16.129391,0,0,0
OBJECT=1225,178.330643,2513.23877,15.985379,0,0,0
OBJECT=1225,178.323868,2504.457764,15.840133,0,0,0
OBJECT=1225,178.229721,2495.250244,15.89013,0,0,0
OBJECT=1225,178.954208,2485.762451,15.89013,0,0,0
OBJECT=1225,160.868103,2526.740967,16.19466,0,0,0
OBJECT=1225,161.204269,2518.529541,16.050358,0,0,0
OBJECT=1225,161.23584,2509.554688,15.931346,0,0,0
OBJECT=1225,161.439896,2500.390625,15.89013,0,0,0
OBJECT=1225,161.869858,2490.346924,15.89013,0,0,0
OBJECT=1225,162.065887,2478.735596,15.89013,0,0,0
OBJECT=6987,361.438507,2453.554688,15.543859,0,0,0
OBJECT=8399,423.844666,2467.618164,28.400391,0,0,89.999950625
OBJECT=8399,397.705444,2467.681641,28.41357,0,0,89.999950625
OBJECT=8399,371.51886,2467.695801,28.425505,0,0,89.999950625
OBJECT=8399,411.572968,2468.207275,28.310139,0,0,269.999909171
OBJECT=9582,245.980927,2457.951172,24.246351,0,0,161.797152889
OBJECT=10398,137.989456,2447.008545,43.833298,0,0,180.85933765
OBJECT=4005,-97.549286,2493.097656,28.459469,0,0,180.93662963
OBJECT=4006,-104.727341,2539.00293,35.1092,0,0,0
