
Name=Airbourne Highway
Author=National
MinLevel=15
JoinCost=10000

; The location of the waiting checkpoint.
; WaitLocation=waitx,waity,waitz
WaitLocation=2834.896484,-1073.255493,23.132740

RunTime=1000
WinBaseXP=1200000
WinBaseCash=1200000
Weather=0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=411
VehicleHealth=5000.0

; Checkpoints
; Type=0 is a normal checkpoint
; Type=1 is an air checkpoint
; The params type and size are optional
; Format: CP=x,y,z,type,size
CP=2839.232178,-1032.212402,21.948675,0,0.0
CP=2843.096924,-910.019287,12.105831,0,0.0
CP=2844.945801,-793.907837,9.893782,0,0.0
CP=2846.427734,-672.947388,9.823503,0,9.0
CP=2842.910645,-543.750000,28.089367,0,9.0
CP=2832.387451,-442.287201,46.449707,0,9.0
CP=2825.385254,-303.950134,37.743332,0,9.0
CP=2956.984131,-170.445984,37.551266,0,9.0
CP=3002.688477,-14.783783,37.723141,0,9.0
CP=3077.048340,-3.333922,37.330418,0,9.0
CP=2964.547607,56.101051,23.976234,0,9.0
CP=2862.424805,95.755875,13.980436,0,0.0,522
CP=2814.180664,128.223022,21.052475,0,0.0
CP=2769.410400,143.717316,20.104939,0,0.0
CP=2750.423096,194.187897,22.377537,0,0.0
CP=2713.104736,270.642731,35.886372,0,0.0
CP=2635.591553,304.896606,37.232204,0,0.0
CP=2525.917480,293.209686,28.086914,0,0.0
CP=2389.893799,321.458313,31.664063,0,0.0
CP=2253.091553,318.853210,31.658321,0,0.0
CP=2153.335693,317.764221,32.374924,0,0.0
CP=2098.403564,314.903229,33.354843,0,0.0
CP=2051.800537,310.421326,34.120201,0,0.0
CP=1944.809692,299.123230,62.053802,0,0.0
CP=1928.502319,436.933136,74.161011,0,0.0
CP=1880.548096,326.846985,85.911034,0,0.0
CP=1805.250122,316.230530,103.022491,0,0.0
CP=1777.397583,465.149017,109.082100,0,0.0
CP=1770.640869,664.572571,16.928251,0,0.0
CP=1787.336182,812.049744,9.931515,0,0.0
CP=1788.653564,973.853149,6.095125,0,0.0
CP=1788.162598,1110.748779,5.741995,0,0.0
CP=1787.405273,1262.430054,5.734375,0,11.85001
CP=1787.414307,1332.126343,5.734375,0,0.0
CP=1788.101563,1376.850342,5.734375,0,0.0
CP=1787.761841,1467.295898,5.734375,0,0.0
CP=1788.010376,1581.296387,5.734374,0,11.85001
CP=1787.571899,1678.105347,5.734375,0,0.0
CP=1788.419189,1761.982422,5.734375,0,0.0
CP=1788.417969,1903.477539,5.521325,0,0.0
CP=1787.145264,2011.314453,3.227651,0,0.0
CP=1786.760376,2243.083252,3.970737,0,0.0,451
CP=1786.560913,2330.300781,5.398476,0,0.0
CP=1753.447510,2402.345459,5.768326,0,0.0
CP=1657.700806,2447.948242,5.928722,0,0.0
CP=1538.392944,2453.254395,5.802071,0,0.0
CP=1466.581421,2458.954834,28.065397,0,0.0
CP=1407.758911,2469.218506,29.312843,0,0.0
CP=1304.158447,2533.757324,29.735641,0,0.0
CP=1295.145020,2567.847168,30.982868,0,0.0
CP=1246.822876,2598.203125,34.820515,0,0.0
CP=1302.211670,2630.284912,40.709534,0,0.0
CP=1357.225708,2595.660156,39.131447,0,0.0
CP=1378.117188,2564.201416,41.640995,0,0.0
CP=1325.829834,2566.934570,41.624210,0,0.0
CP=1286.812744,2541.138184,30.559622,0,0.0
CP=1262.645386,2493.262207,30.133150,0,0.0
CP=1248.836060,2503.142090,30.897526,0,0.0
CP=1229.066284,2544.040771,32.897125,0,0.0
CP=1179.444336,2516.585449,39.284607,0,0.0
CP=1193.903076,2483.966797,40.669987,0,0.0
CP=1241.522217,2448.230225,38.004845,0,0.0
CP=1316.907227,2401.182373,16.531013,0,0.0
CP=1350.075562,2344.102295,15.729551,0,0.0
CP=1296.689453,2258.819336,9.927021,0,0.0
CP=1239.906738,2192.163574,12.602023,0,9.0
CP=1148.407471,2078.898193,30.010931,0,9.0
CP=1095.208740,2015.179443,40.132599,0,9.0
CP=1065.766602,1995.375488,46.506634,0,0.0
CP=1015.470398,1994.865356,53.338844,0,0.0
CP=974.347839,2017.506470,55.829105,0,0.0
CP=939.150146,1976.270508,69.246109,0,0.0
CP=896.957458,1927.619263,81.845306,0,0.0
CP=885.762085,1843.960938,80.807510,0,0.0
CP=921.592163,1801.465210,80.040184,0,0.0
CP=988.311707,1877.504639,80.047234,0,0.0
