; Converted Sat, 07 Aug 10 20:13:56 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-1655.1392,1375.1129,9.8047
MinLevel=0
JoinCost=10000
WinBaseXP=500000
WinBaseCash=500000

Name=dumperrace
Author=Ramrod
Description=A dumper race with mines, be careful, or ull fly of the paltform!
RunTime=1000
Weather=
Time=0:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=406

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=2478.114014,-4008.644287,22.391113,89
SPAWN=2491.113037,-4013.99585,22.391113,89
SPAWN=2491.113037,-4008.49585,22.391113,89
SPAWN=2491.113037,-4003.271729,22.391113,89
SPAWN=2491.113037,-3997.771729,22.391113,89
SPAWN=2503.039307,-3997.771729,22.391113,89
SPAWN=2503.039307,-4003.221924,22.391113,89
SPAWN=2503.039307,-4008.597412,22.391113,89
SPAWN=2503.039307,-4014.049561,22.391113,89
SPAWN=2503.039307,-4019.197998,22.391113,89
SPAWN=2515.039307,-4019.122314,22.391113,89
SPAWN=2515.039307,-4013.772705,22.391113,89
SPAWN=2515.039307,-4008.197021,22.391113,89
SPAWN=2515.039307,-4002.321533,22.391113,89
SPAWN=2515.039307,-3996.623291,22.391113,89
SPAWN=2526.789307,-3996.623291,22.391113,89
SPAWN=2526.789307,-4002.373291,22.391113,89
SPAWN=2526.789307,-4008.873291,22.391113,89
SPAWN=2526.789307,-4014.246826,22.391113,89
SPAWN=2526.789307,-4019.24585,22.391113,89
SPAWN=2538.887939,-4019.24585,22.391113,89
SPAWN=2538.887939,-4013.74585,22.391113,89
SPAWN=2538.887939,-4007.74585,22.391113,89
SPAWN=2538.887939,-4001.74585,22.391113,89
SPAWN=2538.887939,-3996.14624,22.391113,89
SPAWN=2551.137939,-3996.14624,22.391113,89
SPAWN=2551.137939,-4001.89624,22.391113,89
SPAWN=2551.137939,-4007.89624,22.391113,89
SPAWN=2551.137939,-4013.445068,22.391113,89
SPAWN=2551.137939,-4019.119385,22.391113,89
SPAWN=2563.387939,-4007.869385,22.391113,89

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=2422.246826,-4008.600098,1.989789,0,8
CP=2399.171631,-3984.760498,1.989789,0,8
CP=2422.827881,-3973.084961,1.989789,0,8
CP=2418.77124,-3947.905762,1.989789,0,8
CP=2380.606934,-3944.939941,1.989789,0,8
CP=2329.227539,-3943.855469,1.989785,0,8
CP=2316.78125,-3957.902832,1.989789,0,8
CP=2316.338379,-4006.378906,1.989789,0,8
CP=2331.566406,-4029.023438,1.989789,0,8
CP=2351.202637,-4016.748779,1.989789,0,8
CP=2368.594482,-4037.898193,1.989789,0,8
CP=2345.883301,-4053.039551,1.989789,0,8
CP=2345.705078,-4073.062012,1.989789,0,8
CP=2373.448486,-4074.346191,1.989793,0,8
CP=2384.204834,-4057.753662,1.989789,0,8
CP=2398.701172,-4058.08252,1.989789,0,8
CP=2402.490967,-4037.254883,1.989789,0,8
CP=2414.956299,-4044.006348,1.989789,0,8
CP=2427.302979,-4062.561035,1.989789,0,8
CP=2436.157227,-4073.664063,5.883366,0,12

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=12814,2397.418945,-4007.570557,1.981977,0,0,0
OBJECT=12814,2368.168945,-4007.570557,1.981977,0,0,0
OBJECT=12814,2338.418945,-4007.570557,1.981977,0,0,0
OBJECT=12814,2308.918945,-4007.570557,1.981977,0,0,0
OBJECT=12814,2308.918945,-4057.071533,1.981977,0,0,0
OBJECT=12814,2338.668945,-4057.071533,1.981977,0,0,0
OBJECT=12814,2368.068359,-4057.071533,1.981977,0,0,0
OBJECT=12814,2397.417969,-4057.071533,1.981977,0,0,0
OBJECT=12814,2425.917969,-4057.071533,1.981977,0,0,0
OBJECT=12814,2425.917969,-4007.318604,1.981977,0,0,0
OBJECT=12814,2425.917969,-3958.095459,1.981977,0,0,0
OBJECT=12814,2396.518555,-3958.095459,1.981977,0,0,0
OBJECT=12814,2368.323242,-3958.095459,1.981977,0,0,0
OBJECT=12814,2338.571289,-3958.095459,1.981977,0,0,0
OBJECT=12814,2308.874023,-3958.095459,1.981977,0,0,0
OBJECT=12814,2461.191895,-4007.318604,10.731977,23.2047828,0,270.000049375
OBJECT=12814,2509.195801,-4007.318604,20.631977,0,0,270.000049375
OBJECT=12814,2543.745605,-4007.315674,20.631977,0,0,270.000049375
OBJECT=2918,2439.304199,-4021.172852,3.87892,0,0,0
OBJECT=2918,2433.466309,-4021.049561,3.87892,0,0,0
OBJECT=2918,2427.123047,-4021.045166,3.87892,0,0,0
OBJECT=2918,2439.502686,-3993.407715,3.87892,0,0,0
OBJECT=2918,2428.585938,-3994.203613,3.87892,0,0,0
OBJECT=2918,2422.677246,-4018.209473,3.87892,0,0,0
OBJECT=2918,2424.909668,-3997.705322,3.87892,0,0,0
OBJECT=2918,2420.603516,-4001.466064,3.87892,0,0,0
OBJECT=2918,2418.384277,-4014.391113,3.87892,0,0,0
OBJECT=2918,2410.766602,-4014.420898,3.87892,0,0,0
OBJECT=2918,2414.084717,-4001.258057,3.87892,0,0,0
OBJECT=2918,2401.114258,-4012.902344,3.87892,0,0,0
OBJECT=2918,2397.03125,-4005.022949,3.87892,0,0,0
OBJECT=2918,2396.283203,-3997.089355,3.87892,0,0,0
OBJECT=2918,2409.495605,-3996.263916,3.87892,0,0,0
OBJECT=2918,2406.471191,-3989.518066,3.87892,0,0,0
OBJECT=2918,2395.015137,-3988.257568,3.87892,0,0,0
OBJECT=2918,2407.603027,-3982.614014,3.878924,0,0,0
OBJECT=2918,2396.077393,-3979.660156,3.87892,0,0,0
OBJECT=2918,2413.273438,-3979.088135,3.878924,0,0,0
OBJECT=2918,2421.408936,-3979.474609,3.87892,0,0,0
OBJECT=2918,2427.311279,-3976.553223,3.87892,0,0,0
OBJECT=2918,2429.719727,-3968.893066,3.87892,0,0,0
OBJECT=2918,2430.347656,-3960.839355,3.87892,0,0,0
OBJECT=2918,2400.33667,-3974.010986,3.87892,0,0,0
OBJECT=2918,2406.444824,-3969.960205,3.878924,0,0,0
OBJECT=2918,2417.026855,-3968.714355,3.878924,0,0,0
OBJECT=2918,2420.69873,-3961.787109,3.87892,0,0,0
OBJECT=2918,2417.14624,-3954.018555,3.87892,0,0,0
OBJECT=2918,2426.525635,-3949.855957,3.87892,0,0,0
OBJECT=2918,2419.862061,-3943.448486,3.87892,0,0,0
OBJECT=2918,2408.791016,-3951.247803,3.87892,0,0,0
OBJECT=2918,2412.267334,-3939.889404,3.87892,0,0,0
OBJECT=2918,2402.00415,-3950.942627,3.87892,0,0,0
OBJECT=2918,2392.823975,-3950.697021,3.87892,0,0,0
OBJECT=2918,2382.907227,-3950.540039,3.87892,0,0,0
OBJECT=2918,2371.571289,-3950.547119,3.87892,0,0,0
OBJECT=2918,2362.071289,-3950.674072,3.87892,0,0,0
OBJECT=2918,2349.626953,-3950.63501,3.87892,0,0,0
OBJECT=2918,2338.387939,-3950.300537,3.87892,0,0,0
OBJECT=2918,2323.387207,-3950.204102,3.87892,0,0,0
OBJECT=2918,2405.578613,-3938.941162,3.87892,0,0,0
OBJECT=2918,2398.374268,-3939.307861,3.87892,0,0,0
OBJECT=2918,2388.763672,-3938.725098,3.87892,0,0,0
OBJECT=2918,2379.458252,-3938.757324,3.87892,0,0,0
OBJECT=2918,2370.105225,-3938.38623,3.87892,0,0,0
OBJECT=2918,2360.244629,-3938.463623,3.87892,0,0,0
OBJECT=2918,2349.64502,-3938.078369,3.87892,0,0,0
OBJECT=2918,2335.401123,-3937.57251,3.87892,0,0,0
OBJECT=2918,2324.66626,-3938.038818,3.87892,0,0,0
OBJECT=2918,2323.350342,-3962.751709,3.87892,0,0,0
OBJECT=2918,2311.539063,-3938.262939,3.878927,0,0,0
OBJECT=2918,2311.306396,-3942.197021,3.87892,0,0,0
OBJECT=2918,2310.810791,-3946.933594,3.87892,0,0,0
OBJECT=2918,2310.283936,-3953.949463,3.87892,0,0,0
OBJECT=2918,2310.935059,-3962.72876,3.87892,0,0,0
OBJECT=2918,2412.250977,-3969.906494,3.87892,0,0,0
OBJECT=2918,2405.211914,-4013.431152,3.87892,0,0,0
OBJECT=2918,2329.29541,-3970.814209,3.87892,0,0,0
OBJECT=2918,2303.364502,-3968.962646,3.87892,0,0,0
OBJECT=2918,2295.183594,-3976.79834,3.87892,0,0,0
OBJECT=2918,2295.233643,-3983.984131,3.87892,0,0,0
OBJECT=2918,2295.180664,-3992.563721,3.87892,0,0,0
OBJECT=2918,2301.321045,-4000.053467,3.878927,0,0,0
OBJECT=2918,2323.433105,-4001.518555,3.87892,0,0,0
OBJECT=2918,2323.291504,-4013.014893,3.87892,0,0,0
OBJECT=2918,2309.218018,-4001.293457,3.87892,0,0,0
OBJECT=2918,2310.179688,-4013.286377,3.87892,0,0,0
OBJECT=2918,2330.818848,-3998.510498,3.87892,0,0,0
OBJECT=2918,2336.020508,-3991.472412,3.87892,0,0,0
OBJECT=2918,2336.288818,-3981.720703,3.87892,0,0,0
OBJECT=2918,2333.056641,-3975.50415,3.87892,0,0,0
OBJECT=2918,2319.507324,-3990.285156,3.87892,0,0,0
OBJECT=2918,2323.323975,-3984.642578,3.87892,0,0,0
OBJECT=2918,2317.87207,-3979.518555,3.87892,0,0,0
OBJECT=2918,2311.170898,-3978.546143,3.87892,0,0,0
OBJECT=2918,2306.811768,-3983.125732,3.87892,0,0,0
OBJECT=2918,2310.109863,-3988.483643,3.87892,0,0,0
OBJECT=2918,2315.097412,-3989.929199,3.87892,0,0,0
OBJECT=2918,2315.018555,-3984.021484,3.87892,0,0,0
OBJECT=2918,2327.480225,-4022.117676,3.87892,0,0,0
OBJECT=2918,2311.435059,-4023.756104,3.87892,0,0,0
OBJECT=2918,2316.413574,-4031.262451,3.87892,0,0,0
OBJECT=2918,2335.328857,-4023.482422,3.87892,0,0,0
OBJECT=2918,2341.863525,-4017.833984,3.87892,0,0,0
OBJECT=2918,2345.407715,-4012.084229,3.87892,0,0,0
OBJECT=2918,2352.09082,-4008.173096,3.878924,0,0,0
OBJECT=2918,2360.420166,-4011.453125,3.87892,0,0,0
OBJECT=2918,2365.745117,-4019.234863,3.87892,0,0,0
OBJECT=2918,2371.90332,-4027.369141,3.87892,0,0,0
OBJECT=2918,2324.356934,-4034.510742,3.87892,0,0,0
OBJECT=2918,2333.375488,-4037.14209,3.87892,0,0,0
OBJECT=2918,2341.247559,-4033.835205,3.87892,0,0,0
OBJECT=2918,2347.524902,-4026.813965,3.87892,0,0,0
OBJECT=2918,2352.90332,-4023.30127,3.87892,0,0,0
OBJECT=2918,2358.41333,-4026.066895,3.87892,0,0,0
OBJECT=2918,2362.616455,-4034.045166,3.87892,0,0,0
OBJECT=2918,2363.2854,-4041.274414,3.87892,0,0,0
OBJECT=2918,2356.739502,-4045.499756,3.87892,0,0,0
OBJECT=2918,2351.091064,-4047.443115,3.878922,0,0,0
OBJECT=2918,2375.276855,-4035.901367,3.878918,0,0,0
OBJECT=2918,2373.255371,-4045.144531,3.87892,0,0,0
OBJECT=2918,2365.490479,-4054.010254,3.878918,0,0,0
OBJECT=2918,2360.171387,-4056.222412,3.87892,0,0,0
OBJECT=2918,2348.944336,-4056.652588,3.87892,0,0,0
OBJECT=2918,2344.692627,-4059.97998,3.87892,0,0,0
OBJECT=2918,2344.845215,-4064.213135,3.87892,0,0,0
OBJECT=2918,2349.756348,-4066.321045,3.87892,0,0,0
OBJECT=2918,2343.703125,-4047.884033,3.87892,0,0,0
OBJECT=2918,2337.826416,-4051.243896,3.87892,0,0,0
OBJECT=2918,2333.579346,-4056.769043,3.87892,0,0,0
OBJECT=2918,2331.874756,-4064.016846,3.87892,0,0,0
OBJECT=2918,2333.9375,-4071.419189,3.87892,0,0,0
OBJECT=2918,2338.737061,-4074.72168,3.87892,0,0,0
OBJECT=2918,2343.891357,-4077.115234,3.87892,0,0,0
OBJECT=2918,2350.400879,-4076.730713,3.87892,0,0,0
OBJECT=2918,2357.847412,-4067.165039,3.87892,0,0,0
OBJECT=2918,2358.763428,-4077.387207,3.87892,0,0,0
OBJECT=2918,2365.846436,-4067.694336,3.87892,0,0,0
OBJECT=2918,2364.83667,-4078.216309,3.87892,0,0,0
OBJECT=2918,2371.302734,-4078.08667,3.87892,0,0,0
