
Name=Grish crush
Author=Grish
MinLevel=0
JoinCost=3000

; The location of the waiting checkpoint.
; WaitLocation=waitx,waity,waitz
WaitLocation=2573.980957,-1490.894165,23.676266

RunTime=9000
WinBaseXP=500000
WinBaseCash=500000
Time=19:0
Weather=0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=557

; Checkpoints
; Type=0 is a normal checkpoint
; Type=1 is an air checkpoint
; The params type and size are optional
; Format: CP=x,y,z,type,size
CP=2748.736816,-1423.471313,15.250000,0,0.0
CP=2600.729248,-1524.655762,13.019419,0,0.0
CP=2582.883057,-1697.989502,0.640625,0,0.0
CP=2584.363037,-1853.619263,2.859374,0,0.0
CP=2583.778320,-2024.940796,4.685494,0,0.0
CP=2584.084717,-2203.075195,-1.529489,0,0.0
CP=2583.388672,-2068.792725,3.096813,0,0.0
CP=2608.898926,-1854.500000,2.315243,0,0.0
CP=2418.895996,-1851.049927,0.420397,0,0.0
CP=2224.481201,-1851.572998,-0.412196,0,0.0
CP=2086.225830,-1851.548828,2.991021,0,0.0
CP=1846.705933,-1816.807739,2.984375,0,0.0
CP=1579.333008,-1753.567261,3.164843,0,0.0
CP=1360.066162,-1686.858032,7.616409,0,0.0
CP=1401.197510,-1453.737671,7.675512,0,0.0
CP=1410.566772,-1309.796265,8.437322,0,0.0
CP=1368.382813,-1571.406860,7.671875,0,0.0
CP=1407.620117,-1715.499634,6.070362,0,0.0
CP=1668.631104,-1775.252686,2.970958,0,0.0
CP=2080.550049,-1851.461060,2.991022,0,0.0
CP=2260.202393,-1851.247070,-1.134487,0,0.0
CP=2571.229004,-1853.345947,2.859375,0,0.0
CP=2565.945801,-2046.260010,2.859375,0,0.0
CP=2599.336670,-2047.038330,2.859375,0,0.0
CP=2561.354980,-2046.586670,2.859373,0,0.0
CP=2605.707275,-2051.189453,2.859375,0,0.0
CP=2567.732910,-2050.107178,2.859375,0,0.0
CP=2597.088867,-2050.180176,2.859375,0,0.0
CP=2565.850098,-2039.161377,2.859375,0,0.0
CP=2602.960693,-2044.700073,2.859375,0,0.0
CP=2581.483643,-2213.949951,-1.119336,0,0.0

; Spawn Points
; If there are no spawn points, races will just be given their vehicle at the checkpoint
; Format: SPAWN=x,y,z,rotz
SPAWN=2573.980957,-1490.894165,23.676266,270.0,557
SPAWN=2822.908203,-1416.877075,15.916525,179.0,571
SPAWN=2820.499512,-1416.806641,15.582282,179.0,571
SPAWN=2817.488770,-1416.881836,15.582282,179.0,571
SPAWN=2560.196533,-1507.938477,23.382256,315.0,556
SPAWN=2814.101318,-1416.990234,15.582282,179.0,571
SPAWN=2810.938477,-1417.176025,15.582282,179.0,571
SPAWN=2807.661621,-1417.293945,15.582282,179.0,571
SPAWN=2568.290527,-1518.995605,22.332283,329.0,444
SPAWN=2804.097656,-1417.238647,15.582281,179.0,571
SPAWN=2800.194580,-1417.221069,15.582282,179.0,571
SPAWN=2796.723877,-1417.135742,15.582282,179.0,571
SPAWN=2793.491699,-1417.018433,15.582282,179.0,571

; Objects
; The last param (viewdistance) is optional
; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz,viewdistance
OBJECT=1245,2628.944336,-1486.164917,16.890631,0.0,0.0,56.25000
OBJECT=974,2823.571777,-1424.710327,18.027740,0.0,0.0,0.0
OBJECT=974,2562.397217,-1489.034180,25.797598,0.0,0.0,67.49997
OBJECT=974,2560.093018,-1494.650146,25.781752,0.0,0.0,67.49997
OBJECT=974,2557.160889,-1500.092529,25.816803,0.0,0.0,56.25000
OBJECT=974,2554.783447,-1505.899658,25.816803,0.0,0.0,78.74999
OBJECT=974,2555.346191,-1512.110596,25.843758,0.0,0.0,112.49994
OBJECT=974,2557.639648,-1517.910645,25.741295,0.0,0.0,112.49994
OBJECT=974,2561.333496,-1522.542480,25.478039,0.0,0.0,146.24995
OBJECT=974,2565.741699,-1526.095703,25.122705,0.0,0.0,134.100000
OBJECT=974,2566.715088,-1527.080200,25.445877,0.0,0.0,146.24995
OBJECT=1225,2549.932861,-1569.815308,22.260365,0.0,0.0,0.0
OBJECT=1225,2548.055420,-1573.416748,22.059578,0.0,0.0,0.0
OBJECT=1225,2548.078125,-1571.055542,22.001842,0.0,0.0,0.0
OBJECT=974,2623.143311,-1601.830200,11.138636,0.0,0.0,89.99997
OBJECT=974,2623.952881,-1608.184448,11.014139,0.0,0.0,101.24998
OBJECT=974,2624.479736,-1613.329834,11.293385,0.0,0.0,89.99997
OBJECT=974,2625.152588,-1619.568115,11.801565,0.0,0.0,101.24998
OBJECT=974,2624.844727,-1625.866821,11.938203,0.0,0.0,78.74999
OBJECT=974,2548.205566,-1570.291138,23.882023,0.0,0.0,78.74999
OBJECT=974,2540.899658,-1712.757202,15.249766,0.0,0.0,89.99997
OBJECT=974,2544.076904,-1719.129150,15.303049,0.0,0.0,0.0
OBJECT=974,2542.456543,-1743.929077,15.317146,0.0,0.0,0.0
OBJECT=974,2540.918945,-1746.735474,15.312689,0.0,0.0,89.99997
OBJECT=974,2540.894287,-1753.361816,15.324615,0.0,0.0,89.99997
OBJECT=974,2540.909668,-1760.008667,15.319361,0.0,0.0,89.99997
OBJECT=974,2540.777344,-1766.703491,15.324615,0.0,0.0,89.99997
OBJECT=974,2540.836426,-1773.001953,15.324615,0.0,0.0,89.99997
OBJECT=974,2540.883789,-1779.625854,15.324615,0.0,0.0,89.99997
OBJECT=974,2540.822021,-1786.314209,15.324615,0.0,0.0,89.99997
OBJECT=974,2540.791504,-1792.925415,15.324615,0.0,0.0,89.99997
OBJECT=974,2540.786865,-1799.442871,15.324615,0.0,0.0,89.99997
OBJECT=974,2540.711182,-1806.091309,15.324615,0.0,0.0,89.99997
OBJECT=974,2540.775391,-1812.558716,15.324615,0.0,0.0,89.99997
OBJECT=974,2540.777588,-1818.828003,15.324615,0.0,0.0,89.99997
OBJECT=974,2527.791260,-1823.737305,15.324615,0.0,0.0,0.0
OBJECT=974,2534.291504,-1823.784668,15.317102,0.0,0.0,0.0
OBJECT=974,2539.004150,-1822.848877,15.324615,0.0,0.0,33.75002
OBJECT=974,2623.995361,-1825.508423,15.708378,0.0,0.0,89.99997
OBJECT=974,2621.062744,-2036.411865,15.314748,0.0,0.0,0.0
