; Converted Thu, 24 Jun 10 07:59:18 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=1958.0264,230.8327,28.4258
MinLevel=0
JoinCost=1000
WinBaseXP=50000
WinBaseCash=50000

Name=grishgoatsecake
Author=Grish
Description=Goatse Cake for DRuG
RunTime=1000
Weather=0
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=571

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=3290.199219,-1782.317017,72.771004,89
SPAWN=3290.250732,-1780.349976,72.792931,89
SPAWN=3290.213867,-1778.277344,72.792931,89
SPAWN=3290.230469,-1775.987427,72.792931,89
SPAWN=3290.333984,-1773.704712,72.792931,89
SPAWN=3287.362305,-1781.222046,72.792931,89
SPAWN=3287.437988,-1779.209961,72.792931,89
SPAWN=3287.510498,-1777.077393,72.792931,89
SPAWN=3287.56543,-1775.017212,72.792931,89
SPAWN=3287.657959,-1772.672852,72.792931,89

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=3243.047119,-1783.595947,72.460648,0,8
CP=3244.313477,-1817.105347,72.460648,0,8
CP=3292.563965,-1816.72229,72.460648,0,8
CP=3293.625244,-1784.083984,72.460648,0,8
CP=3243.072266,-1782.221802,72.460648,0,8
CP=3243.669189,-1818.335205,72.460648,0,8
CP=3294.269043,-1817.84436,72.460648,0,8
CP=3291.168457,-1761.390503,72.460648,0,8
CP=3240.834717,-1762.087036,83.18721,0,8
CP=3244.234375,-1817.537231,83.18721,0,8
CP=3292.756348,-1816.337769,83.18721,0,8
CP=3294.056885,-1783.477661,83.18721,0,8
CP=3243.294922,-1783.350586,83.18721,0,8
CP=3243.324463,-1818.216553,83.18721,0,8
CP=3317.268555,-1808.368164,83.147652,0,8
CP=3316.783447,-1749.937988,82.975777,0,8
CP=3192.703613,-1742.131348,87.40036,1,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=7244,3262.828613,-1794.569824,81.59346,0,0,0
OBJECT=4108,3325.817139,-1789.453735,83.241402,0,0,0
OBJECT=4108,3253.511963,-1742.080078,83.155022,0,358.2811272,89.999950625
OBJECT=974,3313.637451,-1801.923096,85.925392,0,0,89.999950625
OBJECT=974,3313.676025,-1820.342407,85.925392,0,0,89.999950625
OBJECT=974,3313.709229,-1827.099854,85.925392,0,0,89.999950625
OBJECT=974,3313.737549,-1833.828003,85.933182,0,0,89.999950625
OBJECT=974,3313.716553,-1840.561768,85.925392,0,0,89.999950625
OBJECT=974,3313.677979,-1847.280273,85.925392,0,0,89.999950625
OBJECT=974,3313.646729,-1795.290649,85.925392,0,0,89.999950625
OBJECT=974,3313.635254,-1788.64502,85.925392,0,0,89.999950625
OBJECT=974,3313.626953,-1781.969482,85.925392,0,0,89.999950625
OBJECT=974,3313.619141,-1775.255249,85.925392,0,0,89.999950625
OBJECT=974,3313.687988,-1768.535156,85.925392,0,0,89.999950625
OBJECT=974,3313.742188,-1761.838013,85.925392,0,0,89.999950625
OBJECT=974,3196.870605,-1754.364624,85.780304,0,0,179.999958546
OBJECT=974,3203.571777,-1754.459229,85.664398,0,0,0
OBJECT=974,3210.187256,-1754.426147,85.376602,0,0,0
OBJECT=974,3216.852539,-1754.340332,85.299103,0,0,0
OBJECT=974,3223.571045,-1754.267456,85.473236,0,0,0
OBJECT=974,3230.227295,-1754.210693,85.474945,0,0,0
OBJECT=974,3236.856934,-1754.123291,85.477562,0,0,0
OBJECT=974,3243.544434,-1754.116699,85.47776,0,0,0
OBJECT=974,3250.239502,-1754.113647,85.477859,0,0,0
OBJECT=974,3256.919678,-1754.051758,85.479713,0,0,0
OBJECT=974,3263.563477,-1754.063965,85.479347,0,0,0
OBJECT=974,3270.166504,-1754.028687,85.480408,0,0,0
OBJECT=974,3276.820801,-1753.912964,85.483879,0,0,0
OBJECT=974,3283.451904,-1753.819702,85.486671,0,0,0
OBJECT=974,3290.133545,-1753.744263,85.488945,0,0,0
OBJECT=974,3296.748535,-1753.705933,85.497887,0,0,0
OBJECT=974,3303.413818,-1753.719849,85.48967,0,0,0
OBJECT=974,3310.071777,-1753.735229,85.489212,0,0,0
OBJECT=974,3313.521729,-1757.075439,85.991035,0,0,89.999950625
OBJECT=974,3291.737305,-1766.967285,85.964951,0,0,337.500012344
OBJECT=974,3297.887207,-1769.509033,85.964951,0,0,337.500012344
OBJECT=974,3304.071777,-1772.086304,85.964951,0,0,337.500012344
OBJECT=974,3310.276367,-1774.537842,85.964951,0,0,337.500012344
OBJECT=5152,3194.426758,-1730.641968,83.928459,0,0,179.99990125
OBJECT=5152,3194.450684,-1732.816162,83.889748,0,0,179.999958546
OBJECT=5152,3194.421875,-1734.993408,83.870735,0,0,179.99990125
OBJECT=5152,3194.412598,-1737.204224,83.831718,0,0,179.999958546
OBJECT=5152,3194.412109,-1739.404175,83.891235,0,0,179.999958546
OBJECT=5152,3194.463135,-1741.59668,83.798271,0,0,179.99990125
OBJECT=5152,3194.489014,-1743.822998,83.747528,0,0,179.999958546
OBJECT=5152,3194.469971,-1746.012329,83.752281,0,0,179.999958546
OBJECT=5152,3194.397949,-1748.204468,83.710899,0,0,179.99990125
OBJECT=5152,3194.345215,-1750.443359,83.632637,0,0,179.99990125
OBJECT=5152,3194.323975,-1752.625122,83.618858,0,0,179.999958546
OBJECT=749,3191.933838,-1735.012329,85.177475,0,0.8594364,358.2811272
OBJECT=749,3192.315674,-1748.044922,85.045319,0,0,0
OBJECT=749,3193.68457,-1747.586792,91.592361,308.433873296,18.9076008,9.4538004
OBJECT=749,3193.332764,-1735.611572,91.382675,52.4255631042,359.1405636,0
OBJECT=749,3194.198486,-1738.073608,94.897888,87.6624555042,4.297182,0
OBJECT=955,3193.485352,-1735.507813,89.085548,-0,268.040362496,89.999950625
OBJECT=955,3194.197754,-1735.839966,90.749954,0.8594364,261.164814,89.140514225
OBJECT=955,3193.442139,-1735.220093,87.480614,0,271.4780508,89.999950625
OBJECT=955,3193.870361,-1748.504517,88.653152,0,89.3813856,89.999950625
OBJECT=955,3193.44873,-1748.489624,86.876488,0,85.94364,89.999950625
OBJECT=955,3193.655518,-1748.595215,90.05484,0,94.538004,89.999950625
OBJECT=1305,3188.606934,-1745.41272,85.776161,0,0,0
OBJECT=1305,3189.199463,-1744.530518,88.191963,0,0,0
OBJECT=1305,3188.736572,-1743.068237,87.563667,0,0,0
OBJECT=1305,3189.73291,-1743.031494,90.038422,0,0,0
OBJECT=1305,3188.135986,-1743.238159,85.277115,0,0,0
OBJECT=1305,3188.635254,-1740.445313,85.101723,0,0,0
OBJECT=1305,3188.183838,-1741.714233,86.966423,0,0,0
OBJECT=1305,3188.952881,-1739.61084,87.755638,0,0,0
OBJECT=1305,3188.983643,-1741.273071,89.546066,0,0,0
OBJECT=1305,3189.845215,-1739.238525,90.266441,0,0,0
OBJECT=1305,3189.929443,-1741.483521,92.075058,0,0,0
OBJECT=1305,3190.704102,-1743.567505,92.393448,0,0,0
OBJECT=1305,3190.11084,-1744.887451,90.722702,0,0,0
OBJECT=1305,3189.421631,-1746.257935,88.074043,0,0,0
OBJECT=1305,3189.029297,-1738.546631,85.301201,0,0,0
OBJECT=955,3192.724365,-1734.182129,87.179825,0,0,89.999950625
OBJECT=955,3193.084717,-1734.42334,89.45253,0,0,89.999950625
OBJECT=955,3193.440674,-1749.474487,86.654823,0,0,89.999950625
OBJECT=955,3193.734863,-1749.607788,88.854538,0,0,89.999950625
OBJECT=955,3193.904053,-1750.557617,87.693634,0,0,78.7499854447
OBJECT=955,3193.77417,-1751.821777,87.907249,0,0,78.7499854447
OBJECT=955,3193.187744,-1733.154541,88.402519,0,0,78.7499854447
OBJECT=955,3193.437744,-1732.023682,88.355659,0,0,78.7499854447
