; Converted Sun, 27 Jun 10 19:13:24 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=-2479.7012,1226.7917,35.0156
Interior=1
MinLevel=0
JoinCost=10000
WinBaseXP=500000
WinBaseCash=500000

Name=jumpydumpy
Author=ramrod
Description=dumper race mayhem
RunTime=1000
Weather=0
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=406

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=3486.6521,-986.758789,352.826996,270
SPAWN=3482.935547,-1467.405518,138.275803,360
SPAWN=3489.435547,-1467.405518,138.275803,360
SPAWN=3495.210449,-1467.405518,138.275803,360
SPAWN=3501.210449,-1467.405518,138.275803,360
SPAWN=3506.485352,-1467.405518,138.275803,360
SPAWN=3511.659668,-1467.405518,138.275803,360
SPAWN=3511.659668,-1478.655518,138.275803,360
SPAWN=3505.659668,-1478.655518,138.275803,360
SPAWN=3500.36084,-1478.655518,138.275803,360
SPAWN=3494.660645,-1478.655518,138.275803,360
SPAWN=3488.910645,-1478.655518,138.275803,360
SPAWN=3483.160645,-1478.655518,138.275803,360
SPAWN=3483.160645,-1490.405518,138.275803,360
SPAWN=3488.910645,-1490.405518,138.275803,360
SPAWN=3494.836914,-1490.405518,138.275803,360
SPAWN=3500.836914,-1490.405518,138.275803,360
SPAWN=3506.086914,-1490.405518,138.275803,360
SPAWN=3511.611816,-1490.405518,138.275803,360
SPAWN=3511.611816,-1502.655518,138.275803,360
SPAWN=3505.611816,-1502.655518,138.275803,360
SPAWN=3500.111816,-1502.655518,138.275803,360
SPAWN=3494.361816,-1502.655518,138.275803,360
SPAWN=3489.111816,-1502.655518,138.275803,360
SPAWN=3483.361816,-1502.655518,138.275803,360
SPAWN=3483.361816,-1514.905518,138.275803,360
SPAWN=3488.985352,-1514.905518,138.275803,360
SPAWN=3494.484375,-1514.905518,138.275803,360
SPAWN=3499.958496,-1514.905518,138.275803,360
SPAWN=3505.708496,-1514.905518,138.275803,360
SPAWN=3511.733398,-1514.905518,138.275803,360
SPAWN=3498.983398,-1527.555908,138.275803,360

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=3499.571777,-1383.42749,168.686432,0,31.6
CP=3501.185547,-1298.383545,205.144745,0,31.6
CP=3496.742676,-893.973328,370.263397,0,9.6,571
CP=3498.378906,-1054.060181,309.959198,0,31.6
CP=3497.702393,-1348.919189,183.480148,0,31.6
CP=3497.604736,-1562.65918,136.524475,0,31.6

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=8357,3496.967285,-1391.72876,165.144684,336.7952172,0,179.99990125
OBJECT=8357,3496.927002,-1466.311035,136.5401,0,0,0
OBJECT=8357,3496.993164,-1197.322754,248.562531,336.7952172,0,179.99990125
OBJECT=8357,3496.943604,-1010.003601,328.863251,336.7952172,0,179.99990125
OBJECT=8357,3478.177002,-1466.311035,145.0401,0,94.538004,1.7188728
OBJECT=8357,3516.373047,-1466.719482,143.793839,0,94.538004,177.42178955
OBJECT=8357,3477.920166,-1364.724121,187.995377,23.2047828,94.538004,0
OBJECT=8357,3477.89624,-1175.233643,269.092194,23.2047828,94.538004,0
OBJECT=8357,3516.29541,-1365.862549,186.718933,336.7952172,89.3813856,179.99990125
OBJECT=8357,3516.30957,-1176.664551,267.803589,336.7952172,89.3813856,179.99990125
OBJECT=8357,3496.428467,-1570.324951,136.543839,268.0403052,0,0
OBJECT=4108,3478.770996,-986.042053,351.169434,0,0,269.140612975
OBJECT=980,3496.075439,-996.369812,355.963287,337.6546536,0,0
OBJECT=980,3484.825439,-996.319763,355.963287,337.6546536,0,0
OBJECT=980,3507.151123,-996.394836,355.963287,337.6546536,0,0
OBJECT=980,3513.151123,-996.394836,355.963287,337.6546536,0,0
OBJECT=2918,3480.632813,-999.110657,353.12915,0,0,0
OBJECT=980,3505.037842,-976.898804,355.313446,32.6585832,0,0
OBJECT=980,3512.787842,-976.897095,355.313446,32.6585832,0,0
OBJECT=1225,3512.846436,-972.564209,351.745148,0,0,0
OBJECT=1225,3510.545654,-972.589233,351.745148,0,0,0
OBJECT=1225,3510.346436,-972.589233,351.745148,0,0,0
OBJECT=1225,3509.096436,-972.439087,351.745148,0,0,0
OBJECT=1225,3507.346436,-972.338989,351.745148,0,0,0
OBJECT=1225,3506.345459,-972.414063,351.745148,0,0,0
OBJECT=1225,3505.473877,-972.389038,351.745148,0,0,0
OBJECT=1225,3504.846436,-972.238892,351.745148,0,0,0
OBJECT=1225,3503.096436,-972.414063,351.745148,0,0,0
OBJECT=1225,3501.49585,-972.364014,351.745148,0,0,0
OBJECT=1225,3500.141357,-972.489624,351.745148,0,0,0
OBJECT=1225,3497.14624,-972.439575,351.745148,0,0,0
OBJECT=1225,3495.81958,-972.364502,351.745148,0,0,0
OBJECT=1225,3494.06958,-972.414551,351.745148,0,0,0
OBJECT=1225,3491.56958,-972.089233,351.745148,0,0,348.749977524
OBJECT=1225,3488.294678,-972.289429,351.745148,0,0,348.749977524
OBJECT=1225,3486.669189,-972.2146,351.745148,0,0,348.749977524
OBJECT=1225,3483.669189,-972.188599,351.745148,0,0,348.749977524
OBJECT=1225,3480.919189,-972.088989,351.745148,0,0,348.749977524
OBJECT=1225,3482.419189,-972.063232,351.745148,0,0,348.749977524
