; Converted Tue, 13 Apr 10 17:55:09 +1000

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=2670.311523,690.717285,11.231949
MinLevel=0
JoinCost=2000
WinBaseXP=100000
WinBaseCash=100000

Name=Mouldy you crazy mofo
Author=Mouldy
Description=half pipe
RunTime=1000
Weather=10
Time=12

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=495

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=2670.311523,690.717285,11.231949,271
SPAWN=2670.497803,694.85553,11.231949,271
SPAWN=2663.311035,695.118408,11.231949,271
SPAWN=2663.352051,690.759583,11.231949,271
SPAWN=2656.214111,695.367065,11.231949,271
SPAWN=2656.091553,690.833252,11.231949,271
SPAWN=2647.792969,695.382935,11.231949,271
SPAWN=2647.86499,690.89502,11.23195,271
SPAWN=2640.44873,695.471741,11.231949,271
SPAWN=2640.185303,691.216125,11.231948,271

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=2735.998047,722.687683,13.790964,0,8
CP=2853.202637,846.986694,34.270775,0,8
CP=3040.519043,1051.310791,6.576592,0,8
CP=3073.558105,1123.924438,33.91618,1,8
CP=3015.454834,1195.631592,28.428715,1,8
CP=3074.346436,1236.055298,30.944557,1,8
CP=3015.595703,1357.123047,27.841862,1,8
CP=3073.774658,1532.045776,28.426544,1,8
CP=3015.537354,1673.083984,28.050896,1,8
CP=3072.511475,1718.776489,23.663391,0,8
CP=3048.171143,1652.576782,6.154767,1,8
CP=3022.790527,1589.585571,15.121057,1,8
CP=3061.902344,1478.195801,11.518736,1,8
CP=3025.445068,1317.02356,12.617949,1,8
CP=3067.268799,1149.813477,16.36482,1,8
CP=3015.782227,1081.521362,23.086388,0,8
CP=3039.122314,1169.693115,6.298415,1,8
CP=3042.786133,1300.213867,5.933205,1,8
CP=3043.807129,1489.537842,5.886788,1,8
CP=3045.020508,1672.188965,5.906119,1,8
CP=3045.448486,1755.612671,4.825712,0,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=17310,3044.111572,1053.304688,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1065.139893,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1076.975098,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1088.810303,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1100.645508,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1112.480713,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1124.315918,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1136.151123,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1147.986328,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1159.821533,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1171.656738,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1183.491943,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1195.327148,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1207.162354,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1218.997559,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1230.832642,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1242.667847,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1254.503052,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1266.338257,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1278.173462,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1290.008667,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1301.843872,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1313.679077,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1325.514282,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1337.349487,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1349.184692,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1361.019897,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1372.855103,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1384.690308,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1396.525513,5.2855,179.999640384,0,0
OBJECT=17310,3044.111572,1408.360718,5.2855,179.999640384,0,0
