; Converted Tue, 22 Jun 10 07:35:32 -0400

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=254.750824,-1826.869995,3.949744
MinLevel=0
JoinCost=3500
WinBaseXP=400000
WinBaseCash=500000

Name=Tanks for everything
Author=Mouldy
Description=Dedicated to Sk0t
RunTime=1000
Weather=
Time=7

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=432

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
SPAWN=424.160126,-1904.508423,1.792665,178
SPAWN=310.428192,-1903.93396,1.792665,178
SPAWN=462.397125,-1905.421143,1.792665,178
SPAWN=272.721405,-1903.535767,1.792665,178
SPAWN=500.247009,-1905.739868,1.792665,178
SPAWN=234.629425,-1902.920166,1.792665,178

; Type = 0 is a normal checkpoint. Type = 1 is an air checkpoint.
; The params type,size,vehicletype,vehiclehp and gravity are optional.
; Format: CP=x,y,z,type,size,vehicletype,vehiclehp,gravity
CP=367.592957,-3551.84375,1.651222,0,31.6

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=9005,234.501495,-1956.402588,0.5076,0,0,0
OBJECT=9005,234.501495,-2076.176758,0.5076,0,0,0
OBJECT=9005,234.501495,-2195.950928,0.5076,0,0,0
OBJECT=9005,234.501495,-2315.725098,0.5076,0,0,0
OBJECT=9005,234.501495,-2435.499512,0.5076,0,0,0
OBJECT=9005,234.501495,-2555.273682,0.5076,0,0,0
OBJECT=9005,234.501495,-2675.047852,0.5076,0,0,0
OBJECT=9005,234.501495,-2794.822021,0.5076,0,0,0
OBJECT=9005,234.501495,-2914.596191,0.5076,0,0,0
OBJECT=9005,234.501495,-3034.370361,0.5076,0,0,0
OBJECT=3887,253.408707,-1923.05481,8.8696,0,0,0
OBJECT=3887,253.131195,-1976.869141,8.8696,0,0,179.999640384
OBJECT=3887,253.408707,-2030.68335,8.8696,0,0,0
OBJECT=3887,253.131195,-2084.497803,8.8696,0,0,179.999640384
OBJECT=3887,253.408707,-2138.312012,8.8696,0,0,0
OBJECT=3887,253.131195,-2192.126221,8.8696,0,0,179.999640384
OBJECT=3887,253.408707,-2245.940674,8.8696,0,0,0
OBJECT=3887,253.131195,-2299.754883,8.8696,0,0,179.999640384
OBJECT=3887,253.408707,-2353.569092,8.8696,0,0,0
OBJECT=3887,253.131195,-2407.383545,8.8696,0,0,179.999640384
OBJECT=3887,253.408707,-2461.197754,8.8696,0,0,0
OBJECT=3887,253.131195,-2515.012207,8.8696,0,0,179.999640384
OBJECT=3887,253.408707,-2568.826416,8.8696,0,0,0
OBJECT=3887,253.131195,-2622.640625,8.8696,0,0,179.999640384
OBJECT=3887,253.408707,-2676.455078,8.8696,0,0,0
OBJECT=3887,253.131195,-2730.269287,8.8696,0,0,179.999640384
OBJECT=3887,253.408707,-2784.083496,8.8696,0,0,0
OBJECT=3887,253.131195,-2837.897949,8.8696,0,0,179.999640384
OBJECT=3887,253.408707,-2891.712158,8.8696,0,0,0
OBJECT=3887,253.131195,-2945.526611,8.8696,0,0,179.999640384
OBJECT=3887,253.408707,-2999.34082,8.8696,0,0,0
OBJECT=8355,234.501495,-3137.719971,1.6705,0,0,0
OBJECT=9005,272.459503,-1956.402588,0.5076,0,0,0
OBJECT=9005,272.459503,-2076.176758,0.5076,0,0,0
OBJECT=9005,272.459503,-2195.950928,0.5076,0,0,0
OBJECT=9005,272.459503,-2315.725098,0.5076,0,0,0
OBJECT=9005,272.459503,-2435.499512,0.5076,0,0,0
OBJECT=9005,272.459503,-2555.273682,0.5076,0,0,0
OBJECT=9005,272.459503,-2675.047852,0.5076,0,0,0
OBJECT=9005,272.459503,-2794.822021,0.5076,0,0,0
OBJECT=9005,272.459503,-2914.596191,0.5076,0,0,0
OBJECT=9005,272.459503,-3034.370361,0.5076,0,0,0
OBJECT=3887,291.366699,-1923.05481,8.8696,0,0,0
